StoreCode,TotalSales,TotalAmount
pBadJ,5974,304674
DiAjh,7505,352735
MGHhA,2198,206612
rWKmx,3047,292512
JuHHk,3723,85629
gosJF,3346,117110
wEXNf,4344,117288
erENa,5672,107768
KIYze,2293,116943
ZITXO,4018,377692
ukwKz,3171,225141
fROpz,4769,314754
SOpJC,8716,122024
dEUJN,7683,760617
SIymk,9282,649740
dGlTK,6506,566022
rKzml,5666,107654
lbbAI,8444,109772
DJjpR,2852,236716
hejzM,2406,38496
oZZEy,2267,156423
HytDf,7732,38660
ImKgR,8766,753876
bzqhj,6943,583212
JtNFm,5507,451574
gIBGn,9506,180614
BYHfs,6755,601195
jSYfC,4777,181526
XfDRz,3227,154896
wuyow,4133,78527
GhoWI,6741,667359
LWALp,2685,177210
kImZj,8459,321442
xUZHW,2269,197403
XHXCu,6507,273294
LrRYP,7152,114432
ZTCzx,2261,115311
GaflA,6382,631818
xXQVx,7139,71390
yoPMM,7030,485070
fnifp,9318,437946
UBiHD,2371,177825
pHkIy,3096,164088
hAamr,4416,362112
NGGPn,3128,165784
PieYt,8438,185636
BBviV,6637,484501
WGIMR,7479,456219
Fcoqj,6201,248040
zxbcV,2871,134937
aqXjv,7003,133057
HwABJ,5587,139675
pwxsm,3717,371700
AxKjw,9285,250695
KhQou,4752,327888
FVLXv,6100,427000
LzYQM,7035,626115
eiFNn,6822,484362
HTneU,2666,199950
woWTU,5045,60540
afDKH,4781,396823
fXnQd,6570,216810
nDWOq,7855,133535
mgRkA,8497,484329
rwALY,8816,731728
bGjFI,9531,686232
OjAxV,5955,184605
pliSK,4756,304384
dkzSF,8157,228396
MuwFP,9385,244010
cfFWu,5813,52317
xfVbw,2227,71264
xBRCe,4337,273231
AiXGp,5494,384580
COxZZ,9759,409878
DgDLy,9668,754104
yqSqM,3816,232776
KuELV,4709,61217
LQmGM,8511,374484
gMrrU,8592,386640
yYKlJ,5995,425645
vlExD,7216,548416
unHPa,9600,556800
Ijovy,7955,755725
jPInm,4430,261370
gkiUJ,9959,687171
cSwhe,4610,313480
zKGLk,3656,347320
HRRep,2752,66048
cAurE,7142,442804
YhtWY,3787,238581
eSItw,5540,548460
flkSX,8344,492296
ltOdM,8544,358848
iwuQa,5043,393354
KcZRO,6590,573330
yGEPn,5244,356592
ZPCiI,6018,228684
clyey,2913,34956
ptuHY,9715,544040
DSLiG,4018,269206
tkjTV,9125,73000
jpOue,7153,443486
gHtBk,9487,948700
HaQbW,3514,256522
lPFrF,7373,560348
zNqnr,5436,309852
oSLEf,3817,366432
XOeGK,3008,216576
MkhmR,8288,331520
HDFVh,7376,228656
bZNrv,8001,616077
qqMRa,9331,139965
yuPlp,7896,671160
EgDVY,2863,171780
oJRnH,4472,143104
Ulvwf,8856,301104
Zdkte,8655,424095
vuCOP,5819,308407
kLAcH,8555,692955
XGhbO,3173,215764
XQaHJ,6009,594891
xHllz,5871,393357
XEmIJ,6040,410720
orpMr,4036,254268
jyrvB,3399,183546
DiWdM,3844,176824
pJbdt,7869,110166
aQesR,3567,21402
yaVEF,3803,53242
NRoJG,3864,65688
aTfZz,7355,235360
oWLEE,6846,335454
yutoT,3233,96990
dGvdC,5488,159152
AYYHE,3561,138879
Pqphe,8823,749955
VZEKW,8838,265140
WRVNv,9086,81774
iHfaD,9312,307296
alDAd,8180,319020
flZxQ,9319,410036
NoAhW,5101,489696
MRUez,9025,126350
jqVSB,2090,66880
aEZLq,6238,93570
jFHnp,7353,213237
niuao,5158,25790
uxoTY,3148,292764
QfxWo,9840,974160
AgdDr,6571,256269
zDqyD,5376,80640
DQdfx,3787,284025
GrqPo,5979,59790
eSTsG,7993,495566
oqAWv,7301,423458
TbVIw,9155,45775
FCIWC,9716,184604
wAqsT,7012,35060
UmHsj,4158,237006
aOMVv,4272,162336
DgKsH,4259,344979
XAQvR,5566,356224
VMttA,5713,279937
RMmcx,7649,726655
fGpJo,8463,363909
gQLfK,6418,513440
NwOBS,3168,41184
vpVkm,6614,119052
BvaxX,9702,291060
WkQEr,2473,222570
NEJMD,9882,770796
iWElQ,6727,242172
uBeRU,6060,96960
IGvms,7513,420728
QtidG,5605,470820
QAbBt,5180,492100
GlqCH,2868,275328
clIpF,3294,197640
hgYlA,7543,731671
GXuAF,9350,570350
aTYKa,7642,412668
jDKYr,5398,280696
HpDxV,3452,107012
yKFQJ,7376,567952
mYRzy,9186,128604
YbrVf,2783,69575
OnxjQ,2673,96228
TSqRr,3162,161262
NDtjR,3758,105224
kPsmd,8452,524024
GeMWZ,7906,403206
Dgwbu,8421,825258
RJOUN,6876,570708
KOOGk,5191,238786
etwzA,3681,279756
