StoreCode,TotalSales,TotalAmount
rLgcW,7947,111258
Kmhev,2314,64792
JMnTL,3094,126854
tygbv,3984,290832
KSaTN,8698,147866
kYhLY,7954,628366
IQpeV,3629,224998
SSGhM,8217,558756
qMQqC,4262,127860
iaKlv,3896,327264
uTDfX,3367,296296
EywWq,4287,235785
YsTui,3593,32337
KNCJS,7089,92157
WuKsx,8087,800613
ANVEy,6218,460132
UWaYX,9571,765680
ssYLB,7738,193450
setOB,5689,398230
hsrSA,3380,310960
kqluk,3976,123256
JYZuR,3125,187500
STRTS,8050,80500
qTePA,6939,457974
mSMBw,7305,109575
dDwYL,5510,214890
Xgsru,4424,185808
ZetEh,8542,333138
vlvxB,5730,320880
PGFlN,9931,148965
hwJkd,8013,777261
jtVyk,7987,239610
rbgKb,2056,53456
DUdIG,8389,671120
GYZVK,4902,49020
QliAf,5864,52776
NlLfn,4814,67396
tmKjH,7760,349200
kqimz,4629,27774
slAfl,3491,272298
Vahai,9127,739287
tXPLn,9702,679140
ePGqv,6504,630888
zCCRP,6812,88556
hMOUE,6762,635628
ntrCa,7596,546912
GmWQr,6741,546021
egwMA,8744,472176
HaEgD,2671,165602
xdCJc,4031,342635
okJyN,4593,252615
ThPsv,7420,742000
VWPwm,5619,449520
UdIGN,6062,72744
rHBoM,7356,551700
AjNQi,2922,207462
nHGfU,9865,680685
vwXuA,8602,326876
ZJRDH,3362,110946
KNnBR,7674,115110
JubAv,7107,390885
MJXcE,4296,403824
lzuFZ,6166,505612
NbkzT,8340,300240
dbLLF,6171,271524
CGXWX,9169,742689
Lnbox,2115,129015
OOCWw,4360,204920
oJjpd,2226,91266
gEHsH,9611,797713
wzYak,7787,303693
zgXpN,5100,306000
oyfDZ,7722,285714
OKaQl,3241,298172
rNDTc,7045,302935
vZRdZ,9733,788373
PEvtn,2813,22504
sYwQV,3875,333250
KBwCt,4200,79800
mPuGW,4006,216324
yTBDy,2022,135474
CueVE,7054,190458
qkxue,8999,260971
LYhDl,5094,432990
gndlW,6849,424638
Lmlko,5005,250250
JWBfD,6400,537600
bIJKs,8041,562870
wqsBh,6675,53400
UcLrz,9013,712027
QOSbc,6578,453882
sMqHg,4774,224378
ehiBf,2390,205540
ddZJd,5209,390675
CrzOh,9415,480165
RDaEM,5493,109860
djmvH,4101,356787
ndGUZ,4728,288408
vOfCn,7849,463091
BTaZB,8329,299844
Bxwxe,3839,53746
aaCPZ,8900,534000
BlIdp,8574,68592
VBYtQ,5180,119140
