StoreCode,TotalSales,TotalAmount
xutyH,7609,76090
yJMiJ,7555,317310
NDifr,7169,379957
RLjJn,9836,904912
ufPuW,4600,207000
SLgwX,2549,53529
NAEvs,8116,284060
eABiL,6034,349972
fQuLm,4931,345170
ldnYd,6356,63560
ltiCp,4078,20390
HnpRj,3734,82148
OTaJQ,4054,182430
ISWmm,7266,181650
DahmV,5949,410481
nNdzJ,4958,133866
blkyR,8771,789390
WOYco,5314,398550
pzkIS,4666,359282
qeYBQ,9881,237144
voZEK,7459,611638
rpnBO,8022,96264
ZVuTI,7435,282530
BtlKJ,7315,555940
RbQBt,6476,492176
mZDVM,2638,52760
SaNNh,7123,427380
Ksnvj,2260,137860
NlpJP,8878,142048
qDBKc,5580,474300
ELRhJ,2720,43520
mZpJm,5212,427384
Myijg,4534,290176
HESXi,4746,175602
zmKuF,4129,173418
Zhwqx,3086,37032
mrMBd,8535,145095
gRnNs,8247,338127
AEaYi,5149,283195
auACm,6588,546804
uxZcL,3176,190560
LLHRI,8562,376728
Gfuml,3764,191964
xpWFE,6014,162378
hzYwn,7053,387915
asrDF,5674,221286
WqXEo,2380,92820
UzyND,4037,44407
VfSTP,8441,565547
KICbe,6907,151954
arcPj,2379,214110
xuXJD,7872,118080
LncVn,8655,856845
DpLms,6230,442330
ukbYT,7850,737900
LUaMu,3880,283240
HlQhV,8780,702400
xqytA,9089,799832
yRrjt,5911,413770
qnaRz,8170,318630
bLEdL,7986,183678
nBWsX,2828,158368
YEDdv,9454,160718
Huqaw,4405,171795
VEMDU,3310,46340
ScRaF,5632,557568
IkEWb,8745,620895
yUAkF,5141,107961
vmMwF,3977,365884
CxgDi,7706,131002
EiFLE,9735,360195
vebAI,4003,400300
hjmEW,9490,360620
XwqDz,9482,360316
oTQNK,3989,71802
yfCFT,6113,55017
sqipH,4605,322350
vKHum,5277,258573
GJYlu,8016,384768
XsQNB,8561,479416
XyNYW,2205,123480
KfNPE,8933,89330
zWLjt,7058,141160
LBZOO,9732,574188
jBUyx,2264,126784
BkcIO,7727,710884
npohD,3045,170520
oHlSy,3958,102908
ORjNJ,7239,115824
nMeRc,9482,815452
KPZsa,5772,46176
HjFMY,6826,423212
ZfISm,2865,283635
xdQSe,7463,231353
WZjPt,4161,253821
uJKMn,9426,65982
ycZWf,8382,419100
jzDgS,7640,466040
ThCjH,8796,668496
LHQkS,6883,516225
sEorK,9178,339586
mlKgn,6387,210771
wywHO,9531,66717
YBGmN,8269,239801
jBTfn,4037,173591
NxHAX,5807,394876
BtXrB,9566,813110
SIGvq,5167,263517
YUuxM,4889,449788
lIxwY,8693,843221
WRTEU,7533,225990
aYZse,3601,21606
uGymu,5703,34218
bdVkY,5956,422876
xxxdQ,8270,281180
TEoKF,7424,720128
TqvHY,8064,645120
YrCmK,3894,179124
AyODv,6339,272577
SLGvg,2929,117160
xYRIJ,2515,176050
mQdRc,3684,121572
PTuRg,9421,574681
sBYvZ,4006,156234
obwvs,7084,141680
FvafL,4023,337932
Lophj,4076,93748
kIGjc,9181,908919
hzhfC,8162,628474
VcTBw,7151,57208
SJmMg,2626,120796
eFaAS,8487,636525
GAZpr,9092,654624
RzlSK,2523,176610
WxaxZ,8278,231784
VwQUS,4503,112575
wGTkG,5438,543800
xhwRj,7905,750975
SJElI,9557,439622
KUzqX,3344,280896
aPylH,8053,56371
meNtD,7374,140106
pIQTk,5830,180730
ExDQm,8096,477664
bXRMv,7331,476515
yBnce,6044,447256
scuvi,6492,532344
pgqEq,6340,336020
ytYLT,7356,441360
LDiYP,7316,307272
WKkXA,3896,307784
ABviR,5213,453531
hJegb,8193,491580
HKTiq,6626,79512
OHnow,6513,488475
FlrAk,5027,155837
RFgpa,5728,458240
saQBN,5962,560428
Jkjcg,9600,268800
nPQjP,9219,543921
NdXau,4505,445995
eNHsM,7487,703778
ntjoe,5095,407600
uJhPn,9059,135885
AXiBL,4425,234525
CqZhn,7007,105105
CYcPN,6203,266729
