StoreCode,TotalSales,TotalAmount
gMrrU,2058,63798
yYKlJ,2175,60900
vlExD,9771,293130
unHPa,6780,203400
Ijovy,2509,70252
jPInm,8266,264512
gkiUJ,8634,86340
cSwhe,5476,432604
zKGLk,2059,14413
HRRep,7180,437980
cAurE,9747,731025
YhtWY,7490,494340
eSItw,5054,116242
flkSX,3714,193128
ltOdM,8512,366016
iwuQa,9118,911800
KcZRO,2990,173420
yGEPn,9349,691826
ZPCiI,4143,198864
clyey,4164,316464
ptuHY,2156,118580
DSLiG,7349,734900
tkjTV,8566,154188
jpOue,4087,355569
gHtBk,6565,308555
HaQbW,6309,220815
lPFrF,5564,200304
zNqnr,6317,63170
oSLEf,9625,731500
XOeGK,4374,227448
MkhmR,2156,153076
HDFVh,9534,371826
bZNrv,3066,193158
qqMRa,3453,314223
yuPlp,2549,76470
EgDVY,6997,83964
oJRnH,5741,568359
Ulvwf,4938,202458
Zdkte,8907,721467
vuCOP,3018,283692
kLAcH,5428,423384
XGhbO,9643,540008
XQaHJ,9237,665064
xHllz,4312,232848
XEmIJ,2588,168220
orpMr,8742,734328
jyrvB,6101,335555
DiWdM,6241,162266
pJbdt,4277,149695
aQesR,5508,501228
yaVEF,8903,373926
NRoJG,4911,319215
aTfZz,2935,88050
oWLEE,5806,261270
yutoT,7657,321594
dGvdC,7258,370158
AYYHE,2315,115750
Pqphe,3014,289344
VZEKW,5443,27215
WRVNv,9817,441765
iHfaD,6054,115026
alDAd,9906,584454
flZxQ,5208,442680
NoAhW,6593,507661
MRUez,9770,977000
jqVSB,3795,303600
aEZLq,2556,15336
jFHnp,9849,827316
niuao,7009,112144
uxoTY,9453,822411
QfxWo,4767,76272
AgdDr,6361,559768
zDqyD,6100,530700
DQdfx,7174,165002
GrqPo,2511,138105
eSTsG,6335,538475
oqAWv,8610,723240
TbVIw,2719,255586
FCIWC,3903,124896
wAqsT,2991,35892
UmHsj,3707,140866
aOMVv,3969,388962
DgKsH,9754,97540
XAQvR,2158,125164
VMttA,4505,171190
RMmcx,3821,336248
fGpJo,8933,357320
gQLfK,3931,153309
NwOBS,7115,668810
vpVkm,2371,222874
BvaxX,8943,259347
WkQEr,9011,486594
NEJMD,5264,42112
iWElQ,9544,639448
uBeRU,2784,192096
IGvms,7779,591204
QtidG,8957,394108
QAbBt,5269,432058
GlqCH,7058,112928
clIpF,8051,491111
hgYlA,2816,19712
GXuAF,2055,39045
aTYKa,6438,180264
jDKYr,3148,264432
HpDxV,7751,224779
yKFQJ,2063,72205
mYRzy,6212,521808
YbrVf,9321,167778
OnxjQ,8392,117488
TSqRr,9443,661010
NDtjR,7795,514470
kPsmd,8581,351821
GeMWZ,9969,139566
Dgwbu,4475,40275
RJOUN,6485,317765
KOOGk,8105,551140
etwzA,5726,463806
gkJwL,9144,310896
TkCEQ,7539,294021
mfVba,8254,57778
iVjoX,2671,243061
xNjcJ,9868,631552
GQUGT,4663,158542
YaHYp,3755,78855
XPLIp,7219,151599
KhXqf,4583,224567
nBQnc,9173,807224
TbFwW,7849,274715
kNhde,3346,60228
dhFID,2987,74675
EZiaQ,5815,81410
sLFmF,6326,56934
toqFu,2436,109620
PdveO,4029,40290
BzZTV,8851,238977
khBfg,9420,376800
Brbyo,8847,840465
hxCJQ,4537,122499
PXenY,8197,237713
cwtDX,9010,504560
eUPbR,4361,170079
WmlnQ,3965,178425
kOlaN,4357,126353
yrQct,4808,341368
WJdpA,3102,49632
fXWVR,9877,987700
NMxTB,6077,54693
pUtri,3372,269760
wnZIE,8347,183634
TgYFa,8761,849817
aNprq,7336,616224
FLcJk,4091,40910
DsvRZ,9460,756800
MUHIO,5894,229866
PnQku,8000,664000
auapI,9346,663566
OgydP,8707,95777
zFXxM,2296,192864
zQzLp,5214,422334
FIAJK,9144,155448
fhhcY,4049,214597
zghcv,8171,335011
KIJls,6148,258216
wdpvP,5037,146073
fFXEw,3242,55114
qYLhG,6243,399552
VuEHV,5000,255000
GlgRx,6684,414408
nvdSW,6502,442136
kOoCc,3943,23658
UbVdI,3064,303336
NssPe,6685,247345
xFuoR,3398,190288
DTMgX,6539,196170
mlJlb,9573,516942
ymBoG,9141,374781
IaTIL,2482,141474
RDRbk,3159,120042
PEdzJ,9675,880425
uvYKG,8249,791904
kaKpY,2889,164673
SeXAD,2542,55924
QMmbL,5080,431800
AGZKo,9300,706800
TScRb,8349,801504
KGAMJ,3686,217474
JViUc,9508,656052
KAhnw,2143,92149
xhPHG,9915,337110
ZSErb,5573,178336
PuWMA,7791,358386
IXpTk,7543,678870
soqBT,3352,278216
UYTSr,3325,232750
cfLcc,8994,746502
LCmQP,4735,108905
zQebo,6060,569640
hWvFA,5321,117062
tqpRp,8582,394772
hUecU,5855,257620
wyZhm,9083,381486
EOVmQ,6056,502648
wdJWS,3156,56808
vVlLg,5416,129984
dvYIP,5006,80096
EYsXj,3772,75440
IJRUx,6197,241683
BQvxj,2147,115938
MZeaV,7478,590762
GdwjX,3324,176172
XzDRI,7809,117135
SfoCb,7053,253908
XHZpl,8252,82520
qhGWw,4425,393825
EyAMJ,9270,101970
cOkai,3307,234797
ErNKN,5880,123480
LUZXk,6236,386632
LCbTC,6940,687060
aFBqj,2516,221408
LgLtU,6320,278080
SVJuK,4888,195520
VgqlC,8775,193050
lNIwZ,4313,306223
nrDwj,7050,218550
mTYLg,8974,430752
kZqaY,5658,277242
biUrp,6423,462456
dySwt,3882,170808
nXTSo,5628,112560
NYJYP,6361,165386
TdqRz,8848,530880
DLuNM,8950,304300
iOdxH,2039,34663
gKrAl,3821,122272
qjOML,6814,183978
vzFzF,7688,207576
IedHV,2673,171072
eZrvP,9446,576206
iflfM,2381,102383
ylIMC,3850,142450
VMeqN,6384,549024
AwOZr,3938,189024
SiIRG,5055,242640
KMQJh,5718,405978
ZkYJi,9993,949335
QivYi,6649,259311
jdRdI,9610,672700
dlRPu,4631,129668
AEzua,6248,449856
udeoO,2012,72432
tIbkH,8022,513408
jnckU,4183,142222
UqKHU,7721,277956
fvvzF,2133,200502
ubBvJ,9495,246870
jcBKP,9515,580415
MZufH,8799,457548
leBWA,8839,256331
FZkIh,6401,518481
QcxGX,6731,578866
OYDFS,8627,716041
CWpDO,6316,246324
yMpVe,9126,730080
NHPBK,9017,216408
BTfXS,7927,404277
GYwgd,8051,40255
SJHSM,3953,264851
eaOwZ,2415,12075
GegCn,7463,52241
CVdHm,3792,360240
piDSU,3452,245092
uHFdq,2675,211325
VBvsZ,7219,707462
OaonV,9425,471250
WxCuC,2660,18620
lrdmQ,2684,77836
XDBOn,6448,64480
zKiCg,6300,233100
GhWjC,9352,822976
rLgcW,3255,84630
Kmhev,7527,37635
JMnTL,7214,36070
tygbv,5206,249888
KSaTN,5256,73584
kYhLY,7112,320040
IQpeV,7542,558108
SSGhM,4677,84186
qMQqC,9009,423423
iaKlv,7305,467520
uTDfX,8114,259648
EywWq,9823,982300
YsTui,7234,397870
KNCJS,5788,439888
WuKsx,4385,57005
ANVEy,2539,172652
UWaYX,6893,579012
ssYLB,6875,261250
setOB,4256,229824
hsrSA,9671,657628
kqluk,7727,610433
JYZuR,7369,537937
STRTS,7057,381078
qTePA,6952,173800
mSMBw,4355,283075
dDwYL,2780,77840
Xgsru,4423,163651
ZetEh,5572,406756
vlvxB,5121,158751
PGFlN,8883,790587
hwJkd,4985,74775
jtVyk,8354,334160
rbgKb,9891,919863
DUdIG,9666,299646
GYZVK,8930,125020
QliAf,5009,45081
NlLfn,9081,817290
tmKjH,9858,207018
kqimz,7235,144700
slAfl,3654,197316
Vahai,8978,709262
tXPLn,6572,157728
ePGqv,3930,98250
zCCRP,2441,205044
hMOUE,6273,552024
ntrCa,5408,254176
GmWQr,8525,323950
egwMA,3599,273524
HaEgD,5981,311012
xdCJc,7710,362370
okJyN,2601,124848
ThPsv,8918,856128
VWPwm,3117,146499
UdIGN,2774,158118
rHBoM,7073,516329
AjNQi,3931,224067
nHGfU,5463,442503
vwXuA,6199,334746
ZJRDH,8589,498162
KNnBR,8794,255026
JubAv,7061,56488
MJXcE,6853,164472
lzuFZ,7313,665483
NbkzT,8932,321552
dbLLF,4247,386477
CGXWX,4743,417384
