StoreCode,TotalSales,TotalAmount
CbeQK,9171,265959
ZBfsh,2321,102124
FvhES,2325,144150
ldomP,4013,24078
QnFtv,6251,443821
eQHIq,6017,330935
rhihY,4678,205832
ScgLy,3451,310590
TxJsD,8099,194376
XgfTL,9104,473408
esjbO,6404,416260
puVXA,8172,768168
rEUwW,7755,178365
hAomW,2332,184228
HtCeM,2878,169802
AhDNA,6420,77040
KErsa,4382,179662
bfbuU,8493,492594
crBFQ,6633,457677
mFdLN,9583,488733
CVBrm,5003,355213
qDQip,4968,263304
KUxkt,4375,214375
qQbgw,7406,429548
FBeJv,7694,638602
kJFpB,6946,138920
glKdt,5184,269568
Tocnf,9428,65996
JcCWb,8484,593880
pXHPq,6750,594000
iRpPc,8125,300625
CjhMA,3921,184287
mwCWY,2324,160356
BfPZz,9993,539622
XAFCB,4885,34195
hQLuY,3547,102863
bKFVJ,5324,393976
cCncM,5256,315360
NmlOX,7829,430595
Gmust,5173,408667
Rxykd,4552,446096
oWaGI,2543,91548
RsycJ,2714,219834
RLIcT,3701,55515
xzYdQ,9351,46755
vDyzg,4476,134280
UlCVn,4177,242266
FzEpU,7818,695802
yBIot,4939,296340
iyptw,7037,133703
xutyH,3918,19590
yJMiJ,4036,322880
NDifr,8056,644480
RLjJn,5921,538811
ufPuW,3824,164432
SLgwX,9720,476280
NAEvs,3939,374205
eABiL,2598,179262
fQuLm,3230,190570
ldnYd,3353,26824
ltiCp,6510,286440
HnpRj,8035,610660
OTaJQ,2077,201469
ISWmm,2081,160237
DahmV,9103,873888
nNdzJ,8991,179820
blkyR,2044,79716
WOYco,9993,389727
pzkIS,8254,363176
qeYBQ,3248,318304
voZEK,6235,99760
rpnBO,7529,639965
ZVuTI,4661,261016
BtlKJ,8968,547048
RbQBt,3592,255032
mZDVM,8526,289884
SaNNh,4558,255248
Ksnvj,2436,221676
NlpJP,6940,312300
qDBKc,2801,95234
ELRhJ,6637,232295
mZpJm,2403,45657
Myijg,5090,300310
HESXi,9734,759252
zmKuF,6758,223014
Zhwqx,7896,607992
mrMBd,9314,391188
gRnNs,8021,288756
AEaYi,5446,223286
auACm,5842,239522
uxZcL,2379,237900
LLHRI,5213,224159
Gfuml,8159,424268
xpWFE,6105,91575
hzYwn,3331,203191
asrDF,7378,486948
WqXEo,8054,781238
UzyND,7007,315315
VfSTP,5405,405375
KICbe,7709,609011
arcPj,9381,525336
xuXJD,6671,320208
LncVn,2378,180728
DpLms,7774,365378
ukbYT,8865,97515
LUaMu,7991,743163
HlQhV,8597,232119
xqytA,4517,325224
yRrjt,4031,382945
qnaRz,2119,40261
bLEdL,2645,111090
nBWsX,9209,847228
YEDdv,6993,601398
Huqaw,9119,118547
VEMDU,2046,63426
ScRaF,4561,328392
IkEWb,4935,167790
yUAkF,9429,801465
vmMwF,4255,161690
CxgDi,3351,224517
EiFLE,4519,244026
vebAI,9936,645840
hjmEW,6097,323141
XwqDz,6552,117936
oTQNK,3650,178850
yfCFT,3998,235882
sqipH,4466,294756
vKHum,9546,439116
GJYlu,5741,310014
XsQNB,7537,633108
XyNYW,7713,624753
KfNPE,4219,122351
zWLjt,5558,544684
LBZOO,3169,288379
jBUyx,5752,431400
BkcIO,6124,367440
npohD,9965,69755
oHlSy,5383,53830
ORjNJ,3827,202831
nMeRc,2420,31460
KPZsa,5455,387305
HjFMY,8308,174468
ZfISm,6150,301350
xdQSe,9318,260904
WZjPt,6038,483040
uJKMn,8271,545886
ycZWf,4950,183150
jzDgS,8123,105599
ThCjH,6696,616032
LHQkS,9883,988300
sEorK,6842,129998
mlKgn,7246,72460
wywHO,8023,681955
YBGmN,8509,280797
jBTfn,3622,344090
NxHAX,7464,559800
BtXrB,5643,344223
SIGvq,9598,479900
