StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
TUqOz,2105-02-28,3169,44366,false
TQhEH,2032-06-22,7549,520881,false
vNjvh,2052-07-10,7933,587042,false
nCpCR,2035-10-30,9308,446784,false
OisEW,2028-02-07,9554,343944,false
rzWpv,2047-12-28,5633,276017,false
raUeR,2090-06-28,5501,308056,false
Nmidn,2091-02-20,9257,481364,false
TFkna,2108-11-10,9438,839982,false
fwNoW,2106-12-21,4837,203154,true
Pfnjx,2064-10-05,4789,292129,false
gnIxY,2112-11-07,3468,319056,true
eQsqH,2087-12-08,4542,336108,true
ekYdJ,2054-04-20,6242,561780,true
UqncH,2061-08-21,9920,803520,true
bHvQY,2119-02-08,7041,528075,true
ooFMl,2021-10-17,5674,28370,true
BHMMR,2110-08-05,9723,87507,false
iNHre,2076-03-20,5942,207970,true
vneIJ,2045-07-14,7232,441152,false
LtozY,2101-05-31,5245,99655,false
rDduE,2076-01-17,2563,25630,false
yfBSp,2103-08-12,8762,806104,true
hlorh,2048-06-24,8313,349146,false
hFHEe,2032-03-27,4639,148448,false
ueVpT,2118-06-30,2493,59832,true
kARRM,2091-05-23,8530,264430,true
HeRgG,2051-10-05,6734,148148,true
KtVeF,2087-01-09,9727,389080,true
TYMCc,2095-03-11,3724,215992,false
rPlyx,2105-09-28,6640,152720,true
RwoJX,2030-07-17,5196,358524,false
RnfWE,2108-01-29,7146,250110,true
dLNJC,2076-08-09,4214,101136,false
wRVSD,2069-09-02,5670,306180,true
naVXO,2041-02-04,8650,692000,false
Vhrir,2104-01-09,8416,446048,true
xnqgV,2055-12-22,4877,356021,false
UAlSz,2104-05-02,2192,67952,true
soSos,2120-12-31,2752,77056,true
pBadJ,2038-01-25,8103,469974,false
DiAjh,2056-04-23,7795,623600,false
MGHhA,2102-12-22,9212,515872,true
rWKmx,2064-10-24,2163,123291,true
JuHHk,2058-06-05,6583,572721,false
gosJF,2057-02-13,4252,344412,false
wEXNf,2117-07-19,7119,420021,false
erENa,2101-10-14,4464,209808,true
KIYze,2056-03-16,3946,217030,true
ZITXO,2071-02-21,7733,139194,true
ukwKz,2051-07-22,6648,126312,false
fROpz,2079-04-24,6362,413530,true
SOpJC,2111-10-10,2226,111300,true
dEUJN,2063-10-06,3526,264450,false
SIymk,2047-10-31,4952,420920,true
dGlTK,2085-03-20,6294,157350,false
rKzml,2109-03-11,7584,439872,true
lbbAI,2046-02-20,8713,130695,true
DJjpR,2036-06-26,5653,435281,true
hejzM,2117-09-11,2017,12102,true
oZZEy,2058-05-30,4774,176638,true
HytDf,2080-05-02,5530,342860,true
ImKgR,2038-10-07,9747,438615,false
bzqhj,2074-11-21,3814,228840,false
JtNFm,2102-08-08,6516,188964,false
gIBGn,2057-06-07,9364,561840,true
BYHfs,2119-12-30,9027,667998,false
jSYfC,2031-08-21,3217,22519,false
XfDRz,2030-01-22,9453,538821,true
wuyow,2046-08-28,3109,121251,false
GhoWI,2044-09-27,2491,72239,false
LWALp,2087-03-29,5051,80816,true
kImZj,2069-07-09,3982,246884,true
xUZHW,2063-09-15,2623,76067,false
XHXCu,2067-06-10,3193,210738,false
LrRYP,2076-05-18,6241,324532,false
ZTCzx,2022-06-13,6348,342792,false
GaflA,2038-05-30,4922,457746,true
xXQVx,2101-12-17,9486,929628,false
yoPMM,2052-03-08,5796,133308,false
fnifp,2066-06-02,3078,277020,false
UBiHD,2041-11-05,5944,463632,false
pHkIy,2121-04-04,8291,381386,true
hAamr,2043-11-01,6438,199578,false
NGGPn,2062-10-02,7094,290854,true
PieYt,2110-01-30,7299,686106,false
BBviV,2037-04-03,8791,131865,true
WGIMR,2072-03-16,7104,198912,true
Fcoqj,2109-05-06,6162,610038,false
zxbcV,2108-09-24,9598,374322,true
aqXjv,2107-04-11,6290,496910,true
HwABJ,2039-07-19,8830,309050,true
pwxsm,2075-07-11,5516,281316,true
AxKjw,2052-09-09,3790,41690,false
KhQou,2084-06-18,5081,269293,false
FVLXv,2056-02-28,4350,147900,true
LzYQM,2084-02-08,7128,213840,true
eiFNn,2038-12-07,7022,49154,true
HTneU,2049-06-14,6607,350171,false
woWTU,2076-05-22,7134,370968,false
afDKH,2119-07-02,5961,166908,false
fXnQd,2075-12-10,5615,286365,false
nDWOq,2057-11-28,7386,605652,true
mgRkA,2111-07-05,2046,155496,false
rwALY,2075-01-19,3891,260697,false
bGjFI,2105-04-28,3976,246512,false
OjAxV,2090-06-26,9369,852579,true
pliSK,2052-04-25,2123,99781,true
dkzSF,2085-05-13,9683,329222,true
MuwFP,2047-10-22,2816,121088,true
cfFWu,2034-02-22,8866,700414,true
xfVbw,2110-06-19,2869,183616,false
xBRCe,2104-07-01,6987,503064,true
AiXGp,2106-08-26,8892,177840,true
COxZZ,2041-01-18,8030,377410,false
DgDLy,2101-07-10,5603,112060,false
yqSqM,2101-12-30,2042,75554,false
KuELV,2053-12-30,2439,221949,true
LQmGM,2031-03-05,4105,172410,false
gMrrU,2057-03-16,8428,143276,false
yYKlJ,2080-09-19,7343,514010,false
vlExD,2060-07-14,5228,78420,true
unHPa,2098-04-11,7101,710100,true
Ijovy,2033-04-25,2516,113220,false
jPInm,2044-08-14,2333,228634,false
gkiUJ,2092-12-06,9239,295648,false
cSwhe,2083-08-07,7832,164472,true
zKGLk,2075-02-24,6793,237755,true
HRRep,2040-07-24,5995,197835,true
cAurE,2033-07-21,2804,173848,true
YhtWY,2120-05-13,2946,103110,false
eSItw,2087-12-24,8986,404370,true
flkSX,2064-10-28,8457,186054,false
ltOdM,2026-10-05,4349,239195,false
iwuQa,2101-12-01,7865,369655,true
KcZRO,2025-01-06,5348,160440,false
yGEPn,2058-02-20,6804,530712,false
ZPCiI,2082-11-30,5509,468265,true
clyey,2084-09-21,6371,318550,false
ptuHY,2081-04-29,2644,153352,true
DSLiG,2042-09-30,9461,700114,true
tkjTV,2076-01-08,4130,413000,false
jpOue,2061-12-16,4939,79024,true
gHtBk,2106-01-16,4948,64324,true
HaQbW,2032-07-13,9287,482924,false
lPFrF,2113-11-01,7998,239940,false
zNqnr,2069-08-26,3383,162384,false
oSLEf,2073-12-03,6269,420023,false
XOeGK,2051-11-04,2169,97605,false
MkhmR,2070-03-10,9924,218328,true
HDFVh,2023-04-09,2691,196443,false
bZNrv,2071-04-25,5168,284240,true
qqMRa,2074-11-08,3303,115605,true
