StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
IRJuG,2079-03-14,4756,247312,true
psBFq,2085-10-12,7932,785268,true
VbuxQ,2067-06-09,7500,270000,true
uKndT,2091-12-02,8712,836352,false
fxCIy,2108-02-19,4031,161240,true
zGyGG,2023-02-07,2548,198744,false
uAkbh,2030-05-04,9796,813068,false
EwABN,2067-12-17,3943,260238,false
bxvtl,2035-08-09,8459,659802,true
mqxxj,2112-01-02,3632,138016,false
tsOJz,2052-03-21,3070,82890,true
GzhSX,2081-04-01,9667,638022,true
kvryu,2109-08-05,5663,481355,true
ZwgUp,2072-10-03,6682,521196,false
NUeWz,2065-03-29,2253,33795,false
vKyIK,2108-05-24,7855,777645,true
AmWQO,2074-05-08,6900,545100,true
fQyRo,2087-04-03,4557,373674,true
hjPHN,2026-01-13,6959,633269,false
POqse,2085-02-24,2762,198864,false
EVDgI,2055-03-08,9624,163608,true
IPcfn,2032-12-23,9740,448040,false
MeMGs,2077-07-20,7683,537810,false
jAhpX,2101-01-25,6190,142370,true
uGDff,2089-12-05,8387,268384,false
gOkdO,2072-03-07,2623,154757,false
jWIre,2042-02-11,9840,777360,true
fHpMI,2103-09-02,4571,287973,true
lVMVN,2045-09-24,6600,125400,true
GSRWU,2097-07-09,7506,562950,true
idOvW,2097-12-31,2959,106524,true
VWqbE,2023-01-04,9027,631890,true
vLmKV,2114-02-27,3890,175050,false
aWOOV,2087-02-17,5861,521629,false
kRrkx,2089-05-10,4417,419615,true
QkEUL,2101-02-25,4481,31367,true
uFpQH,2120-12-15,8094,437076,false
rkxtL,2029-05-26,4148,377468,true
talwS,2106-09-27,4330,99590,true
UaAMB,2054-05-19,8612,284196,true
UAeYW,2118-03-03,6085,158210,false
eyUEn,2041-01-24,8823,538203,true
PjnUz,2064-02-23,9757,790317,true
ODyWO,2111-12-31,7170,315480,true
VHTBY,2121-03-12,9190,330840,true
qfuvj,2096-09-09,6761,622012,true
GWKlk,2062-06-05,3764,124212,false
uDRja,2118-03-18,9991,949145,false
xncbm,2062-04-20,3405,316665,false
QqxEp,2095-09-07,6008,480640,false
QrNwO,2038-10-21,3425,41100,true
Sahxf,2058-11-22,6031,428201,true
oRlni,2114-01-12,9281,733199,false
pWhCP,2040-07-21,4123,399931,false
nYIib,2074-10-08,6706,469420,true
lDLzU,2029-04-18,7355,176520,true
HSBSH,2102-04-26,3286,36146,false
Amagt,2064-01-23,5630,219570,false
eZQuo,2026-09-22,9573,622245,true
oUUDg,2079-04-01,3092,74208,true
CbeQK,2074-11-03,3706,289068,false
ZBfsh,2041-05-26,3944,311576,false
FvhES,2081-09-15,5950,65450,false
ldomP,2049-05-26,6565,439855,true
QnFtv,2090-07-18,5747,540218,false
eQHIq,2106-09-28,6839,594993,false
rhihY,2080-06-13,2880,239040,false
ScgLy,2034-08-21,3199,233527,false
TxJsD,2021-05-21,9232,609312,true
XgfTL,2090-03-25,5841,303732,true
esjbO,2059-10-02,9314,856888,false
puVXA,2063-11-19,6269,81497,true
rEUwW,2120-10-19,5271,305718,false
hAomW,2035-12-09,7846,557066,false
HtCeM,2105-07-07,7628,617868,true
AhDNA,2079-12-12,6935,409165,true
KErsa,2105-07-08,7646,45876,false
bfbuU,2079-02-10,4149,215748,true
crBFQ,2029-08-31,3954,110712,true
mFdLN,2023-12-30,2031,69054,true
CVBrm,2064-04-10,4847,271432,true
qDQip,2055-03-17,4092,356004,false
KUxkt,2096-02-16,7082,382428,true
qQbgw,2096-05-12,4048,311696,false
FBeJv,2105-12-23,2476,175796,true
kJFpB,2078-02-28,4138,128278,false
glKdt,2051-01-19,4040,258560,true
Tocnf,2030-09-26,2124,76464,false
JcCWb,2072-11-20,4321,237655,true
pXHPq,2057-12-18,7377,612291,true
iRpPc,2061-01-08,4651,274409,false
CjhMA,2070-08-10,8592,455376,true
mwCWY,2089-11-15,7967,246977,true
BfPZz,2093-07-02,4408,264480,false
XAFCB,2033-04-12,4719,419991,false
hQLuY,2115-04-21,5096,494312,true
bKFVJ,2023-02-18,9313,866109,false
cCncM,2099-11-23,2573,198121,true
NmlOX,2038-01-14,6305,75660,true
Gmust,2074-11-05,6129,392256,false
Rxykd,2059-11-27,2314,62478,true
oWaGI,2060-08-04,2711,195192,true
RsycJ,2038-04-27,5416,211224,false
RLIcT,2107-03-14,9060,851640,true
xzYdQ,2048-10-22,8372,619528,false
vDyzg,2115-04-13,3607,346272,true
UlCVn,2095-08-20,3938,318978,false
FzEpU,2028-10-30,6113,61130,false
yBIot,2048-03-03,9260,120380,true
iyptw,2068-01-29,2317,143654,true
xutyH,2059-01-09,2562,204960,true
yJMiJ,2108-04-10,5749,419677,false
NDifr,2038-10-03,2265,224235,true
RLjJn,2103-03-11,5666,45328,true
ufPuW,2029-08-04,9220,221280,false
SLgwX,2108-03-09,6603,633888,false
NAEvs,2050-07-18,7891,213057,false
eABiL,2106-01-13,3572,64296,true
fQuLm,2038-10-02,4585,73360,false
ldnYd,2021-02-13,4228,304416,true
ltiCp,2034-10-06,7541,384591,false
