StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
HZIVT,2078-11-10,8213,459928,false
WDVmp,2096-03-29,2381,142860,false
ozDIX,2117-07-06,8994,719520,false
qIDXq,2100-12-18,9439,670169,true
CTQfN,2054-06-28,6257,206481,true
QgAhx,2108-04-20,7909,371723,true
slAcJ,2081-12-12,4382,148988,true
vmrLU,2026-04-11,8323,74907,false
yTHEh,2104-04-11,9226,119938,true
lGoVa,2119-04-01,2552,150568,true
IRJuG,2100-11-10,9225,442800,true
psBFq,2027-09-16,6388,166088,false
VbuxQ,2043-02-16,9478,454944,true
uKndT,2070-09-25,4528,86032,true
fxCIy,2084-12-20,2855,28550,false
zGyGG,2110-01-22,4782,411252,false
uAkbh,2023-03-28,8406,537984,false
EwABN,2090-03-02,2071,99408,true
bxvtl,2052-09-20,5461,442341,true
mqxxj,2054-08-09,6757,94598,false
tsOJz,2056-03-10,3621,162945,true
GzhSX,2090-08-29,3494,125784,false
kvryu,2055-04-21,3550,255600,false
ZwgUp,2047-08-26,8668,121352,true
NUeWz,2091-12-10,5360,139360,true
vKyIK,2038-05-25,7531,37655,false
AmWQO,2036-12-08,6522,84786,true
fQyRo,2110-11-17,5374,521278,true
hjPHN,2110-11-14,2087,206613,true
POqse,2121-07-11,7629,396708,false
EVDgI,2049-07-08,8004,624312,false
IPcfn,2050-01-05,8133,187059,true
MeMGs,2024-10-27,9615,826890,false
jAhpX,2053-08-27,3337,200220,false
uGDff,2036-11-20,2409,146949,false
gOkdO,2074-04-08,3273,258567,true
jWIre,2050-05-28,9254,832860,false
fHpMI,2052-12-17,9972,358992,false
lVMVN,2054-08-29,8875,355000,false
GSRWU,2043-03-26,6230,180670,false
idOvW,2114-12-02,9874,315968,false
VWqbE,2083-08-09,6813,320211,true
vLmKV,2034-11-28,6264,325728,false
aWOOV,2102-09-01,5435,402190,true
kRrkx,2043-06-18,5884,394228,true
QkEUL,2039-04-02,2139,25668,false
uFpQH,2061-04-06,8424,581256,true
rkxtL,2044-09-17,2578,139212,true
talwS,2074-09-26,5683,96611,true
UaAMB,2091-04-03,5332,437224,true
UAeYW,2086-08-25,7535,105490,true
eyUEn,2104-01-22,7287,189462,false
PjnUz,2042-12-31,8921,98131,false
ODyWO,2113-01-01,4199,176358,false
VHTBY,2082-11-10,9292,622564,false
qfuvj,2083-03-11,7074,176850,false
GWKlk,2027-05-01,8091,606825,false
uDRja,2070-08-19,6214,590330,true
xncbm,2117-10-05,6484,544656,true
QqxEp,2027-09-18,5930,462540,true
QrNwO,2076-07-02,7441,52087,true
Sahxf,2091-07-27,9627,317691,false
oRlni,2096-06-28,4709,367302,false
pWhCP,2069-02-04,8718,130770,false
nYIib,2056-04-04,9241,443568,true
lDLzU,2077-05-10,7136,449568,false
HSBSH,2112-08-27,9033,261957,false
Amagt,2087-10-11,3151,94530,false
eZQuo,2047-05-06,9440,84960,true
oUUDg,2048-05-23,7367,471488,false
CbeQK,2120-04-19,2485,121765,true
ZBfsh,2078-03-19,5323,340672,true
FvhES,2032-08-03,8828,97108,true
ldomP,2063-05-06,7429,601749,false
QnFtv,2105-09-08,8160,538560,false
eQHIq,2049-05-22,3825,271575,true
rhihY,2083-09-09,6300,31500,false
ScgLy,2026-01-10,4692,220524,true
TxJsD,2112-06-09,9978,658548,false
XgfTL,2038-04-03,9142,557662,false
esjbO,2069-07-03,4408,396720,false
puVXA,2028-12-06,3983,354487,false
rEUwW,2059-08-07,4217,269888,true
hAomW,2067-09-27,2536,81152,false
HtCeM,2031-09-08,5314,265700,false
AhDNA,2080-09-03,5934,545928,true
KErsa,2075-07-12,6358,286110,true
bfbuU,2030-05-21,9033,234858,true
crBFQ,2071-10-09,5953,428616,false
mFdLN,2032-01-20,6242,436940,false
CVBrm,2098-11-20,9586,345096,false
qDQip,2032-04-20,4961,347270,true
KUxkt,2074-02-11,3456,127872,false
qQbgw,2077-04-19,7859,204334,false
FBeJv,2099-11-27,8875,789875,false
kJFpB,2058-05-25,7263,72630,false
glKdt,2032-12-18,2267,147355,true
Tocnf,2043-02-16,4267,392564,false
JcCWb,2023-12-31,6627,72897,true
pXHPq,2080-10-24,5640,73320,false
iRpPc,2113-07-07,4843,305109,false
CjhMA,2109-01-19,6667,440022,true
mwCWY,2099-08-27,6319,315950,true
BfPZz,2091-10-17,4670,154110,false
XAFCB,2101-04-16,7404,673764,false
hQLuY,2072-05-10,7140,64260,true
bKFVJ,2114-03-18,9663,724725,false
cCncM,2087-07-22,5330,101270,false
NmlOX,2100-11-02,4134,239772,true
Gmust,2034-12-04,3154,126160,false
Rxykd,2069-12-19,8344,141848,true
oWaGI,2108-04-08,3676,220560,true
RsycJ,2092-05-09,5100,408000,false
RLIcT,2110-08-09,2079,155925,true
xzYdQ,2075-08-18,4523,303041,true
vDyzg,2039-09-06,3791,227460,false
UlCVn,2036-08-15,8027,658214,false
FzEpU,2105-07-14,6583,605636,true
yBIot,2084-04-22,4090,208590,false
iyptw,2099-05-30,8252,305324,true
xutyH,2061-09-17,6206,397184,true
yJMiJ,2082-04-08,8531,597170,false
NDifr,2024-01-18,4605,207225,false
RLjJn,2062-06-22,9751,312032,true
ufPuW,2119-09-20,2006,80240,true
SLgwX,2098-05-18,6292,421564,false
NAEvs,2075-06-30,6099,603801,false
eABiL,2029-12-03,5300,429300,false
fQuLm,2071-12-24,8480,610560,true
ldnYd,2030-12-28,8402,604944,false
ltiCp,2038-10-29,9034,171646,true
HnpRj,2099-10-26,6830,40980,false
OTaJQ,2049-02-12,4249,331422,false
ISWmm,2096-11-28,7918,39590,true
DahmV,2049-09-25,5650,333350,false
nNdzJ,2031-06-12,5998,581806,false
blkyR,2058-02-17,7855,314200,true
WOYco,2109-09-17,2273,95466,false
pzkIS,2101-03-25,4366,235764,true
qeYBQ,2095-02-10,8544,145248,true
voZEK,2066-01-11,3352,221232,false
rpnBO,2067-03-21,8786,43930,true
ZVuTI,2082-04-15,8259,181698,false
BtlKJ,2059-04-17,4395,197775,true
