StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
wyZhm,2069-12-24,5451,87216,true
EOVmQ,2116-06-02,2313,178101,false
wdJWS,2063-07-16,9321,177099,true
vVlLg,2095-01-05,9505,199605,false
dvYIP,2090-07-28,6821,634353,true
EYsXj,2116-09-07,9383,572363,false
IJRUx,2087-03-03,8698,60886,false
BQvxj,2042-07-30,6478,77736,false
MZeaV,2072-08-18,8215,468255,false
GdwjX,2094-10-03,8107,559383,false
XzDRI,2051-10-02,8902,614238,true
SfoCb,2120-11-13,5231,282474,true
XHZpl,2112-04-20,3698,166410,false
qhGWw,2096-10-08,6211,74532,false
EyAMJ,2097-12-02,4275,94050,false
cOkai,2091-08-09,2215,197135,true
ErNKN,2045-05-23,4021,28147,false
LUZXk,2023-11-30,2300,220800,false
LCbTC,2098-03-09,4704,75264,true
aFBqj,2102-03-02,2122,76392,false
LgLtU,2070-12-10,3280,311600,false
SVJuK,2083-02-04,3319,162631,true
VgqlC,2037-03-24,7722,471042,true
lNIwZ,2113-01-09,4693,408291,false
nrDwj,2027-12-26,8023,746139,true
mTYLg,2068-12-14,4634,106582,true
kZqaY,2081-01-02,6369,146487,true
biUrp,2058-03-06,2127,27651,false
dySwt,2040-11-27,5518,325562,false
nXTSo,2043-05-10,8967,824964,false
NYJYP,2104-12-23,2140,151940,false
TdqRz,2035-12-20,7471,410905,false
DLuNM,2075-03-14,7412,385424,false
iOdxH,2107-02-08,5809,81326,false
gKrAl,2095-04-23,3049,100617,true
qjOML,2081-12-13,3462,62316,false
vzFzF,2070-12-08,8792,413224,true
IedHV,2029-10-24,9512,142680,true
eZrvP,2088-01-11,7000,455000,false
iflfM,2065-09-29,5517,540666,false
ylIMC,2101-02-28,9609,490059,false
VMeqN,2088-07-31,6892,96488,true
AwOZr,2109-09-05,8308,465248,true
SiIRG,2103-05-11,7201,388854,true
KMQJh,2119-05-17,3040,115520,true
ZkYJi,2089-04-19,2166,201438,true
QivYi,2039-06-17,9414,461286,true
jdRdI,2093-11-13,3794,345254,false
dlRPu,2110-02-19,3556,42672,true
AEzua,2103-10-12,8769,324453,true
udeoO,2094-10-20,6616,588824,false
tIbkH,2051-09-10,7585,348910,true
jnckU,2046-06-13,4169,383548,true
UqKHU,2072-12-30,2944,264960,true
fvvzF,2116-05-13,4696,356896,false
ubBvJ,2076-07-25,5799,46392,false
jcBKP,2076-02-21,9736,564688,false
MZufH,2032-07-21,9830,452180,true
leBWA,2026-01-26,8397,470232,true
FZkIh,2035-02-21,2145,100815,true
QcxGX,2023-08-01,7073,636570,false
OYDFS,2105-09-19,5857,474417,false
CWpDO,2095-05-31,9182,284642,false
yMpVe,2088-02-27,5770,225030,false
