StoreCode,Date,TotalSales,TotalAmount
sLFmF,2070-11-16,6267,357219
toqFu,2122-07-03,6219,298512
PdveO,2046-11-10,8960,510720
BzZTV,2068-11-14,6318,265356
khBfg,2117-08-27,5208,401016
Brbyo,2105-10-14,9542,400764
hxCJQ,2080-06-20,5974,352466
PXenY,2112-12-20,4046,44506
cwtDX,2024-02-13,3496,59432
eUPbR,2060-10-04,8996,143936
WmlnQ,2072-09-13,7896,576408
kOlaN,2112-02-11,5175,31050
yrQct,2110-10-03,9805,853035
WJdpA,2105-04-08,7732,177836
fXWVR,2030-03-03,3047,36564
NMxTB,2103-09-24,9365,131110
pUtri,2098-11-25,3018,66396
wnZIE,2048-02-24,7239,238887
TgYFa,2050-08-31,7585,379250
aNprq,2086-08-30,5947,446025
FLcJk,2031-06-24,7134,349566
DsvRZ,2070-09-09,6146,510118
MUHIO,2036-09-15,9319,540502
PnQku,2071-08-13,2802,280200
auapI,2083-12-31,6129,612900
OgydP,2109-02-14,6245,306005
zFXxM,2096-04-29,7121,121057
zQzLp,2089-03-21,8726,69808
FIAJK,2118-12-22,5458,272900
fhhcY,2086-03-08,6734,141414
zghcv,2102-07-26,8393,41965
KIJls,2118-11-26,2392,26312
wdpvP,2112-10-12,6283,565470
fFXEw,2050-09-01,8220,822000
qYLhG,2053-09-25,8689,451828
VuEHV,2103-07-06,8596,481376
GlgRx,2063-12-23,4106,184770
nvdSW,2099-06-03,7401,562476
kOoCc,2061-09-06,3417,41004
UbVdI,2086-12-12,4384,381408
NssPe,2077-02-14,4125,292875
xFuoR,2066-07-24,2270,158900
DTMgX,2119-10-08,4612,332064
mlJlb,2035-07-19,4396,153860
ymBoG,2040-02-18,6083,462308
IaTIL,2049-12-01,8792,685776
RDRbk,2052-02-15,2094,35598
PEdzJ,2073-05-21,3094,269178
uvYKG,2079-11-08,9319,605735
kaKpY,2079-07-31,9262,833580
SeXAD,2082-12-24,5542,160718
QMmbL,2123-04-10,4602,358956
AGZKo,2078-11-12,5823,582300
TScRb,2116-01-11,6962,536074
KGAMJ,2034-11-03,6883,130777
JViUc,2103-03-30,2070,103500
KAhnw,2047-01-08,3821,282754
xhPHG,2101-08-06,8908,543388
ZSErb,2064-10-18,3151,37812
PuWMA,2068-04-16,2805,33660
IXpTk,2091-09-21,3846,165378
soqBT,2088-01-05,4120,218360
UYTSr,2086-09-29,8652,666204
cfLcc,2038-09-02,9140,694640
LCmQP,2082-12-09,5102,413262
zQebo,2099-03-01,6179,296592
hWvFA,2050-09-25,4534,335516
tqpRp,2122-04-24,9483,341388
hUecU,2029-08-28,9141,466191
wyZhm,2070-12-23,9248,656608
EOVmQ,2052-06-14,7550,717250
wdJWS,2031-02-13,8967,564921
vVlLg,2107-06-27,4633,291879
dvYIP,2091-03-25,6909,303996
EYsXj,2043-02-11,4162,357932
IJRUx,2100-06-24,8522,85220
BQvxj,2115-09-15,5904,123984
MZeaV,2041-04-12,8327,308099
GdwjX,2094-04-09,8951,689227
XzDRI,2081-01-31,3322,39864
SfoCb,2050-08-17,6131,275895
XHZpl,2049-12-10,8619,361998
qhGWw,2097-12-18,7347,337962
EyAMJ,2080-07-27,7768,318488
cOkai,2052-10-10,7688,615040
ErNKN,2077-08-03,2868,14340
LUZXk,2032-08-21,5584,201024
LCbTC,2113-04-19,6216,217560
aFBqj,2036-07-21,5898,289002
LgLtU,2031-12-30,5168,253232
SVJuK,2085-07-31,4464,223200
VgqlC,2057-09-14,7065,303795
lNIwZ,2086-06-10,5143,216006
nrDwj,2087-02-08,9718,174924
mTYLg,2076-09-14,6655,66550
kZqaY,2074-10-31,5597,307835
biUrp,2064-10-23,3521,228865
dySwt,2095-07-22,9764,263628
nXTSo,2076-04-12,9642,761718
NYJYP,2106-07-06,5349,336987
TdqRz,2058-08-17,6329,189870
DLuNM,2037-07-22,4192,176064
iOdxH,2121-11-14,6905,117385
gKrAl,2110-04-24,3756,202824
qjOML,2033-03-22,6079,577505
vzFzF,2063-09-08,5614,392980
IedHV,2066-03-24,3423,116382
eZrvP,2052-11-16,4207,265041
iflfM,2050-11-01,9578,440588
ylIMC,2032-03-26,9615,509595
VMeqN,2077-10-27,9366,758646
AwOZr,2092-10-21,8114,641006
SiIRG,2086-11-25,7015,364780
KMQJh,2098-01-08,4932,167688
ZkYJi,2089-05-30,9309,130326
QivYi,2064-01-28,2574,102960
jdRdI,2105-05-03,6893,627263
dlRPu,2050-09-18,6145,559195
AEzua,2090-09-13,7734,595518
udeoO,2086-11-05,8141,521024
tIbkH,2107-10-14,7944,230376
jnckU,2023-08-16,9963,129519
UqKHU,2089-03-28,3684,40524
fvvzF,2105-01-26,4003,248186
ubBvJ,2099-04-24,6236,555004
jcBKP,2121-07-01,4965,466710
MZufH,2072-03-20,6153,553770
leBWA,2091-04-14,8789,79101
FZkIh,2108-03-23,8466,821202
