StoreCode,Date,TotalSales,TotalAmount
jcBdh,2115-06-03,8342,809174
byOjC,2080-04-07,3750,135000
AaqJK,2048-09-28,3537,88425
tzcPa,2045-12-15,4923,265842
Hkqpu,2044-04-29,3340,86840
Iizvd,2088-12-22,5488,318304
RDqil,2105-12-27,4674,458052
uHVWC,2054-03-18,4379,91959
RJhmE,2118-08-25,9377,431342
XvqqP,2038-01-01,4963,89334
xWhJf,2078-09-20,9932,864084
yGLBj,2076-11-23,8833,609477
dNYXo,2092-07-21,2988,113544
synBh,2074-06-01,4165,299880
hgXTv,2056-08-11,2882,144100
QscgK,2061-05-11,4258,178836
uDZNS,2120-10-29,5917,402356
gYdPd,2093-05-19,7502,97526
swMcN,2037-12-19,8742,559488
huOCi,2105-04-07,2891,289100
XKpkB,2118-08-16,3408,276048
IQIoQ,2061-02-11,9484,616460
Pqibt,2059-05-19,2575,118450
QLYru,2055-11-04,8037,345591
prNjp,2117-12-12,5442,304752
ywDgw,2031-02-10,6295,598025
EOuGi,2038-02-18,3340,40080
qGCvQ,2028-01-31,9927,158832
IwMFG,2103-01-23,6020,559860
RNCWl,2027-09-28,2128,197904
iufYB,2037-07-14,8190,761670
anlBU,2046-04-24,8394,167880
SPPBt,2035-01-11,4115,255130
uDaMI,2086-08-30,6267,495093
abUtW,2070-09-30,9596,796468
bceYY,2058-01-25,8168,212368
yIpfP,2118-11-23,5497,522215
iapZh,2063-07-23,5244,241224
xqxiX,2025-08-03,2159,47498
GpVwe,2105-06-10,6816,654336
TfCjo,2053-02-04,8572,77148
uSIuL,2078-12-09,5465,535570
DKhMG,2057-04-04,6674,253612
UMzIr,2077-01-22,2086,68838
JEcPe,2031-05-10,5972,125412
dHOWb,2119-04-11,9871,760067
MTtET,2051-06-02,9564,392124
cDvSm,2054-11-12,5572,484764
YqlzQ,2069-02-13,9374,581188
TIIHZ,2079-06-04,9520,885360
tQEig,2029-07-13,6294,610518
zEpHg,2079-06-28,8247,684501
EJFNk,2039-09-04,8312,573528
AvbxV,2118-04-30,3382,331436
HpTWl,2074-02-14,8821,273451
QCjmN,2095-09-29,7267,87204
tzeZO,2110-01-12,8422,640072
Kwcjp,2079-05-27,3624,141336
