StoreCode,Date,TotalSales,TotalAmount
kPsmd,2084-08-12,4677,168372
GeMWZ,2097-09-12,8557,650332
Dgwbu,2060-04-04,7761,333723
RJOUN,2036-02-25,4224,109824
KOOGk,2084-10-05,7186,57488
etwzA,2063-04-15,3661,109830
gkJwL,2062-07-07,4869,170415
TkCEQ,2039-06-07,9622,452234
mfVba,2096-02-27,9017,522986
iVjoX,2109-03-11,9002,90020
xNjcJ,2024-05-17,4768,295616
GQUGT,2106-04-15,6012,577152
YaHYp,2046-12-17,2546,68742
XPLIp,2096-09-03,6768,263952
KhXqf,2110-08-29,7156,186056
nBQnc,2117-04-04,6833,567139
TbFwW,2026-04-07,8696,747856
kNhde,2039-11-12,3881,186288
dhFID,2066-09-02,8240,57680
EZiaQ,2101-01-19,5484,268716
sLFmF,2103-07-03,5114,511400
toqFu,2040-08-16,6946,340354
PdveO,2089-08-26,3222,306090
BzZTV,2094-02-21,3751,183799
khBfg,2105-10-06,9506,351722
Brbyo,2084-01-17,6150,55350
hxCJQ,2097-02-15,3887,174915
PXenY,2024-11-11,3216,189744
cwtDX,2115-03-26,2700,37800
eUPbR,2031-07-14,9509,456432
WmlnQ,2039-05-02,9914,674152
kOlaN,2069-07-31,4242,50904
yrQct,2041-10-27,2998,17988
WJdpA,2099-06-06,7711,532059
fXWVR,2054-01-06,2587,240591
NMxTB,2114-03-07,4209,71553
pUtri,2067-11-10,7047,591948
wnZIE,2110-07-05,9405,583110
TgYFa,2043-03-27,9736,623104
aNprq,2120-06-13,6886,296098
FLcJk,2036-07-06,5959,518433
DsvRZ,2056-05-04,8275,264800
MUHIO,2106-02-04,8256,619200
PnQku,2102-06-17,5287,105740
auapI,2113-04-21,5792,445984
OgydP,2064-12-03,9911,842435
zFXxM,2037-02-18,5827,442852
zQzLp,2038-05-31,5707,547872
FIAJK,2052-07-31,3611,285269
fhhcY,2093-07-31,5384,317656
zghcv,2065-02-11,2680,50920
KIJls,2098-01-26,2784,153120
wdpvP,2060-04-13,4736,194176
fFXEw,2028-05-25,6955,591175
qYLhG,2099-02-15,6585,111945
VuEHV,2023-06-05,9919,853034
GlgRx,2092-11-17,8138,97656
nvdSW,2026-05-10,5743,384781
kOoCc,2055-11-12,3980,47760
UbVdI,2056-07-29,8981,763385
NssPe,2042-09-05,7713,115695
xFuoR,2074-02-16,3251,136542
DTMgX,2105-12-03,2945,247380
mlJlb,2088-01-12,2738,265586
ymBoG,2103-12-01,6179,469604
IaTIL,2120-07-04,7274,356426
RDRbk,2078-01-21,7475,231725
PEdzJ,2087-08-17,9486,559674
uvYKG,2039-10-27,4053,81060
kaKpY,2036-02-14,5110,490560
SeXAD,2089-09-05,8788,834860
