StoreCode,Date,TotalSales,TotalAmount
jtVyk,2060-10-18,3713,159659
rbgKb,2042-05-01,3134,235050
DUdIG,2088-05-24,5055,171870
GYZVK,2074-07-17,8685,799020
QliAf,2119-07-20,7199,518328
NlLfn,2050-11-13,5610,179520
tmKjH,2077-02-20,2757,55140
kqimz,2026-07-05,3047,137115
slAfl,2052-05-14,9011,180220
Vahai,2075-02-27,4499,314930
tXPLn,2030-11-10,5763,576300
ePGqv,2071-05-17,2725,138975
zCCRP,2065-11-07,4600,41400
hMOUE,2036-09-01,7817,78170
ntrCa,2067-10-03,5523,259581
GmWQr,2071-04-04,5752,281848
egwMA,2054-05-21,5318,95724
HaEgD,2094-04-26,3515,38665
xdCJc,2082-03-17,9047,669478
okJyN,2026-03-04,3276,147420
ThPsv,2123-04-12,8298,647244
VWPwm,2033-09-25,7438,133884
UdIGN,2062-07-15,8140,716320
rHBoM,2061-08-05,4220,189900
AjNQi,2103-11-21,9796,607352
nHGfU,2069-03-10,4329,290043
vwXuA,2052-09-12,6112,336160
ZJRDH,2107-07-25,5824,267904
KNnBR,2107-02-02,3159,290628
JubAv,2114-11-22,2257,205387
MJXcE,2093-08-28,2851,96934
lzuFZ,2080-10-25,9405,724185
NbkzT,2099-05-16,7370,198990
dbLLF,2120-02-03,2038,18342
CGXWX,2083-08-28,3022,275002
Lnbox,2062-04-02,5642,530348
OOCWw,2050-10-29,3781,302480
oJjpd,2035-12-13,8945,527755
gEHsH,2102-05-25,9883,731342
wzYak,2031-03-07,5091,473463
zgXpN,2117-07-26,7801,616279
oyfDZ,2030-09-23,7964,469876
OKaQl,2119-09-22,4678,32746
rNDTc,2121-04-19,4213,345466
vZRdZ,2067-04-30,4776,205368
PEvtn,2052-06-21,4972,462396
sYwQV,2023-04-28,3746,33714
KBwCt,2036-10-24,8891,693498
mPuGW,2039-06-20,8916,347724
yTBDy,2056-12-21,4683,37464
CueVE,2051-10-02,2599,122153
qkxue,2098-03-08,7986,734712
LYhDl,2107-04-26,2015,149110
gndlW,2121-02-06,9170,917000
Lmlko,2113-11-23,9380,469000
JWBfD,2023-02-04,9524,76192
bIJKs,2115-12-10,8309,74781
wqsBh,2113-09-08,5060,364320
UcLrz,2106-08-01,3790,212240
QOSbc,2106-09-20,2849,56980
sMqHg,2112-04-14,8136,610200
ehiBf,2123-01-26,5432,526904
ddZJd,2057-09-12,4542,163512
CrzOh,2074-05-17,4551,327672
RDaEM,2059-06-18,6318,524394
djmvH,2069-02-10,6397,601318
ndGUZ,2122-05-25,7956,159120
vOfCn,2037-02-18,2725,100825
BTaZB,2043-04-07,3408,211296
Bxwxe,2088-04-16,4329,333333
aaCPZ,2087-09-08,3809,205686
BlIdp,2082-06-16,9438,688974
VBYtQ,2119-10-24,3171,53907
ZpOOw,2122-07-10,3400,125800
fRyHQ,2102-01-04,9685,716690
ttEre,2048-11-09,9670,444820
XfzNT,2031-07-30,2479,116513
KFoSd,2079-06-07,7605,654030
WTDQv,2030-03-13,4116,238728
MkNMD,2064-03-19,2047,161713
KBamU,2026-06-10,7145,307235
xViNc,2110-08-07,6917,290514
gKIyA,2055-03-26,3723,282948
OdkJD,2100-08-01,3865,262820
zxAJF,2071-02-02,9844,964712
Igdvq,2072-06-23,3052,91560
wiIhA,2062-11-30,9692,329528
FnFgI,2026-09-07,6403,332956
wJMYW,2081-11-11,2216,26592
mjplW,2050-06-20,5023,256173
eDTeH,2103-10-20,3913,277823
TIOBi,2032-07-28,9482,616330
xwKsc,2081-08-14,2701,54020
stMiO,2031-08-27,3194,274684
HawXD,2060-09-17,9116,455800
rfDaa,2094-09-15,5228,318908
OXAud,2028-05-15,8628,336492
lglks,2035-08-16,8757,490392
nTacC,2095-08-01,5698,267806
SeDoA,2117-03-27,7107,42642
TGccw,2072-11-13,4755,261525
XBWmR,2046-10-19,7830,720360
gykMD,2074-09-06,5749,362187
wEQqZ,2033-04-06,8677,260310
NyJnU,2104-09-15,5216,281664
DXhHc,2076-01-14,5469,278919
qDvAh,2070-07-09,3221,193260
nUTHk,2085-03-19,4649,404463
acGxm,2110-05-14,5101,173434
shnja,2086-04-05,2622,89148
KFUGw,2035-03-20,3723,227103
UDpYo,2043-06-16,4167,83340
LplpW,2090-06-08,7090,326140
aZUOR,2117-05-11,6623,225182
FWGHn,2082-12-26,7834,274190
LtwFp,2085-01-13,3149,233026
bRHtm,2121-06-28,6280,414480
MkghG,2035-08-14,9530,638510
Ikadb,2116-05-25,6952,159896
HZIVT,2084-03-04,5133,164256
WDVmp,2048-06-02,2524,229684
ozDIX,2109-01-10,6836,136720
qIDXq,2088-03-29,3036,115368
CTQfN,2083-09-20,6615,92610
QgAhx,2119-09-24,4009,76171
slAcJ,2098-11-25,7716,771600
vmrLU,2074-05-14,4366,388574
yTHEh,2049-09-10,2492,87220
lGoVa,2114-12-16,9526,866866
IRJuG,2120-08-20,6620,211840
psBFq,2046-06-16,5975,424225
VbuxQ,2029-04-26,3129,240933
uKndT,2039-07-06,8963,98593
fxCIy,2024-04-13,4962,297720
zGyGG,2113-01-30,9070,308380
uAkbh,2116-04-13,6785,678500
EwABN,2039-05-14,3734,265114
bxvtl,2030-09-24,2321,106766
mqxxj,2105-06-11,6697,495578
tsOJz,2025-01-12,3846,230760
GzhSX,2052-05-25,4554,50094
kvryu,2064-04-30,9401,244426
ZwgUp,2032-04-17,4223,147805
NUeWz,2113-10-04,9917,89253
vKyIK,2050-04-23,9475,644300
AmWQO,2028-09-16,5728,97376
fQyRo,2094-12-02,7360,529920
hjPHN,2024-03-03,6831,539649
POqse,2077-03-25,4922,54142
EVDgI,2101-09-08,5144,457816
IPcfn,2032-04-03,4402,440200
MeMGs,2094-04-20,8203,656240
jAhpX,2094-10-23,2803,170983
uGDff,2107-01-25,3428,257100
gOkdO,2026-06-12,8476,728936
jWIre,2038-12-30,2710,230350
fHpMI,2108-03-19,7932,428328
lVMVN,2061-09-14,8673,69384
GSRWU,2055-03-11,5151,262701
idOvW,2037-01-11,6130,459750
VWqbE,2091-02-13,9804,558828
vLmKV,2084-04-02,2021,52546
aWOOV,2052-08-29,9266,305778
kRrkx,2087-10-16,7431,208068
QkEUL,2077-03-26,6335,240730
uFpQH,2057-02-10,8214,681762
rkxtL,2079-01-05,5701,62711
talwS,2110-10-19,7980,790020
UaAMB,2024-01-17,9773,801386
UAeYW,2108-07-04,4429,407468
eyUEn,2059-08-29,7975,630025
PjnUz,2035-08-01,4563,424359
ODyWO,2025-10-01,7759,411227
VHTBY,2039-11-28,5922,153972
qfuvj,2046-04-09,9121,182420
GWKlk,2041-04-25,5507,462588
uDRja,2118-03-28,7474,411070
xncbm,2091-03-07,5124,251076
QqxEp,2034-02-06,6518,501886
QrNwO,2106-07-02,8993,530587
Sahxf,2034-08-09,6394,498732
oRlni,2032-07-28,9353,467650
pWhCP,2086-03-17,7908,126528
