StoreCode,Date,TotalSales,TotalAmount
anlBU,2105-05-29,4473,335475
SPPBt,2067-09-24,6045,531960
uDaMI,2100-08-14,4063,36567
abUtW,2063-05-11,8599,455747
bceYY,2049-07-01,6747,161928
yIpfP,2051-03-17,8516,681280
iapZh,2062-11-15,9181,780385
xqxiX,2096-08-16,7561,468782
GpVwe,2094-03-22,6778,264342
TfCjo,2051-09-30,3199,35189
uSIuL,2100-01-11,9057,253596
DKhMG,2069-12-28,8750,463750
UMzIr,2087-09-04,9984,479232
JEcPe,2085-03-28,6451,580590
dHOWb,2123-04-20,7468,112020
MTtET,2083-11-22,3474,336978
cDvSm,2103-06-17,5133,364443
YqlzQ,2102-08-28,6916,622440
TIIHZ,2033-09-05,5944,463632
tQEig,2087-03-21,4005,284355
zEpHg,2111-04-15,4634,361452
EJFNk,2044-06-14,2666,23994
AvbxV,2121-02-02,7738,619040
HpTWl,2098-06-17,2281,120893
QCjmN,2058-12-28,8195,311410
tzeZO,2085-11-25,4854,334926
Kwcjp,2076-10-13,6806,442390
pcROx,2090-02-15,5498,153944
gAMtd,2027-08-20,2966,118640
VjKsx,2108-02-21,4834,106348
svunt,2066-12-15,9031,198682
YuwRT,2027-09-15,7165,358250
hPeiL,2118-04-24,6553,65530
uadTG,2044-07-30,7390,362110
CcTQy,2123-08-03,5679,34074
MfVCP,2067-05-25,6527,202337
gfSXb,2083-04-12,5383,193788
GPemI,2092-11-09,4215,320340
LohWj,2094-01-10,7094,326324
AlHDZ,2107-06-14,9566,813110
rykeP,2057-11-13,3921,262707
hAfge,2111-02-19,7457,432506
HMraQ,2090-07-15,3827,321468
eRGZG,2092-05-28,9848,216656
BzeNi,2080-03-16,3624,315288
dnagi,2111-01-26,6104,274680
JIrDE,2035-08-09,5722,423428
hYddv,2091-03-15,5518,220720
NvIxY,2071-04-28,9762,810246
geUiu,2036-12-20,7745,139410
vFTOt,2111-06-26,7026,484794
rLEAw,2104-04-17,3178,203392
jTOEa,2053-02-19,7850,714350
UufKk,2046-11-19,9610,422840
NaMdF,2040-05-19,3208,279096
vGgMR,2050-01-07,4287,167193
pqzjt,2123-06-24,4473,357840
qoWVi,2082-05-25,7094,333418
EzcZR,2087-08-15,8927,580255
XdLFb,2090-12-30,2640,124080
WqIEX,2076-06-29,4094,372554
KsXVw,2062-01-11,2363,37808
pQOhV,2032-09-27,7570,605600
sQwdy,2058-06-26,6300,541800
jaMrl,2106-01-15,9449,198429
GRjmN,2045-05-13,6495,649500
emfQE,2058-09-23,5060,394680
wRGlS,2085-06-22,3065,67430
YxXHJ,2042-05-31,3146,273702
JHBjS,2044-01-31,3617,21702
vyoFP,2074-07-28,5060,197340
cIism,2046-03-01,9240,397320
OSbey,2068-06-20,4720,368160
RLQox,2086-12-01,9299,278970
DLXXM,2112-09-02,6082,492642
oFMyv,2051-04-21,9671,96710
FMBqm,2040-11-11,2562,115290
RNPtE,2107-01-23,9036,280116
zpakt,2068-11-10,5295,508320
NLIXr,2122-10-20,9566,334810
LWokn,2073-04-26,3115,127715
mEnMN,2100-09-14,4742,322456
jikCb,2079-11-25,9394,770308
hMhBO,2038-08-23,6661,93254
iPoPi,2030-03-01,9014,513798
dqwSi,2023-03-16,5465,366155
fQpRI,2087-08-15,4664,23320
PqbsG,2077-04-14,9256,185120
DTWMq,2109-06-11,9651,279879
gwbWS,2099-03-01,3185,312130
yaSLi,2119-12-27,7055,169320
NSXnP,2081-12-01,3157,91553
btuqq,2078-11-11,6100,115900
rGKjc,2030-06-17,7088,609568
AMajW,2047-04-10,3457,31113
zmeiH,2040-02-04,3411,173961
UodQV,2046-06-21,6840,88920
kFoXg,2049-10-01,3606,328146
aVuXr,2109-11-14,2280,166440
uCgMd,2059-04-16,4537,421941
hRuRL,2051-05-28,9542,152672
tBSGm,2113-08-23,5466,131184
QJNYu,2104-05-02,5557,444560
NUyOZ,2101-10-08,2179,61012
qSebG,2050-03-02,4362,274806
HXgiL,2039-06-21,8635,526735
dziKG,2123-10-05,2973,160542
xjIiO,2048-09-26,5726,120246
rpbLk,2040-04-02,6731,477901
DZcGC,2046-10-02,9421,838469
CRFfQ,2024-02-22,9998,389922
OiMKI,2088-05-29,5950,428400
BTAjc,2076-03-22,5319,212760
XXAjT,2099-08-05,8852,557676
IsNDn,2035-06-28,2949,20643
QaUMN,2117-03-13,2520,189000
wurcK,2039-10-31,4255,323380
kpmEp,2100-08-19,9338,550942
iyUdi,2026-03-05,7578,348588
TUqOz,2117-10-02,6755,182385
TQhEH,2061-02-06,7012,42072
vNjvh,2096-01-27,3021,296058
nCpCR,2068-06-19,7980,710220
OisEW,2096-12-30,2114,131068
rzWpv,2061-07-21,3803,361285
raUeR,2028-03-24,5320,446880
Nmidn,2031-08-08,5346,117612
TFkna,2120-05-24,4890,83130
fwNoW,2108-11-21,7157,393635
Pfnjx,2101-05-07,8439,514779
gnIxY,2049-04-17,6366,611136
eQsqH,2074-03-20,6443,515440
ekYdJ,2117-03-05,5427,265923
UqncH,2023-07-25,2397,86292
bHvQY,2090-12-13,7084,233772
ooFMl,2105-10-28,4662,442890
BHMMR,2058-01-22,5031,206271
iNHre,2031-05-26,6168,271392
vneIJ,2048-03-07,7794,576756
LtozY,2081-04-13,7498,682318
rDduE,2102-02-02,4539,363120
yfBSp,2103-07-27,5423,59653
hlorh,2066-03-04,2073,128526
hFHEe,2033-10-19,3797,30376
ueVpT,2122-10-26,8916,633036
kARRM,2114-05-11,8208,508896
HeRgG,2112-05-15,5805,226395
KtVeF,2102-05-07,7198,187148
TYMCc,2030-02-14,2866,31526
rPlyx,2060-08-05,8038,112532
RwoJX,2109-12-10,6701,308246
RnfWE,2097-01-27,6002,126042
dLNJC,2110-08-09,6837,478590
wRVSD,2035-04-19,4245,84900
naVXO,2023-05-17,6169,30845
Vhrir,2116-12-21,7805,679035
xnqgV,2057-09-14,5469,426582
UAlSz,2096-11-10,7472,560400
soSos,2061-10-29,8932,616308
pBadJ,2101-08-19,8656,199088
DiAjh,2035-07-28,5871,129162
MGHhA,2105-06-14,2746,137300
rWKmx,2056-01-22,5021,376575
JuHHk,2074-12-02,3720,219480
gosJF,2047-11-28,4726,250478
wEXNf,2059-10-28,3310,119160
erENa,2052-10-05,5232,449952
KIYze,2106-02-17,6716,295504
ZITXO,2122-06-15,9843,738225
ukwKz,2043-02-25,5260,426060
fROpz,2105-10-09,8809,184989
SOpJC,2077-03-20,5105,209305
dEUJN,2081-09-17,7524,722304
SIymk,2032-12-02,9998,159968
dGlTK,2081-05-19,8176,237104
rKzml,2087-04-10,5917,130174
lbbAI,2057-03-04,5266,326492
DJjpR,2079-08-27,7922,419866
hejzM,2025-05-04,7502,525140
oZZEy,2036-12-21,9138,740178
HytDf,2023-04-05,7892,402492
ImKgR,2100-02-11,5224,120152
bzqhj,2029-07-04,7888,757248
JtNFm,2070-09-17,3675,260925
gIBGn,2080-04-21,8762,876200
BYHfs,2068-01-24,8322,748980
jSYfC,2068-02-26,9875,720875
XfDRz,2073-09-02,3026,269314
wuyow,2100-07-27,2704,202800
GhoWI,2066-05-10,6001,402067
LWALp,2109-07-03,9707,77656
kImZj,2052-01-24,8860,380980
xUZHW,2112-05-31,2038,181382
XHXCu,2063-07-12,6280,596600
LrRYP,2073-07-20,3597,190641
ZTCzx,2063-10-31,6192,619200
GaflA,2049-06-07,5774,479242
xXQVx,2090-02-24,6625,284875
yoPMM,2113-04-14,2510,20080
fnifp,2085-11-01,7245,615825
UBiHD,2050-10-26,7978,135626
pHkIy,2081-04-26,8314,581980
hAamr,2072-12-10,7668,76680
NGGPn,2070-11-04,3703,103684
PieYt,2066-05-16,8360,601920
BBviV,2077-12-23,8915,445750
WGIMR,2074-02-05,7491,389532
Fcoqj,2107-08-27,7369,442140
zxbcV,2102-03-06,3353,124061
aqXjv,2105-01-25,7568,393536
HwABJ,2081-06-05,7411,400194
