StoreCode,Date,TotalSales,TotalAmount
SVJuK,2083-10-21,2481,106683
VgqlC,2099-09-27,6593,191197
lNIwZ,2083-04-22,5767,132641
nrDwj,2082-06-21,4414,335464
mTYLg,2067-02-21,7647,84117
kZqaY,2059-09-28,9983,788657
biUrp,2024-05-30,3413,129694
dySwt,2102-02-16,9980,459080
nXTSo,2068-04-26,6172,327116
NYJYP,2120-08-03,8714,444414
TdqRz,2123-06-24,7882,457156
DLuNM,2084-11-13,2753,19271
iOdxH,2064-04-22,8627,43135
gKrAl,2118-12-21,7121,633769
qjOML,2045-06-23,9380,281400
vzFzF,2079-05-24,6814,340700
IedHV,2115-12-14,7705,292790
eZrvP,2110-03-02,7830,187920
iflfM,2052-09-11,2579,54159
ylIMC,2030-01-14,4171,291970
VMeqN,2040-08-31,7889,394450
AwOZr,2114-10-12,7491,172293
SiIRG,2051-08-19,4574,393364
KMQJh,2100-01-19,6117,330318
ZkYJi,2097-03-07,3553,110143
QivYi,2046-11-05,9815,245375
jdRdI,2035-07-26,7516,593764
dlRPu,2091-10-03,4988,244412
AEzua,2076-05-07,4933,271315
udeoO,2086-11-29,3075,172200
tIbkH,2067-02-05,2257,49654
jnckU,2097-06-24,4757,176009
UqKHU,2024-12-19,5605,196175
fvvzF,2023-11-19,9932,327756
ubBvJ,2045-03-23,9011,54066
jcBKP,2120-12-14,3421,311311
MZufH,2069-11-17,7553,52871
leBWA,2111-04-23,6776,521752
FZkIh,2115-11-05,6874,247464
QcxGX,2055-03-08,2292,185652
OYDFS,2042-09-29,5406,443292
CWpDO,2028-03-07,4611,410379
yMpVe,2055-02-23,7674,76740
NHPBK,2116-01-17,3815,26705
BTfXS,2039-02-25,5610,84150
GYwgd,2069-03-28,7432,185800
SJHSM,2094-08-22,9010,783870
eaOwZ,2041-03-09,8304,132864
GegCn,2067-08-02,9162,458100
CVdHm,2038-04-06,2538,139590
piDSU,2115-06-22,9709,446614
uHFdq,2034-04-02,7004,56032
VBvsZ,2092-04-09,4746,80682
OaonV,2114-02-02,2224,111200
WxCuC,2097-04-23,6941,576103
lrdmQ,2117-12-02,5773,271331
XDBOn,2088-06-15,5102,418364
zKiCg,2056-06-06,9728,428032
GhWjC,2053-02-15,2312,20808
rLgcW,2031-09-12,9792,401472
Kmhev,2094-08-07,9178,146848
JMnTL,2061-10-25,5977,185287
tygbv,2088-04-13,2829,132963
KSaTN,2099-08-08,7621,243872
kYhLY,2050-07-05,2554,25540
IQpeV,2086-11-27,7154,71540
SSGhM,2078-10-26,9630,96300
qMQqC,2109-10-24,3234,278124
iaKlv,2105-09-12,9063,371583
uTDfX,2093-11-06,8886,399870
EywWq,2100-06-20,5376,112896
YsTui,2043-04-26,7235,528155
KNCJS,2033-02-28,7009,77099
WuKsx,2070-02-25,2254,160034
ANVEy,2061-10-17,9018,613224
UWaYX,2043-02-21,4985,418740
ssYLB,2100-06-27,9427,593901
setOB,2104-08-28,5926,183706
hsrSA,2111-12-01,2628,178704
kqluk,2087-08-05,8329,408121
JYZuR,2063-11-12,7269,319836
STRTS,2097-12-31,7141,128538
qTePA,2100-08-11,6896,503408
mSMBw,2060-10-11,3421,287364
dDwYL,2066-11-02,4177,321629
Xgsru,2099-05-01,9274,751194
ZetEh,2050-04-20,4184,292880
vlvxB,2100-08-26,5095,117185
PGFlN,2054-11-01,3286,289168
hwJkd,2107-06-11,7546,671594
jtVyk,2109-11-13,4087,376004
rbgKb,2121-09-12,7574,106036
DUdIG,2027-10-30,9983,169711
GYZVK,2118-11-14,7890,189360
QliAf,2081-12-28,8601,636474
NlLfn,2043-06-26,7734,270690
tmKjH,2047-02-09,5319,521262
kqimz,2044-10-27,5060,333960
slAfl,2037-07-23,8587,669786
Vahai,2064-09-10,3416,143472
tXPLn,2110-05-31,7683,591591
ePGqv,2055-12-25,5453,179949
zCCRP,2058-02-08,8316,548856
hMOUE,2089-06-27,4168,316768
ntrCa,2035-03-23,5103,209223
GmWQr,2023-10-23,2638,108158
egwMA,2097-05-16,3627,337311
HaEgD,2065-07-17,6867,219744
xdCJc,2033-08-31,3002,222148
okJyN,2071-02-16,5594,173414
ThPsv,2053-02-25,3552,269952
VWPwm,2068-02-11,8928,705312
UdIGN,2052-02-11,7906,585044
rHBoM,2096-06-09,9058,81522
AjNQi,2116-04-25,8967,197274
nHGfU,2054-12-13,5873,546189
vwXuA,2074-04-06,6752,60768
