StoreCode,Date,TotalSales,TotalAmount
yYKlJ,2048-04-13,7439,89268
vlExD,2036-07-29,4493,143776
unHPa,2085-01-11,5101,158131
Ijovy,2034-03-02,7235,86820
jPInm,2024-08-25,9359,664489
gkiUJ,2100-01-11,8513,51078
cSwhe,2052-06-04,8984,772624
zKGLk,2048-04-10,2890,20230
HRRep,2101-05-24,3256,39072
cAurE,2053-07-24,4351,100073
YhtWY,2121-06-28,6404,537936
eSItw,2046-03-15,2893,83897
flkSX,2035-12-09,8220,353460
ltOdM,2051-12-30,6209,223524
iwuQa,2066-12-17,3880,186240
KcZRO,2025-05-24,6720,638400
yGEPn,2083-08-13,2858,68592
ZPCiI,2069-10-19,6645,219285
clyey,2050-02-20,5094,387144
ptuHY,2118-09-21,4576,453024
DSLiG,2029-02-18,2031,75147
tkjTV,2123-10-06,9681,697032
jpOue,2117-10-28,5143,385725
gHtBk,2025-09-29,3612,343140
HaQbW,2117-09-11,6032,36192
lPFrF,2117-03-13,5111,122664
zNqnr,2043-12-26,3431,247032
oSLEf,2104-07-20,4513,221137
XOeGK,2094-08-11,4762,219052
MkhmR,2028-02-22,7862,86482
HDFVh,2075-09-08,5878,176340
bZNrv,2032-03-02,4906,441540
qqMRa,2045-05-26,4334,255706
yuPlp,2081-06-14,5448,152544
EgDVY,2114-11-12,7117,362967
oJRnH,2071-02-09,3744,265824
Ulvwf,2078-10-14,4722,51942
Zdkte,2039-01-25,5202,57222
vuCOP,2066-09-30,9965,518180
kLAcH,2112-01-17,7605,722475
XGhbO,2075-01-27,5314,143478
XQaHJ,2119-10-08,8504,391184
xHllz,2052-07-15,9693,852984
XEmIJ,2103-07-12,2913,267996
orpMr,2055-08-19,8375,561125
jyrvB,2062-10-07,4356,226512
DiWdM,2118-03-24,6958,215698
pJbdt,2048-07-04,5872,428656
aQesR,2037-01-17,3624,239184
yaVEF,2046-10-23,5570,484590
NRoJG,2112-08-20,6527,482998
aTfZz,2049-07-18,2390,109940
oWLEE,2065-11-25,6306,69366
yutoT,2052-11-03,6678,440748
dGvdC,2037-09-11,5820,395760
AYYHE,2070-07-07,5634,56340
Pqphe,2087-06-26,6698,502350
VZEKW,2030-05-10,3981,346347
WRVNv,2107-08-09,8739,786510
iHfaD,2118-05-31,4417,57421
alDAd,2035-08-03,7970,685420
flZxQ,2122-10-30,3733,153053
NoAhW,2100-02-13,3495,216690
MRUez,2049-11-07,4558,72928
jqVSB,2092-08-05,3912,371640
