StoreCode,Date,TotalSales,TotalAmount
psBFq,2101-01-05,3042,88218
VbuxQ,2099-11-18,9746,194920
uKndT,2067-01-17,5209,166688
fxCIy,2113-07-22,6336,183744
zGyGG,2056-07-25,9697,242425
uAkbh,2062-05-23,6305,441350
EwABN,2110-05-13,6438,585858
bxvtl,2069-03-29,5778,566244
mqxxj,2031-10-09,7819,101647
tsOJz,2106-11-24,2992,14960
GzhSX,2024-05-21,5992,407456
kvryu,2044-01-14,3722,193544
ZwgUp,2103-07-02,7670,743990
NUeWz,2070-03-13,2706,213774
vKyIK,2116-05-12,7091,702009
AmWQO,2114-06-02,2566,187318
fQyRo,2053-02-24,6386,114948
hjPHN,2043-05-27,8166,261312
POqse,2105-06-11,2613,104520
EVDgI,2097-11-09,4045,101125
IPcfn,2071-07-05,4828,197948
MeMGs,2066-06-18,9235,905030
jAhpX,2078-04-01,2600,249600
uGDff,2115-03-31,6269,557941
gOkdO,2051-06-27,4944,474624
jWIre,2030-10-31,3872,147136
fHpMI,2064-05-01,8671,589628
lVMVN,2110-07-15,5912,532080
GSRWU,2082-12-05,2619,125712
idOvW,2077-09-18,2981,92411
VWqbE,2095-03-05,3159,126360
vLmKV,2024-02-16,7028,112448
aWOOV,2035-01-23,6587,303002
kRrkx,2079-07-13,4310,155160
QkEUL,2067-07-16,2215,119610
uFpQH,2112-03-22,7032,161736
rkxtL,2087-10-25,7094,390170
talwS,2121-03-13,8503,51018
UaAMB,2040-10-13,7832,775368
UAeYW,2063-05-10,4299,73083
eyUEn,2035-12-21,9962,547910
PjnUz,2119-11-07,3692,129220
ODyWO,2060-10-28,6434,373172
VHTBY,2048-10-14,8497,705251
qfuvj,2108-01-03,6837,293991
GWKlk,2051-02-09,3858,308640
uDRja,2043-03-10,8494,84940
xncbm,2092-01-18,9688,96880
QqxEp,2073-03-04,8396,839600
QrNwO,2104-10-05,9926,406966
Sahxf,2114-06-03,5685,397950
oRlni,2044-10-31,2392,217672
pWhCP,2051-12-13,5175,113850
nYIib,2053-01-23,6368,439392
lDLzU,2123-07-16,8407,159733
HSBSH,2059-02-10,2433,138681
Amagt,2086-08-21,7979,359055
eZQuo,2087-07-19,5035,241680
oUUDg,2088-01-19,8816,811072
CbeQK,2085-12-03,6747,465543
ZBfsh,2070-08-14,2993,212503
