StoreCode,TotalSales,TotalAmount
jcBdh,8491,101892
byOjC,2419,186263
AaqJK,6374,490798
tzcPa,2149,68768
Hkqpu,3867,81207
Iizvd,8746,690934
RDqil,9711,903123
uHVWC,3977,357930
RJhmE,2211,112761
XvqqP,4500,441000
xWhJf,2919,230601
yGLBj,5160,443760
dNYXo,2283,184923
synBh,7348,176352
hgXTv,8978,484812
QscgK,5610,538560
uDZNS,6616,436656
gYdPd,8545,410160
swMcN,9658,656744
huOCi,9855,197100
XKpkB,2652,243984
IQIoQ,8844,689832
Pqibt,5191,342606
QLYru,8529,153522
prNjp,2930,32230
ywDgw,8077,339234
EOuGi,8264,280976
qGCvQ,8057,539819
IwMFG,4575,443775
RNCWl,3562,324142
iufYB,4308,267096
anlBU,4258,114966
SPPBt,6136,392704
uDaMI,8199,500139
abUtW,5939,386035
bceYY,5694,381498
yIpfP,4512,239136
iapZh,7490,734020
xqxiX,4689,93780
GpVwe,3584,329728
TfCjo,7607,251031
uSIuL,9195,505725
DKhMG,5342,528858
UMzIr,9293,548287
JEcPe,2096,50304
dHOWb,5775,121275
MTtET,6857,239995
cDvSm,9552,916992
YqlzQ,9304,632672
TIIHZ,5960,160920
tQEig,3279,285273
zEpHg,8006,472354
EJFNk,2968,195888
AvbxV,7697,277092
HpTWl,3431,332807
QCjmN,3129,128289
tzeZO,9654,48270
Kwcjp,4950,99000
pcROx,2823,163734
gAMtd,6384,217056
VjKsx,9881,889290
svunt,9045,615060
YuwRT,6882,392274
hPeiL,4613,447461
uadTG,8223,789408
CcTQy,8717,653775
MfVCP,7032,632880
gfSXb,3935,259710
GPemI,6754,466026
LohWj,5374,349310
AlHDZ,2309,214737
rykeP,9539,162163
hAfge,6901,138020
HMraQ,9000,576000
eRGZG,6898,131062
BzeNi,6033,301650
dnagi,6680,407480
JIrDE,6795,475650
hYddv,8623,672594
NvIxY,2988,35856
geUiu,9131,292192
vFTOt,8979,502824
rLEAw,5084,284704
jTOEa,5170,336050
UufKk,3247,107151
NaMdF,4361,117747
vGgMR,7985,351340
pqzjt,2236,219128
qoWVi,3246,185022
EzcZR,8260,718620
XdLFb,5204,202956
WqIEX,4468,111700
KsXVw,4497,62958
pQOhV,2965,151215
sQwdy,3646,364600
jaMrl,6080,48640
GRjmN,3805,380500
emfQE,4374,363042
wRGlS,6472,524232
YxXHJ,8136,252216
JHBjS,3274,222632
vyoFP,7665,613200
cIism,9816,206136
OSbey,8050,305900
RLQox,9334,46670
DLXXM,3239,42107
oFMyv,5330,266500
FMBqm,5628,73164
RNPtE,2551,198978
zpakt,4898,372248
NLIXr,6101,97616
LWokn,5972,262768
mEnMN,3638,83674
jikCb,8186,638508
hMhBO,7025,259925
iPoPi,5778,537354
dqwSi,2204,19836
fQpRI,8510,663780
PqbsG,4205,323785
DTWMq,2243,49346
gwbWS,2676,219432
yaSLi,4689,281340
NSXnP,5267,173811
btuqq,8523,622179
rGKjc,4503,409773
AMajW,6467,200477
zmeiH,7047,479196
UodQV,4575,297375
kFoXg,9317,447216
aVuXr,6510,253890
uCgMd,2309,122377
hRuRL,2796,276804
tBSGm,6056,460256
QJNYu,3963,206076
NUyOZ,6367,522094
qSebG,5283,58113
HXgiL,5780,219640
dziKG,5003,55033
xjIiO,4796,148676
rpbLk,5230,240580
DZcGC,3594,294708
CRFfQ,6704,482688
OiMKI,4580,82440
BTAjc,7313,548475
XXAjT,9903,475344
IsNDn,5424,206112
QaUMN,9360,299520
wurcK,3800,41800
kpmEp,2194,94342
iyUdi,3747,41217
TUqOz,5482,65784
TQhEH,8148,578508
vNjvh,6016,48128
nCpCR,8485,593950
OisEW,8353,826947
rzWpv,7550,354850
raUeR,9120,264480
Nmidn,5415,178695
TFkna,9230,461500
fwNoW,7912,300656
Pfnjx,2332,198220
gnIxY,5947,321138
eQsqH,7916,150404
ekYdJ,5359,348335
UqncH,6441,148143
bHvQY,6756,648576
ooFMl,9034,867264
BHMMR,6615,198450
iNHre,2398,28776
vneIJ,9487,151792
LtozY,6230,442330
rDduE,7160,594280
yfBSp,8887,728734
hlorh,4750,161500
hFHEe,3434,27472
ueVpT,4165,295715
kARRM,2354,40018
HeRgG,8709,531249
KtVeF,7659,390609
TYMCc,3383,270640
rPlyx,9452,831776
RwoJX,5995,491590
RnfWE,3487,268499
dLNJC,3393,193401
wRVSD,3066,42924
naVXO,4345,282425
Vhrir,8258,677156
xnqgV,4579,439584
UAlSz,5691,91056
soSos,9425,716300
pBadJ,4707,334197
DiAjh,3667,40337
MGHhA,2117,29638
rWKmx,6564,334764
JuHHk,2573,61752
gosJF,2280,29640
wEXNf,3733,339703
erENa,5740,149240
KIYze,8905,748020
ZITXO,5279,73906
ukwKz,9762,449052
fROpz,5110,214620
SOpJC,4878,385362
dEUJN,4991,154721
SIymk,5202,426564
dGlTK,4356,26136
rKzml,4764,381120
lbbAI,3310,43030
DJjpR,2702,253988
hejzM,8442,438984
oZZEy,9699,805017
HytDf,6522,78264
ImKgR,5493,71409
bzqhj,6726,612066
JtNFm,3867,170148
gIBGn,4444,199980
BYHfs,9202,653342
jSYfC,5356,251732
XfDRz,8396,705264
wuyow,9348,158916
GhoWI,2274,120522
LWALp,3318,232260
kImZj,6957,382635
xUZHW,9223,765509
XHXCu,6773,115141
LrRYP,3901,136535
ZTCzx,2112,171072
GaflA,9034,885332
xXQVx,4018,381710
yoPMM,6887,344350
fnifp,9052,90520
UBiHD,6918,172950
pHkIy,5270,469030
hAamr,7029,428769
NGGPn,9007,450350
PieYt,4374,69984
BBviV,9941,745575
WGIMR,3692,95992
Fcoqj,7918,673030
zxbcV,6633,139293
aqXjv,8230,238670
HwABJ,2228,122540
pwxsm,7687,38435
AxKjw,9351,364689
KhQou,4339,347120
FVLXv,7013,259481
LzYQM,8888,115544
eiFNn,9321,400803
HTneU,4079,383426
woWTU,5799,458121
afDKH,4724,382644
fXnQd,9052,108624
nDWOq,3084,262140
mgRkA,9829,648714
rwALY,3601,111631
bGjFI,2729,188301
OjAxV,3543,170064
pliSK,4824,299088
dkzSF,6965,355215
MuwFP,9181,798747
cfFWu,4332,385548
xfVbw,9530,581330
xBRCe,4462,267720
AiXGp,3206,198772
COxZZ,5602,364130
DgDLy,3032,187984
yqSqM,8176,81760
KuELV,4643,250722
LQmGM,4604,239408
gMrrU,2912,69888
yYKlJ,4938,296280
vlExD,6893,358436
unHPa,7720,501800
Ijovy,7071,509112
jPInm,9428,377120
gkiUJ,9286,157862
cSwhe,7405,192530
zKGLk,2774,249660
HRRep,3964,79280
cAurE,2316,18528
YhtWY,5468,459312
eSItw,8657,138512
flkSX,9216,101376
ltOdM,6167,604366
iwuQa,3732,328416
KcZRO,8924,392656
yGEPn,9398,582676
ZPCiI,5045,504500
clyey,8042,241260
ptuHY,3982,107514
DSLiG,9516,409188
tkjTV,5223,57453
jpOue,3307,79368
gHtBk,5430,103170
HaQbW,7861,479521
lPFrF,9548,630168
zNqnr,6748,175448
oSLEf,5642,327236
XOeGK,4747,280073
MkhmR,6331,601445
HDFVh,4340,47740
bZNrv,4162,99888
qqMRa,8161,187703
yuPlp,4606,437570
EgDVY,9672,512616
oJRnH,7422,237504
Ulvwf,3681,323928
Zdkte,5607,392490
vuCOP,5075,497350
kLAcH,6719,181413
XGhbO,3237,258960
XQaHJ,3661,98847
xHllz,8759,341601
XEmIJ,9211,534238
orpMr,8781,658575
jyrvB,9516,856440
DiWdM,9581,919776
pJbdt,4587,151371
aQesR,2490,74700
yaVEF,4883,34181
NRoJG,4751,304064
aTfZz,3492,300312
oWLEE,4727,89813
yutoT,5858,439350
dGvdC,8676,442476
AYYHE,6043,531784
Pqphe,2334,79356
VZEKW,6864,274560
WRVNv,2716,233576
iHfaD,8281,761852
alDAd,9398,939800
flZxQ,8607,249603
NoAhW,8665,259950
MRUez,5731,515790
jqVSB,6488,590408
aEZLq,3816,362520
jFHnp,6655,519090
niuao,9267,46335
uxoTY,2407,161269
QfxWo,3323,103013
