StoreCode,TotalSales,TotalAmount
voZEK,9156,375396
rpnBO,3807,22842
ZVuTI,3457,134823
BtlKJ,7165,544540
RbQBt,3678,198612
mZDVM,6543,98145
SaNNh,6538,163450
Ksnvj,7950,95400
NlpJP,7916,451212
qDBKc,5947,422237
ELRhJ,3134,241318
mZpJm,6350,292100
Myijg,5174,320788
HESXi,5262,173646
zmKuF,4266,34128
Zhwqx,6952,389312
mrMBd,6970,634270
gRnNs,9577,651236
AEaYi,3472,145824
auACm,3720,171120
uxZcL,8424,598104
LLHRI,2052,137484
Gfuml,5697,529821
xpWFE,5637,152199
hzYwn,4141,314716
asrDF,4366,353646
WqXEo,4391,201986
UzyND,2962,91822
VfSTP,6223,435610
KICbe,5249,194213
arcPj,2434,131436
xuXJD,5670,481950
LncVn,5675,402925
DpLms,4154,294934
ukbYT,7692,753816
LUaMu,3723,134028
HlQhV,6148,264364
xqytA,6325,50600
yRrjt,4092,270072
qnaRz,9393,300576
bLEdL,7488,419328
nBWsX,4139,248340
YEDdv,7259,275842
Huqaw,5156,355764
VEMDU,3908,316548
ScRaF,9844,305164
IkEWb,4672,341056
yUAkF,6578,572286
vmMwF,3941,63056
CxgDi,5344,106880
EiFLE,8948,44740
vebAI,9695,678650
hjmEW,5527,425579
XwqDz,5220,276660
oTQNK,4991,234577
yfCFT,4353,330828
sqipH,6979,495509
vKHum,6067,327618
GJYlu,3800,38000
XsQNB,8520,741240
XyNYW,9370,824560
KfNPE,9618,509754
zWLjt,5675,465350
LBZOO,9104,264016
jBUyx,5814,63954
BkcIO,3025,190575
npohD,2533,217838
oHlSy,7449,178776
ORjNJ,9101,819090
nMeRc,7454,134172
KPZsa,4620,32340
HjFMY,5214,104280
ZfISm,8834,79506
xdQSe,2632,210560
WZjPt,9208,837928
uJKMn,9024,54144
ycZWf,7631,320502
jzDgS,8643,432150
ThCjH,6991,461406
LHQkS,3455,200390
sEorK,3328,322816
mlKgn,6141,165807
wywHO,9969,638016
YBGmN,8150,480850
jBTfn,7950,572400
NxHAX,5895,88425
BtXrB,7605,152100
SIGvq,6485,188065
YUuxM,6253,431457
lIxwY,3900,222300
WRTEU,8934,410964
aYZse,3560,49840
uGymu,4722,37776
bdVkY,5466,245970
xxxdQ,4309,284394
TEoKF,8285,820215
TqvHY,8336,433472
YrCmK,3055,247455
AyODv,6007,360420
SLGvg,2677,195421
xYRIJ,9622,712028
mQdRc,5674,567400
PTuRg,9266,361374
sBYvZ,6848,582080
obwvs,5009,400720
FvafL,5620,415880
Lophj,9192,294144
kIGjc,6949,604563
hzhfC,3844,238328
VcTBw,9025,234650
SJmMg,2847,28470
eFaAS,6694,133880
GAZpr,2743,150865
RzlSK,5608,218712
WxaxZ,7976,598200
VwQUS,2589,132039
wGTkG,3345,153870
xhwRj,8377,100524
SJElI,2536,162304
KUzqX,5480,54800
aPylH,7333,278654
meNtD,2978,229306
pIQTk,8383,343703
ExDQm,4350,261000
bXRMv,3686,140068
yBnce,8712,792792
scuvi,2060,70040
pgqEq,4976,238848
ytYLT,5795,359290
LDiYP,4061,312697
WKkXA,6020,367220
ABviR,3975,119250
hJegb,7124,598416
HKTiq,7974,621972
OHnow,8618,784238
FlrAk,8854,522386
RFgpa,5089,412209
saQBN,9999,139986
Jkjcg,4259,76662
nPQjP,4053,81060
NdXau,8155,269115
eNHsM,9999,229977
ntjoe,6410,480750
uJhPn,7572,340740
AXiBL,7874,212598
CqZhn,8610,516600
CYcPN,3845,203785
DpXrY,5466,147582
JZmGM,8771,640283
NAqcA,4036,371312
lTPEo,5583,145158
sTXYe,5592,424992
gsXOr,8428,800660
YRwUE,3549,312312
RHAuO,9360,795600
INYMj,2596,233640
qNgVE,9102,236652
bPUCM,9852,926088
NyHOc,5986,293314
pwnlB,5487,427986
jcBdh,9370,374800
byOjC,2185,48070
AaqJK,4257,251163
tzcPa,9223,544157
Hkqpu,7299,36495
Iizvd,9524,228576
RDqil,5350,32100
uHVWC,9557,831459
RJhmE,7412,326128
XvqqP,7130,163990
xWhJf,7363,191438
yGLBj,9594,441324
dNYXo,3801,57015
synBh,4246,275990
hgXTv,5956,35736
QscgK,3171,202944
uDZNS,4169,237633
gYdPd,2078,12468
swMcN,4682,360514
huOCi,5923,361303
XKpkB,5940,118800
IQIoQ,5476,487364
Pqibt,6614,529120
QLYru,2067,130221
prNjp,5629,489723
ywDgw,8281,99372
EOuGi,7007,105105
qGCvQ,5600,364000
IwMFG,7993,135881
RNCWl,6279,426972
iufYB,8705,121870
anlBU,7030,513190
SPPBt,3426,335748
uDaMI,3851,300378
abUtW,2546,38190
bceYY,4729,264824
yIpfP,6108,464208
iapZh,5222,469980
xqxiX,2662,199650
GpVwe,9446,462854
TfCjo,5291,132275
uSIuL,9926,347410
DKhMG,9362,524272
UMzIr,3751,75020
JEcPe,7802,304278
dHOWb,8780,851660
MTtET,7750,736250
cDvSm,5968,268560
YqlzQ,8968,842992
TIIHZ,3871,259357
tQEig,3630,228690
zEpHg,4124,375284
EJFNk,8454,515694
AvbxV,5380,457300
HpTWl,7718,61744
QCjmN,5128,261528
tzeZO,7401,421857
Kwcjp,4607,170459
pcROx,6973,488110
gAMtd,5263,231572
VjKsx,7300,153300
svunt,3142,314200
YuwRT,5110,235060
hPeiL,7921,261393
uadTG,7244,275272
CcTQy,2522,55484
MfVCP,8793,633096
gfSXb,6255,75060
GPemI,4204,33632
LohWj,7875,401625
AlHDZ,2658,146190
rykeP,8657,346280
hAfge,7385,635110
HMraQ,4914,68796
eRGZG,8188,302956
BzeNi,3922,117660
dnagi,9142,521094
JIrDE,3445,106795
hYddv,6478,323900
NvIxY,5835,390945
geUiu,9504,798336
vFTOt,3642,324138
rLEAw,6900,55200
jTOEa,3405,64695
UufKk,4211,138963
NaMdF,7031,77341
vGgMR,8397,520614
pqzjt,5297,169504
qoWVi,8352,776736
EzcZR,8992,620448
XdLFb,4555,405395
WqIEX,6017,445258
KsXVw,8320,291200
pQOhV,8561,838978
sQwdy,9131,812659
jaMrl,6514,234504
GRjmN,8442,574056
emfQE,6453,632394
wRGlS,3352,321792
YxXHJ,2294,213342
JHBjS,6295,610615
vyoFP,9018,559116
cIism,2753,115626
OSbey,7894,307866
RLQox,8976,152592
DLXXM,8955,752220
oFMyv,5200,436800
FMBqm,9600,211200
RNPtE,7767,434952
zpakt,8104,445720
NLIXr,8827,573755
LWokn,2428,12140
mEnMN,7013,638183
jikCb,5403,27015
hMhBO,8008,288288
iPoPi,6438,637362
dqwSi,3370,33700
fQpRI,9203,662616
PqbsG,4738,118450
DTWMq,5396,474848
gwbWS,9987,509337
yaSLi,7420,430360
NSXnP,3539,201723
btuqq,7686,322812
rGKjc,8585,523685
AMajW,8370,820260
zmeiH,9062,534658
UodQV,6880,172000
kFoXg,5884,441300
aVuXr,6317,593798
uCgMd,6932,436716
hRuRL,8745,349800
tBSGm,5584,413216
QJNYu,8420,109460
NUyOZ,4388,425636
qSebG,4420,106080
HXgiL,8630,422870
dziKG,3339,153594
xjIiO,3562,235092
