StoreCode,TotalSales,TotalAmount
NYJYP,5610,269280
TdqRz,5692,290292
DLuNM,3036,197340
iOdxH,3340,100200
gKrAl,8811,352440
qjOML,3727,37270
vzFzF,3426,113058
IedHV,9522,133308
eZrvP,5915,449540
iflfM,5857,363134
ylIMC,8578,857800
VMeqN,6226,342430
AwOZr,5407,205466
SiIRG,7142,442804
KMQJh,4487,58331
ZkYJi,6260,456980
QivYi,4929,290811
jdRdI,8419,420950
dlRPu,8650,640100
AEzua,2075,83000
udeoO,4010,52130
tIbkH,2354,138886
jnckU,9489,313137
UqKHU,9798,725052
fvvzF,9416,602624
ubBvJ,5481,498771
jcBKP,2616,41856
MZufH,7352,286728
leBWA,4450,320400
FZkIh,5324,335412
QcxGX,9419,715844
OYDFS,5851,163828
CWpDO,3647,98469
yMpVe,8894,337972
NHPBK,3738,336420
BTfXS,4276,363460
GYwgd,7906,608762
SJHSM,3239,51824
eaOwZ,6161,400465
GegCn,6955,271245
CVdHm,7069,332243
piDSU,6088,158288
uHFdq,2739,194469
VBvsZ,9005,243135
OaonV,4676,163660
WxCuC,4657,363246
lrdmQ,9102,910200
XDBOn,4412,70592
zKiCg,5490,87840
GhWjC,5060,91080
rLgcW,6880,667360
Kmhev,7014,175350
JMnTL,7102,667588
tygbv,5509,363594
KSaTN,5983,143592
kYhLY,3093,244347
IQpeV,9993,849405
SSGhM,5095,458550
qMQqC,4205,407885
iaKlv,5652,124344
uTDfX,7632,580032
EywWq,4871,43839
YsTui,2650,137800
KNCJS,4427,163799
WuKsx,3301,42913
ANVEy,2678,99086
UWaYX,2836,42540
ssYLB,6645,644565
setOB,2886,80808
hsrSA,6194,576042
kqluk,4997,464721
JYZuR,3302,267462
STRTS,8630,690400
qTePA,2965,97845
mSMBw,5857,134711
dDwYL,8902,471806
Xgsru,6489,103824
ZetEh,7935,698280
vlvxB,9601,758479
PGFlN,9249,638181
hwJkd,9408,254016
jtVyk,9596,546972
rbgKb,2738,123210
DUdIG,6229,230473
GYZVK,3502,70040
QliAf,3741,41151
NlLfn,4165,74970
tmKjH,2125,184875
kqimz,6226,485628
slAfl,3626,134162
Vahai,7768,419472
tXPLn,9526,314358
ePGqv,7885,181355
zCCRP,7180,452340
hMOUE,7685,222865
ntrCa,7121,676495
GmWQr,6609,535329
egwMA,7645,183480
HaEgD,8288,439264
xdCJc,9059,262711
okJyN,3167,167851
ThPsv,2083,118731
VWPwm,4822,24110
UdIGN,3012,57228
rHBoM,6573,249774
AjNQi,4016,224896
nHGfU,3551,177550
vwXuA,2748,120912
ZJRDH,8965,618585
KNnBR,3694,73880
JubAv,6679,574394
MJXcE,6886,144606
lzuFZ,7087,106305
NbkzT,5034,25170
dbLLF,7548,392496
CGXWX,9090,481770
Lnbox,6052,193664
OOCWw,7799,522533
oJjpd,8201,393648
gEHsH,6438,238206
wzYak,2098,20980
zgXpN,4325,419525
oyfDZ,7707,685923
OKaQl,6570,282510
rNDTc,5605,201780
vZRdZ,5998,485838
PEvtn,7425,549450
sYwQV,6018,355062
KBwCt,8299,41495
mPuGW,6165,505530
yTBDy,2770,240990
CueVE,6202,520968
qkxue,6588,46116
LYhDl,3853,184944
gndlW,4140,153180
Lmlko,6128,324784
JWBfD,5206,177004
bIJKs,9623,67361
wqsBh,5608,538368
UcLrz,3408,320352
QOSbc,5876,423072
sMqHg,5139,292923
ehiBf,5099,132574
ddZJd,4753,437276
CrzOh,8709,609630
RDaEM,4552,118352
djmvH,8171,65368
ndGUZ,5765,201775
vOfCn,3573,146493
BTaZB,8592,463968
Bxwxe,5336,42688
aaCPZ,5707,467974
BlIdp,8363,769396
VBYtQ,3348,234360
ZpOOw,2646,132300
fRyHQ,9590,134260
ttEre,2642,153236
XfzNT,8565,154170
KFoSd,3742,74840
WTDQv,8863,567232
MkNMD,9450,75600
KBamU,9126,127764
xViNc,8979,430992
gKIyA,4060,129920
OdkJD,2360,33040
zxAJF,8229,567801
Igdvq,7752,472872
wiIhA,3010,30100
FnFgI,5435,467410
wJMYW,9111,118443
mjplW,5640,84600
eDTeH,2952,280440
TIOBi,3540,339840
xwKsc,8340,825660
stMiO,4566,196338
HawXD,5579,357056
rfDaa,8016,464928
OXAud,7305,496740
lglks,2285,162235
nTacC,6634,630230
SeDoA,4991,224595
TGccw,2542,27962
XBWmR,5241,482172
gykMD,7081,35405
wEQqZ,8663,285879
NyJnU,8678,607460
DXhHc,4247,403465
qDvAh,2640,213840
nUTHk,7503,375150
acGxm,6276,225936
shnja,7171,609535
KFUGw,3538,28304
UDpYo,6751,243036
LplpW,7175,157850
aZUOR,8695,791245
FWGHn,2220,222000
LtwFp,8369,117166
bRHtm,9221,912879
MkghG,5145,282975
Ikadb,6354,349470
HZIVT,7293,568854
WDVmp,7344,102816
ozDIX,6050,217800
qIDXq,7251,471315
CTQfN,8018,641440
QgAhx,9854,640510
slAcJ,6242,168534
vmrLU,2096,182352
yTHEh,9297,548523
lGoVa,2244,26928
IRJuG,2217,155190
psBFq,4595,142445
VbuxQ,3017,232309
uKndT,4489,116714
fxCIy,2972,98076
zGyGG,9268,676564
uAkbh,2711,197903
EwABN,6279,257439
bxvtl,4544,327168
mqxxj,5523,309288
tsOJz,5271,42168
GzhSX,3395,251230
