StoreCode,TotalSales,TotalAmount
QOSbc,3960,47520
sMqHg,2561,48659
ehiBf,2416,176368
ddZJd,8047,611572
CrzOh,4955,292345
RDaEM,3217,135114
djmvH,7980,598500
ndGUZ,2490,176790
vOfCn,5126,138402
BTaZB,4945,316480
Bxwxe,9861,424023
aaCPZ,5768,553728
BlIdp,6026,277196
VBYtQ,3282,98460
ZpOOw,3775,347300
fRyHQ,3812,312584
ttEre,2239,127623
XfzNT,3788,265160
KFoSd,4939,158048
WTDQv,2805,78540
MkNMD,3118,15590
KBamU,5830,285670
xViNc,3019,120760
gKIyA,7441,186025
OdkJD,5778,184896
zxAJF,5186,108906
Igdvq,9328,373120
wiIhA,9604,845152
FnFgI,7079,198212
wJMYW,8110,478490
mjplW,3975,274275
eDTeH,5040,468720
TIOBi,8479,364597
xwKsc,4132,351220
stMiO,6926,408634
HawXD,4477,317867
rfDaa,8356,526428
OXAud,6194,390222
lglks,8378,402144
nTacC,3074,24592
SeDoA,3213,202419
TGccw,8061,507843
XBWmR,8637,846426
gykMD,2036,156772
wEQqZ,2337,133209
NyJnU,5906,590600
DXhHc,2394,136458
qDvAh,9213,193473
nUTHk,2325,199950
acGxm,5602,263294
shnja,5622,472248
KFUGw,8771,201733
UDpYo,2779,252889
LplpW,3144,160344
aZUOR,3949,169807
FWGHn,7078,509616
LtwFp,2971,148550
bRHtm,3114,267804
MkghG,4939,296340
Ikadb,5073,218139
HZIVT,3936,62976
WDVmp,5934,261096
ozDIX,7930,325130
qIDXq,3163,18978
CTQfN,4241,118748
QgAhx,2179,106771
slAcJ,2449,210614
vmrLU,8602,670956
yTHEh,2473,205259
lGoVa,9773,273644
IRJuG,2003,60090
psBFq,3724,219716
VbuxQ,3599,313113
uKndT,9413,169434
fxCIy,4299,275136
zGyGG,4647,334584
uAkbh,4995,99900
EwABN,7168,709632
bxvtl,6671,140091
mqxxj,6434,341002
tsOJz,6438,386280
GzhSX,8747,236169
kvryu,3784,83248
ZwgUp,2516,246568
NUeWz,2377,168767
vKyIK,7651,298389
AmWQO,4208,336640
fQyRo,7560,234360
hjPHN,7364,353472
POqse,3346,150570
EVDgI,9131,520467
IPcfn,2138,21380
MeMGs,7014,462924
jAhpX,2592,189216
uGDff,5083,101660
gOkdO,6761,270440
jWIre,5813,127886
fHpMI,4130,284970
lVMVN,9099,90990
GSRWU,3749,168705
idOvW,3609,101052
VWqbE,9262,639078
vLmKV,3375,212625
aWOOV,3077,80002
kRrkx,5858,292900
QkEUL,5713,411336
uFpQH,7301,277438
rkxtL,4272,106800
talwS,7561,567075
UaAMB,4369,410686
UAeYW,4846,440986
eyUEn,6870,144270
PjnUz,9947,596820
ODyWO,6520,586800
VHTBY,6224,93360
qfuvj,6599,369544
GWKlk,6403,339359
uDRja,9627,105897
xncbm,5532,210216
QqxEp,3247,250019
QrNwO,5006,285342
Sahxf,2546,38190
oRlni,7275,232800
pWhCP,5035,342380
nYIib,5868,134964
lDLzU,8659,311724
HSBSH,9596,393436
Amagt,3385,277570
eZQuo,3168,155232
oUUDg,8764,271684
CbeQK,6813,367902
ZBfsh,8588,291992
FvhES,3673,150593
ldomP,4696,225408
QnFtv,2262,101790
eQHIq,6320,120080
rhihY,4658,83844
ScgLy,5648,384064
TxJsD,3134,238184
XgfTL,6251,200032
esjbO,7841,376368
puVXA,7621,91452
rEUwW,9291,427386
hAomW,3501,87525
HtCeM,5717,371605
AhDNA,2912,66976
KErsa,7791,553161
bfbuU,7459,201393
crBFQ,3702,77742
mFdLN,5043,196677
CVBrm,5695,432820
qDQip,5248,26240
KUxkt,8278,256618
