StoreCode,TotalSales,TotalAmount
wyZhm,2940,99960
EOVmQ,4808,437528
wdJWS,6119,397735
vVlLg,2536,210488
dvYIP,5597,106343
EYsXj,7757,217196
IJRUx,9359,336924
BQvxj,3478,306064
MZeaV,7107,198996
GdwjX,7107,596988
XzDRI,2663,114509
SfoCb,2035,170940
XHZpl,4125,288750
qhGWw,4050,186300
EyAMJ,6446,103136
cOkai,2677,238253
ErNKN,2599,244306
LUZXk,6789,210459
LCbTC,8557,667446
aFBqj,8960,313600
LgLtU,9539,591418
SVJuK,6887,564734
VgqlC,6003,294147
lNIwZ,3567,288927
nrDwj,9646,221858
mTYLg,5459,174688
kZqaY,9000,162000
biUrp,6481,557366
dySwt,7273,43638
nXTSo,9645,173610
NYJYP,5039,352730
TdqRz,5166,41328
DLuNM,6726,295944
iOdxH,4656,27936
gKrAl,6346,463258
qjOML,7453,722941
vzFzF,2446,14676
IedHV,9904,604144
eZrvP,8718,209232
iflfM,2063,187733
ylIMC,2941,208811
VMeqN,5776,519840
AwOZr,4403,193732
SiIRG,2332,158576
KMQJh,4688,98448
ZkYJi,7563,620166
QivYi,8337,233436
jdRdI,2028,28392
dlRPu,7655,336820
AEzua,4098,176214
udeoO,8172,89892
tIbkH,7729,680152
jnckU,7266,588546
UqKHU,4639,278340
fvvzF,3688,210216
ubBvJ,5881,564576
jcBKP,3046,91380
MZufH,8777,438850
leBWA,7096,127728
FZkIh,2398,83930
QcxGX,6786,576810
OYDFS,2887,14435
CWpDO,6714,107424
yMpVe,2904,75504
NHPBK,6395,83135
BTfXS,3164,167692
GYwgd,7607,593346
SJHSM,6661,179847
eaOwZ,5357,69641
GegCn,4515,221235
CVdHm,5431,287843
piDSU,3518,277922
uHFdq,4083,183735
VBvsZ,4635,23175
OaonV,2340,217620
WxCuC,9221,92210
lrdmQ,8832,476928
XDBOn,6833,34165
zKiCg,9074,798512
GhWjC,4327,389430
rLgcW,9890,959330
Kmhev,3378,239838
JMnTL,9137,575631
tygbv,2850,142500
KSaTN,4634,111216
kYhLY,6166,369960
IQpeV,3876,77520
SSGhM,9033,623277
qMQqC,6649,39894
iaKlv,5882,535262
uTDfX,9933,238392
EywWq,2238,71616
YsTui,9784,528336
KNCJS,5712,502656
WuKsx,6490,201190
ANVEy,5699,96883
UWaYX,7513,631092
ssYLB,8834,167846
setOB,5535,271215
hsrSA,8381,636956
kqluk,7392,569184
JYZuR,7558,309878
STRTS,5657,186681
qTePA,4306,150710
mSMBw,5941,237640
dDwYL,6582,322518
Xgsru,3837,115110
ZetEh,5019,346311
vlvxB,2864,74464
PGFlN,4960,203360
hwJkd,6840,328320
jtVyk,6383,287235
rbgKb,7266,305172
DUdIG,2534,73486
GYZVK,7587,409698
QliAf,2556,209592
NlLfn,8360,192280
tmKjH,9126,73008
kqimz,4324,185932
slAfl,2866,128970
Vahai,8193,335913
tXPLn,4709,423810
ePGqv,3678,342054
zCCRP,9194,671162
hMOUE,7637,328391
ntrCa,3827,218139
GmWQr,6090,548100
egwMA,5611,336660
HaEgD,3459,255966
xdCJc,5290,243340
okJyN,3501,136539
ThPsv,2474,141018
VWPwm,8495,59465
UdIGN,5725,274800
rHBoM,9844,689080
AjNQi,3134,84618
nHGfU,9265,889440
vwXuA,2148,36516
ZJRDH,8616,628968
KNnBR,2510,27610
JubAv,5204,301832
MJXcE,5970,471630
lzuFZ,7671,544641
NbkzT,8789,105468
dbLLF,4463,196372
CGXWX,9520,856800
Lnbox,7912,87032
OOCWw,3140,188400
oJjpd,9132,292224
gEHsH,4931,54241
wzYak,8399,529137
zgXpN,8817,537837
oyfDZ,5872,258368
OKaQl,5219,412301
rNDTc,8440,194120
vZRdZ,2413,67564
PEvtn,2585,242990
sYwQV,7177,373204
KBwCt,7079,77869
mPuGW,9854,335036
yTBDy,3692,158756
CueVE,6873,563586
qkxue,2039,130496
LYhDl,4839,479061
gndlW,2277,91080
Lmlko,8609,697329
JWBfD,2984,226784
bIJKs,6939,527364
wqsBh,4317,38853
UcLrz,4283,77094
QOSbc,6119,373259
sMqHg,9899,346465
ehiBf,7124,227968
ddZJd,5688,295776
CrzOh,5771,236611
RDaEM,9749,107239
djmvH,4313,202711
ndGUZ,3952,154128
vOfCn,9762,761436
BTaZB,4024,281680
Bxwxe,7809,374832
aaCPZ,5470,339140
BlIdp,4119,407781
VBYtQ,7414,615362
ZpOOw,3326,199560
fRyHQ,9687,251862
ttEre,3497,146874
XfzNT,6146,479388
KFoSd,9339,877866
WTDQv,2553,74037
MkNMD,4783,133924
KBamU,7326,454212
xViNc,5320,505400
gKIyA,8902,721062
OdkJD,9291,603915
zxAJF,4658,363324
Igdvq,8841,344799
wiIhA,6290,201280
FnFgI,5856,357216
wJMYW,3733,272509
mjplW,8120,698320
eDTeH,8527,119378
TIOBi,9183,789738
xwKsc,5385,156165
stMiO,2987,247921
HawXD,7854,369138
rfDaa,5406,172992
OXAud,8358,601776
lglks,2565,89775
nTacC,9989,459494
SeDoA,2484,231012
TGccw,5742,223938
XBWmR,5423,417571
gykMD,6385,370330
wEQqZ,5969,387985
NyJnU,4280,368080
DXhHc,2193,96492
qDvAh,7492,374600
nUTHk,5174,82784
acGxm,8201,287035
shnja,5907,194931
KFUGw,8394,134304
UDpYo,2663,98531
LplpW,4662,41958
aZUOR,8876,718956
FWGHn,8730,829350
LtwFp,7236,593352
bRHtm,8904,222600
MkghG,8118,754974
Ikadb,9428,414832
HZIVT,6034,422380
WDVmp,5138,133588
