StoreCode,TotalSales,TotalAmount
Pfnjx,2847,85410
gnIxY,8920,713600
eQsqH,2849,48433
ekYdJ,8415,100980
UqncH,8944,116272
bHvQY,6927,519525
ooFMl,7732,680416
BHMMR,5975,543725
iNHre,6407,115326
vneIJ,7522,579194
LtozY,9672,512616
rDduE,5441,402634
yfBSp,7324,344228
hlorh,3809,83798
hFHEe,8250,750750
ueVpT,7849,415997
kARRM,6326,392212
HeRgG,8384,662336
KtVeF,6913,304172
TYMCc,8802,818586
rPlyx,4724,401540
RwoJX,7007,322322
RnfWE,9716,612108
dLNJC,6833,95662
wRVSD,3671,278996
naVXO,4975,159200
Vhrir,2098,209800
xnqgV,4607,350132
UAlSz,7275,87300
soSos,3164,139216
pBadJ,2470,209950
DiAjh,2520,85680
MGHhA,7428,519960
rWKmx,4821,202482
JuHHk,8681,190982
gosJF,5726,200410
wEXNf,4222,156214
erENa,6765,399135
KIYze,7482,688344
ZITXO,6620,52960
ukwKz,7128,349272
fROpz,4388,201848
SOpJC,2601,132651
dEUJN,7259,646051
SIymk,8267,785365
dGlTK,5039,398081
rKzml,6857,356564
lbbAI,5828,192324
DJjpR,7742,541940
hejzM,5582,513544
oZZEy,6165,456210
HytDf,6101,469777
ImKgR,4282,389662
bzqhj,4750,427500
JtNFm,9710,941870
gIBGn,9726,855888
BYHfs,6115,311865
jSYfC,4910,186580
XfDRz,7439,498413
wuyow,2207,176560
GhoWI,2154,49542
LWALp,7220,498180
kImZj,7799,678513
xUZHW,5903,407307
XHXCu,5982,496506
LrRYP,2414,43452
ZTCzx,7770,349650
GaflA,9885,711720
xXQVx,4984,159488
yoPMM,8980,700440
fnifp,2445,158925
UBiHD,8895,302430
pHkIy,3580,28640
hAamr,2689,34957
NGGPn,9652,656336
PieYt,7297,80267
BBviV,3919,301763
WGIMR,8734,646316
Fcoqj,8874,221850
zxbcV,5655,260130
aqXjv,7102,291182
HwABJ,6497,110449
pwxsm,7040,168960
AxKjw,8655,415440
KhQou,4237,165243
FVLXv,9970,59820
LzYQM,6957,173925
eiFNn,9781,332554
HTneU,9620,856180
woWTU,3272,238856
afDKH,3816,320544
fXnQd,6447,399714
nDWOq,7943,127088
mgRkA,2349,136242
rwALY,9172,165096
bGjFI,5862,193446
OjAxV,4936,78976
pliSK,9411,348207
dkzSF,3664,282128
MuwFP,6190,619000
cfFWu,5418,438858
xfVbw,5550,327450
xBRCe,4311,375057
AiXGp,6077,291696
COxZZ,7155,622485
