StoreCode,TotalSales,TotalAmount
ptuHY,2640,216480
DSLiG,7416,719352
tkjTV,4472,438256
jpOue,4160,341120
gHtBk,8314,565352
HaQbW,5337,517689
lPFrF,7408,474112
zNqnr,3831,356283
oSLEf,3318,162582
XOeGK,4848,164832
MkhmR,6067,509628
HDFVh,9900,69300
bZNrv,5253,451758
qqMRa,2076,155700
yuPlp,5879,111701
EgDVY,6372,465156
oJRnH,8363,769396
Ulvwf,4443,364326
Zdkte,9324,764568
vuCOP,7083,602055
kLAcH,7621,53347
XGhbO,9728,778240
XQaHJ,4386,311406
xHllz,8678,485968
XEmIJ,5217,516483
orpMr,9741,194820
jyrvB,3456,145152
DiWdM,9169,55014
pJbdt,9550,467950
aQesR,3581,182631
yaVEF,9628,67396
NRoJG,8374,502440
aTfZz,8245,379270
oWLEE,7880,717080
yutoT,3736,141968
dGvdC,5923,538993
AYYHE,9019,802691
Pqphe,9752,117024
VZEKW,5748,540312
WRVNv,7927,95124
iHfaD,8078,363510
alDAd,8660,69280
flZxQ,5356,166036
NoAhW,5275,427275
MRUez,3643,120219
jqVSB,2771,58191
aEZLq,4564,328608
jFHnp,4999,149970
niuao,9072,362880
uxoTY,3433,48062
QfxWo,6320,360240
AgdDr,6483,376014
zDqyD,5664,566400
DQdfx,9589,699997
GrqPo,2337,109839
eSTsG,5586,301644
oqAWv,6127,110286
TbVIw,8237,148266
FCIWC,4017,200850
wAqsT,2279,214226
UmHsj,8578,574726
aOMVv,7002,595170
DgKsH,4597,335581
XAQvR,9264,296448
VMttA,4965,24825
RMmcx,7383,428214
fGpJo,7267,617695
gQLfK,6967,139340
NwOBS,2223,184509
vpVkm,8627,612517
BvaxX,6662,66620
WkQEr,4698,61074
NEJMD,9502,294562
iWElQ,2292,185652
uBeRU,2908,98872
IGvms,8331,358233
QtidG,4795,244545
QAbBt,7924,427896
GlqCH,5715,240030
clIpF,7406,244398
hgYlA,9885,751260
GXuAF,6557,281951
aTYKa,7949,572328
jDKYr,8958,438942
HpDxV,3051,244080
yKFQJ,2548,145236
mYRzy,7759,612961
YbrVf,2091,85731
OnxjQ,2181,26172
TSqRr,8973,233298
NDtjR,2322,174150
kPsmd,9725,233400
GeMWZ,8263,115682
Dgwbu,3308,201788
RJOUN,8967,681492
KOOGk,4184,271960
etwzA,6214,602758
gkJwL,5790,231600
TkCEQ,2950,244850
mfVba,3181,264023
iVjoX,2098,115390
xNjcJ,3319,16595
GQUGT,4816,471968
YaHYp,8293,348306
XPLIp,8335,633460
KhXqf,2020,165640
nBQnc,6068,182040
TbFwW,5466,251436
kNhde,8163,742833
dhFID,5814,441864
EZiaQ,9619,86571
sLFmF,8273,802481
toqFu,7843,494109
PdveO,9691,814044
BzZTV,4726,259930
khBfg,5191,290696
