StoreCode,TotalSales,TotalAmount
BvaxX,9820,88380
WkQEr,9832,658744
NEJMD,7188,503160
iWElQ,4843,77488
uBeRU,6008,384512
IGvms,9384,450432
QtidG,5830,553850
QAbBt,2758,30338
GlqCH,9446,283380
clIpF,9988,159808
hgYlA,3819,282606
GXuAF,2675,115025
aTYKa,4708,258940
jDKYr,6520,515080
HpDxV,2399,115152
yKFQJ,5314,138164
mYRzy,6780,528840
YbrVf,2176,93568
OnxjQ,4502,216096
TSqRr,7707,262038
NDtjR,3302,194818
kPsmd,6788,190064
GeMWZ,3233,122854
Dgwbu,3647,102116
RJOUN,9087,381654
KOOGk,9251,582813
etwzA,8235,477630
gkJwL,6035,386240
TkCEQ,2016,16128
mfVba,3910,277610
iVjoX,9490,389090
xNjcJ,6531,457170
GQUGT,2802,103674
YaHYp,6097,414596
XPLIp,5484,438720
KhXqf,4012,92276
nBQnc,9810,343350
TbFwW,9739,350604
kNhde,4283,282678
dhFID,8044,442420
EZiaQ,8407,403536
sLFmF,3427,157642
toqFu,5051,404080
PdveO,4246,55198
BzZTV,2933,67459
khBfg,3033,157716
Brbyo,4125,82500
hxCJQ,7152,679440
PXenY,8272,496320
cwtDX,4118,317086
eUPbR,8803,316908
WmlnQ,5388,339444
kOlaN,8189,597797
yrQct,8019,593406
WJdpA,2481,208404
fXWVR,2911,270723
NMxTB,4124,86604
pUtri,7063,91819
wnZIE,9192,900816
TgYFa,5380,247480
aNprq,5375,75250
FLcJk,8684,599196
DsvRZ,8174,302438
MUHIO,7578,674442
PnQku,6028,452100
auapI,6398,313502
OgydP,3306,109098
zFXxM,6707,33535
zQzLp,7977,590298
FIAJK,3821,72599
fhhcY,2496,164736
zghcv,8132,593636
KIJls,5784,127248
wdpvP,9229,378389
fFXEw,6133,521305
qYLhG,3293,177822
VuEHV,5973,155298
GlgRx,3726,96876
nvdSW,6671,473641
kOoCc,3472,20832
UbVdI,7570,688870
NssPe,6868,54944
xFuoR,2032,12192
DTMgX,4008,384768
mlJlb,3502,185606
ymBoG,8095,736645
IaTIL,8283,190509
RDRbk,6401,38406
PEdzJ,5253,378216
uvYKG,8920,651160
kaKpY,2708,86656
SeXAD,9043,886214
QMmbL,2675,80250
AGZKo,4799,124774
TScRb,2705,227220
KGAMJ,7215,245310
JViUc,2358,56592
KAhnw,9291,901227
xhPHG,2415,154560
ZSErb,9122,684150
PuWMA,4685,281100
IXpTk,8438,590660
soqBT,3092,299924
UYTSr,3862,169928
cfLcc,8663,103956
LCmQP,5550,421800
zQebo,2810,120830
hWvFA,2310,30030
tqpRp,8863,460876
hUecU,4250,106250
wyZhm,2498,239808
EOVmQ,9439,349243
wdJWS,8750,778750
vVlLg,7573,98449
dvYIP,9849,659883
EYsXj,8830,582780
IJRUx,2191,54775
BQvxj,2856,185640
MZeaV,7834,70506
GdwjX,6529,483146
XzDRI,5652,84780
SfoCb,5673,555954
XHZpl,2519,204039
qhGWw,7757,116355
EyAMJ,6385,217090
cOkai,2476,123800
ErNKN,9543,677553
LUZXk,3953,351817
LCbTC,3625,112375
aFBqj,9940,457240
LgLtU,5823,40761
SVJuK,5228,52280
VgqlC,9797,470256
lNIwZ,4211,374779
nrDwj,6443,103088
mTYLg,8610,344400
kZqaY,6923,436149
biUrp,9034,280054
dySwt,3818,221444
nXTSo,5513,82695
NYJYP,2948,144452
TdqRz,2794,237490
DLuNM,2334,28008
iOdxH,6009,372558
gKrAl,5683,102294
qjOML,7697,277092
vzFzF,5164,170412
IedHV,7910,324310
eZrvP,5743,218234
iflfM,9749,97490
ylIMC,6431,533773
VMeqN,8808,801528
AwOZr,3515,267140
SiIRG,9440,925120
KMQJh,5746,402220
ZkYJi,2552,252648
QivYi,5338,512448
jdRdI,5941,445575
dlRPu,7935,103155
AEzua,3870,352170
udeoO,3282,164100
tIbkH,3722,160046
jnckU,4853,470741
UqKHU,7974,693738
fvvzF,2801,193269
ubBvJ,6305,334165
jcBKP,5050,146450
MZufH,6027,186837
leBWA,5758,518220
FZkIh,4505,292825
QcxGX,6881,254597
OYDFS,2332,53636
CWpDO,9007,135105
yMpVe,2060,103000
NHPBK,8297,721839
BTfXS,6643,352079
GYwgd,4740,237000
SJHSM,3411,208071
eaOwZ,9862,631168
GegCn,2453,127556
CVdHm,7826,140868
piDSU,6091,188821
uHFdq,8468,203232
VBvsZ,8424,277992
OaonV,7477,246741
WxCuC,3773,158466
lrdmQ,5598,386262
XDBOn,9297,455553
zKiCg,3423,136920
GhWjC,7504,412720
rLgcW,8094,566580
Kmhev,9299,362661
JMnTL,7639,572925
tygbv,5488,274400
KSaTN,7685,353510
kYhLY,6692,448364
IQpeV,6788,67880
SSGhM,9281,148496
qMQqC,8666,441966
iaKlv,4745,370110
uTDfX,3790,314570
EywWq,6187,191797
YsTui,2386,21474
KNCJS,9853,719269
WuKsx,9445,66115
ANVEy,7852,753792
UWaYX,3416,280112
ssYLB,4283,132773
setOB,6869,576996
hsrSA,4223,135136
kqluk,8885,462020
JYZuR,9735,700920
STRTS,9809,765102
