StoreCode,TotalSales,TotalAmount
iufYB,3428,236532
anlBU,5862,427926
SPPBt,7686,215208
uDaMI,8020,304760
abUtW,9814,314048
bceYY,2571,146547
yIpfP,2567,23103
iapZh,8323,83230
xqxiX,5050,393900
GpVwe,3840,199680
TfCjo,7794,210438
uSIuL,5605,106495
DKhMG,7935,436425
UMzIr,4671,415719
JEcPe,5844,58440
dHOWb,5004,260208
MTtET,9325,195825
cDvSm,3699,181251
YqlzQ,2339,37424
TIIHZ,9225,590400
tQEig,9838,767364
zEpHg,4451,378335
EJFNk,4477,349206
AvbxV,2138,196696
HpTWl,5753,161084
QCjmN,8981,125734
tzeZO,2094,163332
Kwcjp,4474,313180
pcROx,3578,93028
gAMtd,7436,141284
VjKsx,4310,133610
svunt,5135,87295
YuwRT,3443,134277
hPeiL,4827,386160
uadTG,5603,56030
CcTQy,9059,543540
MfVCP,5835,250905
gfSXb,6598,197940
GPemI,5896,530640
LohWj,9346,84114
AlHDZ,9298,111576
rykeP,2356,94240
hAfge,3486,334656
HMraQ,5180,404040
eRGZG,8275,562700
BzeNi,7663,521084
dnagi,7099,120683
JIrDE,7565,574940
hYddv,6096,170688
NvIxY,4070,85470
geUiu,5547,305085
vFTOt,9004,720320
rLEAw,8100,291600
jTOEa,2824,273928
UufKk,8052,128832
NaMdF,7750,674250
vGgMR,2502,45036
pqzjt,5024,427040
qoWVi,3825,141525
EzcZR,4771,114504
XdLFb,6046,205564
WqIEX,6755,520135
KsXVw,7192,517824
pQOhV,4416,331200
sQwdy,6481,388860
jaMrl,2506,67662
GRjmN,2916,256608
emfQE,7674,698334
wRGlS,2075,130725
YxXHJ,6146,467096
JHBjS,2932,67436
vyoFP,6149,430430
cIism,4627,180453
OSbey,2481,188556
RLQox,7857,612846
DLXXM,2976,127968
oFMyv,8691,182511
FMBqm,4647,348525
RNPtE,3177,314523
zpakt,3719,197107
NLIXr,5281,121463
LWokn,4588,389980
mEnMN,7829,234870
jikCb,7027,210810
hMhBO,5193,155790
iPoPi,8826,670776
dqwSi,7398,369900
fQpRI,9843,629952
PqbsG,7288,481008
DTWMq,2753,27530
gwbWS,6967,633997
yaSLi,3491,272298
NSXnP,8321,449334
btuqq,5167,511533
rGKjc,8105,275570
AMajW,2120,150520
zmeiH,3419,341900
UodQV,8728,829160
kFoXg,7082,679872
aVuXr,8134,170814
uCgMd,4359,200514
hRuRL,6233,317883
tBSGm,8935,580775
QJNYu,8783,491848
NUyOZ,2233,171941
qSebG,5927,154102
HXgiL,2027,12162
dziKG,3527,278633
xjIiO,7777,777700
rpbLk,4356,69696
DZcGC,5354,487214
CRFfQ,3020,63420
OiMKI,3018,232386
BTAjc,4697,150304
XXAjT,7890,717990
IsNDn,7016,392896
QaUMN,4554,113850
wurcK,8332,583240
kpmEp,8936,473608
iyUdi,5209,359421
TUqOz,5737,567963
TQhEH,5538,299052
vNjvh,8401,243629
nCpCR,7626,312666
OisEW,9218,129052
rzWpv,2032,83312
raUeR,9998,929814
Nmidn,6961,125298
TFkna,9478,142170
fwNoW,5378,64536
Pfnjx,9276,612216
gnIxY,6549,347097
eQsqH,9555,162435
ekYdJ,7690,645960
UqncH,7032,260184
bHvQY,8944,778128
ooFMl,3845,342205
BHMMR,5700,302100
iNHre,5276,26380
vneIJ,7228,375856
LtozY,8904,276024
rDduE,4106,279208
yfBSp,2707,186783
hlorh,8815,96965
hFHEe,8994,773484
ueVpT,8712,853776
kARRM,3010,87290
HeRgG,3553,252263
KtVeF,2150,32250
TYMCc,8032,570272
rPlyx,5089,162848
RwoJX,8418,446154
RnfWE,9215,387030
dLNJC,5884,300084
wRVSD,8893,382399
naVXO,4815,481500
Vhrir,9154,402776
xnqgV,6472,155328
UAlSz,7001,273039
soSos,5723,280427
pBadJ,2024,149776
DiAjh,2239,174642
MGHhA,2588,181160
rWKmx,4934,414456
JuHHk,3772,22632
gosJF,3379,314247
wEXNf,5866,41062
erENa,9357,187140
KIYze,4302,159174
ZITXO,5022,45198
ukwKz,5540,548460
fROpz,7412,355776
SOpJC,5512,187408
dEUJN,6445,225575
SIymk,3544,223272
dGlTK,9075,326700
rKzml,5804,319220
lbbAI,7427,482755
DJjpR,4623,106329
hejzM,8700,600300
oZZEy,9918,634752
HytDf,2715,43440
ImKgR,7666,712938
bzqhj,3087,262395
JtNFm,7548,45288
gIBGn,8388,671040
BYHfs,7012,182312
jSYfC,9532,657708
XfDRz,3201,48015
wuyow,4954,430998
GhoWI,9022,505232
LWALp,6098,347586
kImZj,4652,386116
xUZHW,3406,200954
XHXCu,3048,292608
LrRYP,3964,39640
ZTCzx,8456,42280
GaflA,4886,224756
xXQVx,9526,333410
yoPMM,7315,446215
fnifp,8173,678359
UBiHD,7445,744500
pHkIy,4310,198260
hAamr,3143,125720
NGGPn,8484,610848
PieYt,3226,112910
BBviV,2097,58716
WGIMR,6175,327275
Fcoqj,2818,78904
zxbcV,6729,639255
aqXjv,9633,86697
HwABJ,4623,129444
pwxsm,8487,780804
AxKjw,5495,362670
KhQou,3403,149732
FVLXv,5073,507300
LzYQM,9023,523334
eiFNn,6192,160992
