StoreCode,TotalSales,TotalAmount
WKkXA,5525,104975
ABviR,5075,334950
hJegb,2786,206164
HKTiq,4873,248523
OHnow,2966,252110
FlrAk,5695,438515
RFgpa,2347,105615
saQBN,2662,77198
Jkjcg,6334,240692
nPQjP,4756,266336
NdXau,7228,332488
eNHsM,4788,464436
ntjoe,3152,47280
uJhPn,8274,595728
AXiBL,7862,440272
CqZhn,5928,527592
CYcPN,5387,37709
DpXrY,7652,283124
JZmGM,2536,139480
NAqcA,3777,249282
lTPEo,4120,391400
sTXYe,2041,173485
gsXOr,5050,267650
YRwUE,2427,196587
RHAuO,5043,388311
INYMj,7787,552877
qNgVE,7636,603244
bPUCM,4373,65595
NyHOc,9848,196960
pwnlB,7741,758618
jcBdh,9676,512828
byOjC,7148,185848
AaqJK,6013,126273
tzcPa,4575,150975
Hkqpu,3500,227500
Iizvd,7096,638640
RDqil,7870,661080
uHVWC,8515,740805
RJhmE,9371,609115
XvqqP,5157,72198
xWhJf,4545,199980
yGLBj,3381,131859
dNYXo,4619,244807
synBh,8123,259936
hgXTv,9775,107525
QscgK,4836,116064
uDZNS,2927,155131
gYdPd,7308,124236
swMcN,9832,196640
huOCi,2083,158308
XKpkB,5359,375130
IQIoQ,5829,169041
Pqibt,4049,133617
QLYru,7190,675860
prNjp,9268,250236
ywDgw,6471,97065
EOuGi,7419,163218
qGCvQ,8524,68192
IwMFG,3238,246088
RNCWl,3020,292940
iufYB,3421,191576
anlBU,4802,264110
SPPBt,2726,226258
uDaMI,7997,759715
abUtW,2549,132548
bceYY,4366,314352
yIpfP,3380,165620
iapZh,4692,304980
xqxiX,6121,544769
GpVwe,6419,115542
TfCjo,3809,201877
uSIuL,8564,650864
DKhMG,9606,76848
UMzIr,8290,746100
JEcPe,2819,109941
dHOWb,9327,251829
MTtET,5180,150220
cDvSm,6246,487188
YqlzQ,3181,76344
TIIHZ,8302,282268
tQEig,6619,628805
zEpHg,4975,64675
EJFNk,5869,381485
AvbxV,5747,459760
HpTWl,4805,168175
QCjmN,7854,706860
tzeZO,4993,144797
Kwcjp,5879,29395
pcROx,4579,91580
gAMtd,3617,231488
VjKsx,2303,151998
svunt,4769,467362
YuwRT,5279,353693
hPeiL,5109,102180
uadTG,4769,343368
CcTQy,7203,230496
MfVCP,4627,161945
gfSXb,4836,203112
GPemI,2332,18656
LohWj,6768,189504
AlHDZ,3710,244860
rykeP,4867,243350
hAfge,7091,347459
HMraQ,7528,316176
eRGZG,2899,191334
BzeNi,2474,47006
dnagi,2312,85544
JIrDE,5489,268961
hYddv,5652,118692
NvIxY,3936,74784
geUiu,7480,269280
vFTOt,6460,116280
rLEAw,8340,191820
jTOEa,5748,178188
UufKk,2027,154052
NaMdF,8154,220158
vGgMR,6035,386240
pqzjt,9061,172159
qoWVi,6588,52704
EzcZR,3745,228445
XdLFb,4488,394944
WqIEX,2966,293634
KsXVw,8352,417600
pQOhV,2006,44132
sQwdy,2882,265144
jaMrl,5070,329550
GRjmN,5537,27685
emfQE,5468,147636
wRGlS,2584,82688
YxXHJ,8649,674622
JHBjS,2412,55476
vyoFP,6170,382540
cIism,9987,239688
OSbey,3955,31640
RLQox,3101,111636
DLXXM,4271,311783
oFMyv,6242,324584
FMBqm,9926,129038
RNPtE,2419,65313
zpakt,3336,220176
NLIXr,2164,123348
LWokn,6647,624818
mEnMN,9720,437400
jikCb,6677,166925
hMhBO,6326,44282
iPoPi,9747,672543
dqwSi,4065,142275
fQpRI,8188,188324
PqbsG,6635,471085
DTWMq,4239,300969
gwbWS,5065,405200
yaSLi,4066,32528
NSXnP,4689,375120
btuqq,3526,155144
rGKjc,2824,25416
AMajW,2671,45407
zmeiH,9090,863550
UodQV,2175,106575
kFoXg,7826,626080
aVuXr,8227,419577
uCgMd,2720,130560
hRuRL,7860,683820
