StoreCode,TotalSales,TotalAmount
okJyN,7918,720538
ThPsv,3911,50843
VWPwm,7226,570854
UdIGN,5986,89790
rHBoM,6826,382256
AjNQi,7935,412620
nHGfU,8240,379040
vwXuA,2307,156876
ZJRDH,4595,22975
KNnBR,8414,151452
JubAv,4968,283176
MJXcE,9122,255416
lzuFZ,6991,146811
NbkzT,5516,143416
dbLLF,4875,448500
CGXWX,9808,706176
Lnbox,3525,38775
OOCWw,3619,112189
oJjpd,2640,211200
gEHsH,9482,910272
wzYak,8329,549714
zgXpN,6571,52568
oyfDZ,4501,207046
OKaQl,5228,250944
rNDTc,8120,592760
vZRdZ,9620,48100
PEvtn,5111,35777
sYwQV,4333,324975
KBwCt,3933,239913
mPuGW,7407,659223
yTBDy,4157,153809
CueVE,6216,310800
qkxue,5605,498845
LYhDl,9336,849576
gndlW,8686,660136
Lmlko,8158,212108
JWBfD,9911,99110
bIJKs,2789,83670
wqsBh,4010,60150
UcLrz,2094,67008
QOSbc,3647,91175
sMqHg,6457,568216
ehiBf,6874,687400
ddZJd,8218,435554
CrzOh,5291,375661
RDaEM,2099,182613
djmvH,8847,265410
ndGUZ,9725,311200
vOfCn,8063,153197
BTaZB,5626,354438
Bxwxe,7330,241890
aaCPZ,8694,452088
BlIdp,4503,450300
VBYtQ,6236,199552
ZpOOw,4202,163878
fRyHQ,4391,57083
ttEre,5665,147290
XfzNT,2720,62560
KFoSd,2175,163125
WTDQv,9698,203658
MkNMD,9655,308960
KBamU,5077,223388
xViNc,9282,306306
gKIyA,3562,178100
OdkJD,9260,500040
zxAJF,5217,245199
Igdvq,7159,171816
wiIhA,6235,249400
FnFgI,8646,129690
wJMYW,6288,553344
mjplW,3609,83007
eDTeH,6250,168750
TIOBi,5658,186714
xwKsc,4755,370890
stMiO,6642,458298
HawXD,5036,458276
rfDaa,6889,668233
OXAud,8604,602280
lglks,7831,649973
nTacC,6511,156264
SeDoA,8531,349771
TGccw,8987,862752
XBWmR,5476,344988
gykMD,6790,427770
wEQqZ,4917,152427
NyJnU,6908,96712
DXhHc,8560,299600
qDvAh,3790,181920
nUTHk,9937,973826
acGxm,3998,363818
shnja,9427,716452
KFUGw,3240,236520
UDpYo,7342,110130
LplpW,4731,316977
aZUOR,9134,155278
FWGHn,5886,376704
LtwFp,4504,171152
bRHtm,2447,78304
MkghG,5466,453678
Ikadb,7922,562462
HZIVT,7369,707424
WDVmp,9043,307462
ozDIX,8913,213912
qIDXq,8751,166269
CTQfN,4098,389310
QgAhx,9361,196581
slAcJ,8701,278432
vmrLU,8277,678714
yTHEh,2049,63519
lGoVa,9763,634595
IRJuG,7044,626916
psBFq,7508,202716
VbuxQ,7318,117088
uKndT,9756,546336
fxCIy,6824,272960
zGyGG,2115,105750
uAkbh,2666,69316
EwABN,6058,127218
bxvtl,7627,663549
mqxxj,5544,255024
tsOJz,8969,690613
GzhSX,8584,257520
kvryu,3982,310596
ZwgUp,8091,655371
NUeWz,5692,335828
vKyIK,6450,580500
AmWQO,7341,734100
fQyRo,6059,36354
hjPHN,3305,214825
POqse,5311,281483
EVDgI,2980,181780
IPcfn,3374,158578
MeMGs,6345,463185
jAhpX,9694,407148
uGDff,7667,736032
gOkdO,3130,259790
jWIre,7640,443120
fHpMI,5410,541000
lVMVN,6657,73227
GSRWU,8839,548018
idOvW,8721,488376
VWqbE,5661,430236
vLmKV,2288,98384
aWOOV,5960,262240
kRrkx,2211,72963
QkEUL,6969,132411
uFpQH,4753,323204
rkxtL,7769,46614
talwS,6319,480244
UaAMB,2413,62738
UAeYW,7649,703708
eyUEn,3328,96512
PjnUz,4643,190363
ODyWO,2568,77040
VHTBY,4834,246534
qfuvj,8571,634254
GWKlk,3938,244156
uDRja,3739,157038
xncbm,8991,899100
QqxEp,8594,283602
QrNwO,8172,220644
Sahxf,5340,309720
oRlni,7033,232089
pWhCP,2269,86222
nYIib,9150,850950
lDLzU,8232,271656
HSBSH,4023,289656
Amagt,9026,171494
eZQuo,5577,540969
oUUDg,4120,317240
CbeQK,9820,461540
ZBfsh,9582,881544
FvhES,4192,352128
ldomP,7170,179250
QnFtv,7342,631412
eQHIq,7947,445032
rhihY,6393,517833
ScgLy,8656,865600
TxJsD,9504,85536
XgfTL,9341,756621
esjbO,4089,122670
puVXA,5576,301104
rEUwW,4362,414390
hAomW,9161,503855
HtCeM,8935,491425
AhDNA,9388,159596
KErsa,9906,108966
bfbuU,9350,691900
crBFQ,2831,59451
mFdLN,6078,328212
CVBrm,3760,319600
qDQip,2188,201296
KUxkt,2543,205983
qQbgw,8888,808808
FBeJv,7700,739200
kJFpB,7519,451140
glKdt,8009,120135
Tocnf,9719,699768
JcCWb,9797,215534
pXHPq,4050,279450
iRpPc,6758,216256
CjhMA,9647,115764
mwCWY,2895,211335
BfPZz,2060,127720
XAFCB,5052,232392
hQLuY,6236,455228
bKFVJ,4244,309812
cCncM,6877,391989
NmlOX,5540,238220
Gmust,3694,362012
Rxykd,4340,125860
oWaGI,3011,66242
RsycJ,5269,368830
RLIcT,5983,311116
xzYdQ,7137,585234
vDyzg,4699,300736
UlCVn,2921,280416
FzEpU,4540,408600
yBIot,8956,743348
iyptw,3251,224319
xutyH,3094,30940
yJMiJ,5470,361020
NDifr,7967,732964
RLjJn,4215,147525
ufPuW,2336,28032
SLgwX,2530,78430
NAEvs,5448,446736
eABiL,2249,96707
fQuLm,7032,379728
ldnYd,4671,182169
ltiCp,2271,93111
HnpRj,7140,214200
OTaJQ,9468,691164
ISWmm,9308,874952
DahmV,2999,101966
nNdzJ,6575,532575
blkyR,6120,385560
WOYco,8169,220563
pzkIS,4774,133672
qeYBQ,8110,121650
voZEK,2188,26256
rpnBO,2658,135558
ZVuTI,9193,652703
BtlKJ,9557,554306
RbQBt,5394,97092
mZDVM,8160,350880
SaNNh,8916,312060
Ksnvj,9057,81513
NlpJP,5243,167776
qDBKc,8538,751344
ELRhJ,4320,345600
mZpJm,8936,848920
Myijg,7990,455430
HESXi,7099,276861
zmKuF,3890,245070
Zhwqx,7495,584610
mrMBd,3898,233880
gRnNs,3437,274960
AEaYi,5567,406391
auACm,5726,446628
uxZcL,2232,62496
LLHRI,4866,160578
Gfuml,9503,142545
xpWFE,4918,157376
hzYwn,7760,333680
asrDF,5950,458150
WqXEo,8691,756117
UzyND,9858,680202
VfSTP,6417,327267
KICbe,7367,685131
arcPj,3897,233820
xuXJD,8329,424779
LncVn,6136,227032
DpLms,4078,101950
ukbYT,4537,372034
LUaMu,3639,229257
HlQhV,7165,57320
xqytA,6766,676600
yRrjt,4074,224070
qnaRz,8003,600225
bLEdL,5764,40348
nBWsX,4578,430332
YEDdv,2047,42987
Huqaw,5404,329644
VEMDU,5737,240954
ScRaF,6491,155784
IkEWb,6800,462400
yUAkF,2127,176541
vmMwF,3311,264880
CxgDi,4712,245024
EiFLE,9021,333777
vebAI,6643,617799
hjmEW,6058,212030
XwqDz,8616,232632
oTQNK,4558,95718
yfCFT,9043,804827
sqipH,5083,498134
