StoreCode,TotalSales,TotalAmount
arcPj,9825,638625
xuXJD,6181,513023
LncVn,2911,52398
DpLms,5966,334096
ukbYT,5954,190528
LUaMu,4546,418232
HlQhV,2722,87104
xqytA,6269,112842
yRrjt,4315,353830
qnaRz,5128,230760
bLEdL,9842,688940
nBWsX,9609,345924
YEDdv,6096,554736
Huqaw,7769,637058
VEMDU,6917,228261
ScRaF,8398,361114
IkEWb,3409,238630
yUAkF,6809,483439
vmMwF,8235,485865
CxgDi,8209,262688
EiFLE,3683,99441
vebAI,5298,148344
hjmEW,4679,224592
XwqDz,4631,46310
oTQNK,4777,76432
yfCFT,7877,330834
sqipH,2280,66120
vKHum,9599,806316
GJYlu,8288,729344
XsQNB,7864,519024
XyNYW,6622,602602
KfNPE,3569,57104
zWLjt,9364,355832
LBZOO,4107,275169
jBUyx,8828,838660
BkcIO,7921,483181
npohD,9850,275800
oHlSy,5182,399014
ORjNJ,5154,118542
nMeRc,8191,466887
KPZsa,4014,361260
HjFMY,2757,13785
ZfISm,3706,363188
xdQSe,8391,67128
WZjPt,2207,147869
uJKMn,7620,754380
ycZWf,5860,492240
jzDgS,6351,419166
ThCjH,2232,55800
LHQkS,6700,254600
sEorK,2696,26960
mlKgn,3327,182985
wywHO,7486,359328
YBGmN,4333,389970
jBTfn,3428,78844
NxHAX,3313,294857
BtXrB,2470,237120
SIGvq,7428,631380
YUuxM,2346,182988
lIxwY,4421,340417
WRTEU,4611,295104
aYZse,6735,505125
uGymu,5244,230736
bdVkY,7874,787400
xxxdQ,5517,507564
TEoKF,8529,818784
TqvHY,4297,275008
YrCmK,5159,376607
AyODv,6245,299760
SLGvg,7937,507968
xYRIJ,5535,88560
mQdRc,2604,166656
PTuRg,9942,278376
sBYvZ,3909,355719
obwvs,9145,813905
FvafL,8817,626007
Lophj,6563,492225
kIGjc,2093,52325
hzhfC,2149,178367
VcTBw,3235,300855
SJmMg,2490,47310
eFaAS,4097,167977
GAZpr,9845,127985
RzlSK,3963,348744
WxaxZ,8653,571098
VwQUS,5031,422604
wGTkG,5768,415296
xhwRj,3558,32022
SJElI,4609,138270
KUzqX,7054,296268
aPylH,9193,560773
meNtD,2769,119067
pIQTk,2219,104293
ExDQm,6132,545748
bXRMv,8980,197560
yBnce,3286,213590
scuvi,9965,587935
pgqEq,5570,155960
ytYLT,6928,96992
LDiYP,7433,639238
WKkXA,6537,529497
ABviR,8941,178820
hJegb,3931,377376
HKTiq,3897,346833
OHnow,8047,708136
FlrAk,2514,226260
RFgpa,3318,63042
saQBN,2712,67800
Jkjcg,4866,457404
nPQjP,3044,76100
NdXau,5382,69966
eNHsM,6872,164928
ntjoe,4659,218973
uJhPn,4944,355968
AXiBL,2627,78810
CqZhn,4691,75056
CYcPN,9772,195440
DpXrY,7136,135584
JZmGM,4992,94848
NAqcA,4350,174000
lTPEo,2123,112519
sTXYe,7224,585144
gsXOr,9534,200214
YRwUE,7658,643272
RHAuO,6788,563404
INYMj,9139,274170
qNgVE,8599,472945
bPUCM,5386,452424
NyHOc,8212,533780
pwnlB,5858,111302
jcBdh,4417,406364
byOjC,5035,156085
AaqJK,7360,610880
tzcPa,9046,705588
Hkqpu,5093,157883
Iizvd,4066,126046
RDqil,7682,61456
uHVWC,6631,106096
RJhmE,5358,326838
XvqqP,9562,57372
xWhJf,8471,245659
yGLBj,7304,211816
dNYXo,2511,150660
synBh,9135,73080
hgXTv,6843,396894
QscgK,4516,261928
uDZNS,5970,137310
gYdPd,5784,370176
swMcN,2361,221934
huOCi,4249,93478
XKpkB,9673,831878
IQIoQ,4174,137742
Pqibt,7621,426776
QLYru,9161,870295
prNjp,7165,415570
ywDgw,4741,379280
EOuGi,5018,165594
qGCvQ,2578,139212
IwMFG,7012,553948
RNCWl,9944,437536
iufYB,7960,620880
anlBU,7459,589261
SPPBt,5939,154414
uDaMI,7017,294714
abUtW,3459,266343
bceYY,6822,136440
yIpfP,4173,154401
iapZh,3034,297332
xqxiX,6775,94850
GpVwe,9376,253152
TfCjo,7848,565056
uSIuL,8629,517740
DKhMG,9579,871689
UMzIr,3115,261660
JEcPe,4390,136090
dHOWb,6832,546560
MTtET,5598,83970
cDvSm,9006,576384
YqlzQ,8427,370788
TIIHZ,2414,53108
tQEig,7833,587475
zEpHg,6250,393750
EJFNk,8560,239680
AvbxV,9633,298623
HpTWl,2944,217856
QCjmN,4071,130272
tzeZO,8162,106106
Kwcjp,3793,121376
pcROx,8245,791520
gAMtd,8968,609824
VjKsx,5486,340132
svunt,5505,198180
YuwRT,2059,187369
hPeiL,8778,359898
uadTG,7503,637755
CcTQy,3724,141512
MfVCP,5787,555552
gfSXb,6899,331152
GPemI,5592,100656
LohWj,3615,112065
AlHDZ,4160,145600
rykeP,4371,170469
hAfge,7237,434220
HMraQ,2145,156585
eRGZG,9875,424625
BzeNi,3675,367500
