StoreCode,TotalSales,TotalAmount
SJmMg,9027,704106
eFaAS,3333,219978
GAZpr,6073,370453
RzlSK,5151,267852
WxaxZ,7821,594396
VwQUS,2692,67300
wGTkG,4426,66390
xhwRj,8391,100692
SJElI,7311,606813
KUzqX,6879,398982
aPylH,7493,591947
meNtD,3366,134640
pIQTk,5997,365817
ExDQm,9383,788172
bXRMv,3202,22414
yBnce,4219,282673
scuvi,9627,799041
pgqEq,4897,151807
ytYLT,8854,602072
LDiYP,2505,112725
WKkXA,3589,355311
ABviR,5809,255596
hJegb,5950,493850
HKTiq,5918,47344
OHnow,3975,186825
FlrAk,4788,158004
RFgpa,2250,186750
saQBN,5233,52330
Jkjcg,5955,363255
nPQjP,7481,157101
NdXau,8632,526552
eNHsM,2863,131698
ntjoe,7267,254345
uJhPn,7402,377502
AXiBL,7452,551448
CqZhn,7061,141220
CYcPN,6561,209952
DpXrY,8962,152354
JZmGM,2429,60725
NAqcA,3791,314653
lTPEo,8934,464568
sTXYe,6904,214024
gsXOr,4193,381563
YRwUE,5297,190692
RHAuO,9796,724904
INYMj,8074,605550
qNgVE,9986,778908
bPUCM,8944,447200
NyHOc,5171,46539
pwnlB,2060,24720
jcBdh,3982,310596
byOjC,8024,665992
AaqJK,6843,95802
tzcPa,7869,314760
Hkqpu,7077,502467
Iizvd,8015,737380
RDqil,3622,202832
uHVWC,5643,383724
RJhmE,4088,57232
XvqqP,5909,549537
xWhJf,5731,429825
yGLBj,4047,250914
dNYXo,4780,339380
synBh,2408,134848
hgXTv,8829,865242
QscgK,6310,315500
uDZNS,9274,741920
gYdPd,6326,259366
swMcN,9176,165168
huOCi,4909,471264
XKpkB,3291,167841
IQIoQ,3226,225820
Pqibt,3287,108471
QLYru,8809,563776
prNjp,8479,669841
ywDgw,7815,234450
EOuGi,9878,602558
qGCvQ,2458,145022
IwMFG,9901,89109
RNCWl,7982,598650
iufYB,6062,309162
anlBU,3682,88368
SPPBt,6908,690800
uDaMI,5490,395280
abUtW,7893,102609
bceYY,3606,93756
yIpfP,7787,770913
iapZh,4039,88858
xqxiX,4364,226928
GpVwe,3811,316313
TfCjo,2811,33732
uSIuL,7836,673896
DKhMG,5381,511195
UMzIr,4998,184926
JEcPe,8463,220038
dHOWb,9536,314688
MTtET,6057,42399
cDvSm,8012,128192
YqlzQ,8728,829160
TIIHZ,7147,550319
tQEig,3753,146367
zEpHg,7225,700825
EJFNk,4806,43254
AvbxV,2806,157136
HpTWl,7523,534133
QCjmN,9380,365820
tzeZO,9368,487136
Kwcjp,8350,183700
pcROx,8651,207624
gAMtd,9060,471120
VjKsx,5808,209088
svunt,2484,240948
YuwRT,3980,230840
hPeiL,9577,747006
uadTG,8637,190014
CcTQy,3744,22464
MfVCP,9573,909435
gfSXb,2532,35448
GPemI,6815,293045
LohWj,3406,34060
AlHDZ,2102,102998
rykeP,8361,735768
hAfge,3102,127182
HMraQ,9038,433824
eRGZG,8103,145854
BzeNi,6978,125604
dnagi,3726,63342
JIrDE,8427,42135
hYddv,7863,369561
NvIxY,4775,57300
geUiu,3544,290608
vFTOt,5428,206264
rLEAw,9161,274830
jTOEa,7354,44124
UufKk,9583,95830
NaMdF,3477,323361
vGgMR,2913,101955
pqzjt,4939,59268
qoWVi,3983,123473
EzcZR,7046,542542
XdLFb,4139,285591
WqIEX,9887,790960
KsXVw,2853,114120
pQOhV,8702,191444
sQwdy,9030,352170
jaMrl,9770,449420
GRjmN,6501,650100
emfQE,6875,41250
wRGlS,4186,351624
YxXHJ,4605,368400
JHBjS,2731,150205
vyoFP,3899,50687
cIism,3517,189918
OSbey,2726,256244
RLQox,8102,259264
DLXXM,9341,476391
oFMyv,4702,79934
FMBqm,5339,176187
RNPtE,3745,112350
zpakt,9147,237822
NLIXr,5592,548016
LWokn,4705,338760
mEnMN,7600,152000
jikCb,3850,308000
hMhBO,8377,368588
iPoPi,8934,223350
dqwSi,3269,307286
fQpRI,6663,433095
PqbsG,5921,230919
DTWMq,4678,364884
gwbWS,2042,34714
yaSLi,4982,458344
NSXnP,9611,297941
btuqq,5336,58696
rGKjc,8340,834000
AMajW,2971,172318
zmeiH,4839,72585
UodQV,9650,858850
kFoXg,3971,266057
aVuXr,9142,356538
uCgMd,4444,439956
hRuRL,4135,128185
tBSGm,4604,382132
QJNYu,5532,403836
NUyOZ,3247,243525
qSebG,3766,354004
HXgiL,2677,256992
dziKG,3839,130526
xjIiO,2445,210270
rpbLk,6253,168831
DZcGC,9688,368144
CRFfQ,7956,278460
OiMKI,6449,464328
BTAjc,9124,702548
XXAjT,4557,405573
IsNDn,4017,168714
QaUMN,2268,167832
wurcK,3819,206226
kpmEp,4657,60541
iyUdi,8291,456005
TUqOz,6098,36588
TQhEH,8991,782217
vNjvh,8819,485045
nCpCR,9739,954422
OisEW,7408,600048
rzWpv,3885,236985
raUeR,8222,238438
Nmidn,2756,41340
TFkna,9306,316404
fwNoW,9597,796551
Pfnjx,5123,184428
gnIxY,9149,439152
eQsqH,5518,491102
ekYdJ,9724,398684
UqncH,7844,603988
bHvQY,5152,288512
ooFMl,9537,638979
BHMMR,9812,627968
iNHre,9300,864900
vneIJ,7015,441945
LtozY,2614,83648
rDduE,6916,331968
yfBSp,2378,40426
hlorh,9175,587200
hFHEe,6490,305030
ueVpT,6541,497116
kARRM,4349,130470
HeRgG,8526,520086
KtVeF,2605,179745
