StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
MuwFP,2119-06-26,9841,157456,false
cfFWu,2083-01-12,8446,413854,true
xfVbw,2056-12-08,6703,201090,false
xBRCe,2079-06-11,7925,71325,true
AiXGp,2041-11-05,9821,932995,true
COxZZ,2044-01-05,7671,513957,true
DgDLy,2082-03-03,2198,112098,false
yqSqM,2109-04-02,3433,329568,true
KuELV,2021-02-12,2392,43056,false
LQmGM,2057-01-29,9151,64057,true
gMrrU,2096-02-11,5080,492760,true
yYKlJ,2101-06-25,4326,155736,true
vlExD,2060-12-18,5866,569002,false
unHPa,2032-01-23,7287,189462,true
Ijovy,2041-10-03,8138,626626,false
jPInm,2056-09-22,4700,319600,false
gkiUJ,2021-01-26,6636,384888,false
cSwhe,2049-03-22,4044,64704,true
zKGLk,2117-12-20,7077,261849,true
HRRep,2119-07-18,9075,780450,false
cAurE,2083-11-29,6303,611391,false
YhtWY,2109-09-04,9606,547542,false
eSItw,2035-05-12,3754,364138,true
flkSX,2102-07-23,2665,247845,true
ltOdM,2091-05-11,2223,37791,false
iwuQa,2119-01-17,2712,200688,false
KcZRO,2066-07-07,2627,202279,false
yGEPn,2098-03-31,4108,164320,true
ZPCiI,2043-04-09,5167,382358,false
clyey,2064-01-27,6758,195982,false
ptuHY,2031-07-01,6487,583830,false
DSLiG,2104-05-26,2609,143495,false
tkjTV,2089-05-01,6216,422688,false
jpOue,2044-04-06,4291,214550,true
gHtBk,2086-10-12,5126,61512,true
HaQbW,2119-10-13,2506,115276,true
lPFrF,2032-11-14,3438,30942,false
zNqnr,2068-09-12,9552,420288,true
oSLEf,2119-06-02,4142,37278,false
XOeGK,2061-11-16,9926,545930,false
MkhmR,2078-04-27,4145,99480,false
HDFVh,2111-09-02,9791,332894,false
bZNrv,2086-01-27,7210,699370,false
qqMRa,2046-05-03,5077,126925,true
yuPlp,2027-11-23,7180,437980,false
EgDVY,2040-03-17,6546,150558,true
oJRnH,2031-05-05,7479,82269,false
Ulvwf,2100-10-14,2129,117095,true
Zdkte,2089-05-13,7692,46152,false
vuCOP,2107-06-06,5332,239940,false
kLAcH,2097-12-22,7377,147540,false
XGhbO,2034-09-12,4041,60615,true
XQaHJ,2063-01-19,8613,129195,false
xHllz,2105-10-22,9452,926296,false
XEmIJ,2041-08-22,2868,129060,false
orpMr,2086-11-13,10000,520000,false
jyrvB,2036-09-14,9546,276834,true
DiWdM,2107-08-20,4167,237519,false
pJbdt,2116-05-30,6805,142905,false
aQesR,2086-02-03,7947,365562,true
yaVEF,2026-02-25,2514,196092,false
NRoJG,2086-09-23,8366,786404,false
aTfZz,2047-11-26,3228,190452,true
oWLEE,2063-09-20,7744,332992,true
yutoT,2047-05-09,6424,308352,true
dGvdC,2117-10-31,3677,327253,true
AYYHE,2078-01-29,4596,261972,false
Pqphe,2087-05-04,2446,151652,false
VZEKW,2065-03-05,6405,249795,true
WRVNv,2081-08-06,9512,551696,true
iHfaD,2048-10-24,5656,452480,false
alDAd,2087-06-25,9200,138000,false
flZxQ,2108-02-05,6088,97408,true
NoAhW,2084-07-30,3628,235820,false
MRUez,2089-03-31,3794,239022,false
jqVSB,2079-12-26,5532,165960,false
aEZLq,2052-11-27,7883,228607,true
jFHnp,2039-06-05,3310,43030,false
niuao,2028-01-29,8072,88792,true
uxoTY,2045-05-22,7705,169510,false
QfxWo,2028-07-25,5419,536481,true
AgdDr,2117-07-26,4699,178562,false
zDqyD,2063-11-01,8773,350920,true
DQdfx,2058-10-06,7571,757100,false
GrqPo,2050-02-14,2669,34697,false
eSTsG,2071-05-17,9365,355870,true
oqAWv,2031-08-12,8789,272459,false
TbVIw,2108-12-13,4913,93347,true
FCIWC,2051-11-01,4049,174107,false
wAqsT,2101-09-05,6760,297440,false
UmHsj,2118-07-14,7762,644246,true
aOMVv,2118-04-01,6559,288596,true
DgKsH,2116-10-12,9309,465450,true
XAQvR,2068-08-16,8924,838856,true
VMttA,2032-06-06,6113,128373,false
RMmcx,2076-05-22,3997,139895,true
fGpJo,2025-12-31,4774,439208,true
gQLfK,2064-10-17,2065,20650,true
NwOBS,2063-07-02,8817,387948,true
vpVkm,2057-06-07,2625,26250,false
BvaxX,2048-12-10,5950,172550,true
WkQEr,2080-05-22,6804,476280,true
NEJMD,2056-02-15,4969,24845,false
iWElQ,2060-03-25,5074,436364,false
uBeRU,2098-06-24,8361,250830,true
IGvms,2113-07-20,4387,298316,true
QtidG,2033-11-04,8967,744261,false
QAbBt,2083-05-31,6742,370810,true
GlqCH,2028-09-05,8166,375636,false
clIpF,2115-01-15,9000,837000,true
hgYlA,2078-12-23,2349,230202,true
GXuAF,2024-05-16,6055,84770,false
aTYKa,2028-07-11,7012,617056,true
jDKYr,2113-10-16,5888,329728,true
HpDxV,2061-11-17,6322,183338,false
yKFQJ,2026-04-29,2800,173600,true
mYRzy,2098-06-07,8513,170260,false
YbrVf,2098-11-17,5176,62112,false
OnxjQ,2106-12-14,7747,170434,false
TSqRr,2084-12-04,5170,330880,true
NDtjR,2033-07-19,9577,411811,false
kPsmd,2023-10-16,7585,371665,true
GeMWZ,2030-12-11,2953,67919,false
Dgwbu,2022-12-19,3305,69405,false
RJOUN,2068-04-08,4606,460600,true
KOOGk,2029-09-27,2544,172992,false
etwzA,2090-11-16,7202,237666,false
gkJwL,2069-09-06,3335,256795,true
TkCEQ,2077-08-09,7877,645914,false
mfVba,2031-05-28,6485,337220,true
iVjoX,2050-06-17,3412,136480,true
xNjcJ,2086-07-20,6171,228327,true
GQUGT,2057-10-29,6358,375122,true
YaHYp,2115-04-06,9483,350871,true
XPLIp,2091-12-07,9632,664608,true
KhXqf,2086-09-18,5001,205041,false
nBQnc,2036-08-01,9064,353496,true
TbFwW,2025-12-04,9218,147488,true
kNhde,2119-08-16,2018,40360,true
dhFID,2041-08-18,9235,609510,true
EZiaQ,2071-02-07,6022,572090,false
sLFmF,2083-07-19,9105,773925,true
toqFu,2112-02-27,2104,25248,true
PdveO,2036-10-11,2080,137280,true
BzZTV,2066-05-14,4081,40810,false
khBfg,2108-12-24,9086,54516,true
Brbyo,2099-08-28,4888,307944,true
hxCJQ,2033-04-17,2498,64948,false
PXenY,2052-08-03,8440,194120,true
cwtDX,2021-10-22,9825,972675,true
eUPbR,2105-10-04,9087,536133,true
WmlnQ,2061-10-25,8194,508028,true
kOlaN,2062-05-28,7349,507081,false
yrQct,2052-05-10,4043,262795,false
WJdpA,2107-08-19,2825,226000,true
fXWVR,2051-09-04,5005,140140,false
NMxTB,2070-06-11,9657,753246,false
pUtri,2084-05-10,4516,103868,false
wnZIE,2034-08-22,3883,314523,true
TgYFa,2021-12-30,3927,298452,false
aNprq,2075-02-28,5360,219760,true
FLcJk,2040-08-05,2482,181186,false
DsvRZ,2085-11-06,3566,21396,true
MUHIO,2114-02-02,7536,37680,true
PnQku,2113-05-19,7547,588666,false
auapI,2094-08-25,5995,275770,false
OgydP,2062-07-03,3957,23742,true
zFXxM,2115-05-30,9535,486285,false
zQzLp,2036-10-31,3583,351134,false
FIAJK,2112-07-14,4450,204700,true
fhhcY,2061-07-23,5510,154280,false
zghcv,2022-01-07,4447,213456,true
KIJls,2119-01-12,3112,18672,false
wdpvP,2062-09-29,2010,74370,true
fFXEw,2121-02-14,3572,53580,true
qYLhG,2041-11-20,3373,134920,true
VuEHV,2062-06-16,6002,168056,true
GlgRx,2040-08-03,8973,780651,false
nvdSW,2035-01-30,5438,304528,true
kOoCc,2102-08-07,5334,517398,false
UbVdI,2065-04-22,5750,34500,true
NssPe,2092-07-22,5747,436772,true
xFuoR,2035-09-22,8862,496272,true
DTMgX,2086-09-17,5582,323756,true
mlJlb,2095-08-29,3272,261760,false
ymBoG,2076-05-23,7787,202462,false
IaTIL,2084-08-31,8111,446105,false
RDRbk,2040-07-22,7133,192591,true
PEdzJ,2085-10-26,6645,637920,false
uvYKG,2086-05-19,5184,77760,true
kaKpY,2092-12-30,3628,159632,true
SeXAD,2053-06-07,9213,331668,true
QMmbL,2120-07-12,5840,146000,true
AGZKo,2100-03-22,5708,359604,false
TScRb,2116-01-06,7701,200226,false
KGAMJ,2023-02-11,7658,344610,true
JViUc,2045-12-29,9261,388962,true
KAhnw,2032-04-27,3061,113257,true
xhPHG,2093-05-30,5704,199640,false
ZSErb,2079-07-13,2510,85340,false
PuWMA,2058-04-17,8017,400850,true
IXpTk,2114-10-09,4796,297352,true
soqBT,2028-12-15,8560,856000,true
UYTSr,2053-10-08,5821,488964,true
cfLcc,2086-03-22,6390,421740,false
LCmQP,2120-02-05,7426,653488,false
zQebo,2021-11-10,9713,689623,true
hWvFA,2110-03-21,9528,219144,true
tqpRp,2112-11-18,6487,84331,false
hUecU,2023-02-03,2985,220890,false
wyZhm,2102-07-25,8189,393072,false
EOVmQ,2104-12-05,7888,63104,false
wdJWS,2110-03-04,5371,85936,false
vVlLg,2108-03-23,9835,186865,false
dvYIP,2098-06-09,5797,179707,true
EYsXj,2059-04-01,4221,282807,true
IJRUx,2101-08-16,7419,252246,true
BQvxj,2024-12-23,9901,643565,false
MZeaV,2053-11-19,8712,574992,true
GdwjX,2064-10-25,8626,267406,false
XzDRI,2115-11-01,8885,275435,false
SfoCb,2104-05-08,9256,888576,false
XHZpl,2093-02-12,7543,543096,false
qhGWw,2058-08-23,4035,282450,true
EyAMJ,2107-01-22,2308,150020,true
cOkai,2111-08-18,2539,129489,false
ErNKN,2114-11-05,6961,535997,false
LUZXk,2054-12-18,6236,174608,false
LCbTC,2119-03-17,5478,279378,true
aFBqj,2065-08-15,3454,265958,false
LgLtU,2105-10-29,4449,40041,false
SVJuK,2102-09-23,6672,600480,false
VgqlC,2025-06-18,2318,152988,false
lNIwZ,2048-11-15,5721,246003,false
nrDwj,2113-01-14,6170,376370,false
mTYLg,2052-01-10,3155,110425,false
kZqaY,2021-09-24,3161,25288,false
biUrp,2096-10-31,5554,249930,true
dySwt,2025-05-04,3019,259634,false
nXTSo,2035-12-16,8072,565040,true
NYJYP,2090-12-30,8505,331695,false
TdqRz,2098-10-09,7467,67203,true
DLuNM,2091-11-09,3681,58896,false
iOdxH,2057-03-06,9166,696616,false
gKrAl,2047-10-26,2054,22594,true
qjOML,2039-07-25,8280,794880,false
vzFzF,2091-07-23,2041,204100,true
IedHV,2082-02-23,4617,337041,false
eZrvP,2090-10-04,5792,538656,true
iflfM,2045-12-31,3463,72723,false
ylIMC,2074-09-16,8045,442475,false
VMeqN,2105-10-14,9500,313500,false
AwOZr,2101-07-18,8400,613200,true
SiIRG,2063-06-16,5396,480244,true
KMQJh,2036-06-25,2818,73268,true
ZkYJi,2026-10-15,7522,744678,true
QivYi,2094-08-29,9189,799443,true
jdRdI,2051-10-30,8632,293488,true
dlRPu,2059-05-11,5125,425375,true
AEzua,2053-08-06,3638,214642,false
udeoO,2088-01-09,3216,221904,false
tIbkH,2090-08-16,3795,83490,true
jnckU,2050-08-07,9543,448521,false
UqKHU,2025-09-24,2264,99616,false
fvvzF,2044-03-20,7320,256200,true
ubBvJ,2029-09-29,3050,234850,false
jcBKP,2105-11-25,5490,356850,false
MZufH,2066-03-14,8808,713448,true
leBWA,2055-05-20,6387,625926,false
FZkIh,2083-05-06,5716,394404,false
QcxGX,2078-11-20,4095,184275,true
OYDFS,2062-05-04,6892,544468,false
CWpDO,2073-09-05,5310,244260,true
yMpVe,2026-11-12,2238,73854,true
NHPBK,2047-06-18,7955,445480,false
BTfXS,2078-06-26,2516,47804,false
GYwgd,2088-12-12,9849,147735,false
SJHSM,2061-09-11,4809,370293,true
eaOwZ,2067-02-27,2056,197376,true
GegCn,2066-06-27,8774,175480,true
CVdHm,2094-05-30,7251,246534,true
piDSU,2029-11-10,2174,89134,true
uHFdq,2067-02-13,3374,226058,false
VBvsZ,2106-05-16,4983,383691,false
OaonV,2061-09-05,9782,772778,false
WxCuC,2114-04-06,3347,110451,false
lrdmQ,2038-10-03,5516,242704,false
XDBOn,2088-01-05,4818,337260,false
zKiCg,2109-07-13,8716,183036,false
GhWjC,2033-01-19,9744,818496,false
rLgcW,2035-01-16,7046,218426,false
Kmhev,2115-05-12,9750,926250,false
JMnTL,2084-12-21,8975,170525,true
tygbv,2058-11-01,2160,120960,false
KSaTN,2057-03-28,3436,30924,false
kYhLY,2049-02-10,2072,153328,false
IQpeV,2112-01-16,3007,297693,false
SSGhM,2043-10-18,9313,661223,true
qMQqC,2087-08-02,6700,335000,true
iaKlv,2097-06-20,7788,584100,false
uTDfX,2055-05-13,7414,400356,false
EywWq,2080-12-21,4780,143400,false
YsTui,2075-02-11,2343,117150,false
KNCJS,2101-12-06,5532,127236,false
WuKsx,2075-06-28,8014,312546,false
ANVEy,2094-10-07,4113,226215,false
UWaYX,2109-07-28,7404,355392,true
ssYLB,2035-09-06,8550,265050,true
setOB,2100-07-23,5152,92736,true
hsrSA,2055-05-20,8640,328320,false
kqluk,2056-04-09,8883,612927,true
JYZuR,2062-03-06,9871,621873,false
STRTS,2079-06-16,6097,213395,true
qTePA,2096-11-27,6301,81913,false
