StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
XzDRI,2103-07-16,3129,250320,false
SfoCb,2082-01-07,7916,672860,true
XHZpl,2045-10-01,4576,96096,true
qhGWw,2114-12-07,6389,204448,true
EyAMJ,2021-06-23,3503,175150,false
cOkai,2040-07-04,2420,106480,false
ErNKN,2039-12-24,7605,539955,true
LUZXk,2060-04-11,8092,161840,true
LCbTC,2023-09-28,8537,682960,true
aFBqj,2033-02-27,5455,534590,false
LgLtU,2042-01-16,5578,356992,true
SVJuK,2044-12-09,2294,123876,true
VgqlC,2053-12-20,7273,603659,false
lNIwZ,2097-07-31,9475,786425,true
nrDwj,2032-05-21,9626,481300,true
mTYLg,2084-11-15,7366,640842,true
kZqaY,2072-06-18,5545,449145,true
biUrp,2054-09-22,2737,139587,false
dySwt,2064-03-22,2268,11340,true
nXTSo,2064-12-16,3220,38640,false
NYJYP,2022-06-06,2410,113270,true
TdqRz,2087-05-06,7070,487830,false
DLuNM,2079-07-27,3948,327684,true
iOdxH,2041-08-20,2611,91385,true
gKrAl,2096-04-13,3332,96628,true
qjOML,2059-02-02,8839,106068,false
vzFzF,2043-07-09,2981,50677,true
IedHV,2028-05-03,5326,388798,false
eZrvP,2072-04-19,3008,39104,true
iflfM,2117-08-21,8588,446576,false
ylIMC,2071-10-07,5412,303072,true
VMeqN,2100-08-14,5879,217523,false
AwOZr,2077-09-04,4716,99036,false
SiIRG,2112-12-05,9525,114300,true
KMQJh,2025-10-25,8364,342924,false
ZkYJi,2049-10-16,5482,158978,true
QivYi,2078-07-09,6110,378820,false
jdRdI,2120-05-14,3019,75475,true
dlRPu,2042-07-04,6414,96210,false
AEzua,2069-07-22,6058,472524,false
udeoO,2022-10-15,5455,381850,false
tIbkH,2118-09-18,8874,541314,false
jnckU,2058-03-10,2180,32700,false
UqKHU,2033-01-14,9634,491334,true
fvvzF,2059-07-06,4307,331639,true
ubBvJ,2081-08-24,2004,200400,false
jcBKP,2074-05-12,6223,43561,true
MZufH,2049-09-21,5027,457457,false
leBWA,2075-06-23,8354,793630,false
FZkIh,2081-03-22,9101,837292,true
QcxGX,2028-03-08,3757,259233,true
OYDFS,2100-08-20,6254,50032,false
CWpDO,2070-08-19,2160,62640,true
yMpVe,2105-11-04,6202,570584,true
NHPBK,2026-07-09,7305,160710,true
BTfXS,2047-01-25,9763,400283,false
GYwgd,2091-08-28,7836,172392,true
SJHSM,2070-04-09,2668,160080,true
eaOwZ,2079-04-25,3595,323550,true
GegCn,2038-03-14,5400,189000,false
CVdHm,2072-04-07,7221,382713,false
piDSU,2100-04-27,8112,308256,true
uHFdq,2038-07-11,5235,47115,false
VBvsZ,2067-04-29,6342,634200,false
OaonV,2101-07-26,4638,269004,true
WxCuC,2053-08-09,9168,82512,true
lrdmQ,2048-11-16,8923,205229,false
XDBOn,2117-03-05,3649,357602,false
zKiCg,2048-03-07,3453,124308,true
GhWjC,2089-04-29,4005,236295,false
rLgcW,2043-05-08,6695,448565,false
Kmhev,2119-10-02,7687,722578,false
JMnTL,2052-08-26,2455,58920,false
tygbv,2110-03-08,8221,452155,false
KSaTN,2113-07-30,7755,775500,false
kYhLY,2071-01-18,6464,200384,true
IQpeV,2117-10-16,6926,131594,false
SSGhM,2097-05-02,7600,319200,true
qMQqC,2072-12-04,6719,241884,false
iaKlv,2081-09-11,8122,462954,false
uTDfX,2035-07-27,6401,96015,false
EywWq,2105-11-13,6439,160975,true
YsTui,2098-11-28,4895,332860,false
KNCJS,2029-07-04,4740,308100,true
WuKsx,2089-02-06,5091,427644,true
ANVEy,2105-06-07,9344,831616,true
UWaYX,2115-01-08,6806,347106,false
ssYLB,2121-11-10,6458,406854,false
setOB,2116-08-01,9350,841500,true
hsrSA,2102-10-10,2032,24384,false
kqluk,2111-01-22,5504,258688,false
JYZuR,2037-03-02,2464,108416,false
STRTS,2029-10-09,5554,177728,false
qTePA,2070-03-29,7710,717030,false
mSMBw,2051-05-02,8549,239372,true
dDwYL,2080-12-01,7104,568320,false
Xgsru,2075-06-18,4565,296725,false
ZetEh,2021-05-03,5664,526752,true
vlvxB,2114-06-25,4688,295344,false
PGFlN,2040-01-26,6744,418128,true
hwJkd,2025-04-15,3648,251712,true
jtVyk,2023-03-08,8546,367478,true
rbgKb,2035-01-24,3108,254856,false
DUdIG,2072-10-13,3134,303998,true
GYZVK,2084-03-22,7832,242792,false
QliAf,2062-05-23,6493,103888,false
NlLfn,2036-01-23,3088,154400,false
tmKjH,2108-09-19,4775,195775,true
kqimz,2092-08-10,6521,495596,false
slAfl,2055-02-08,4317,107925,false
Vahai,2058-03-12,5561,394831,false
tXPLn,2079-01-17,9239,341843,false
ePGqv,2112-07-07,4882,185516,false
zCCRP,2035-08-01,3381,263718,true
hMOUE,2102-10-16,2912,250432,true
ntrCa,2121-07-29,5075,400925,false
GmWQr,2107-10-04,9543,658467,true
egwMA,2106-10-18,3865,85030,false
HaEgD,2096-03-05,9364,599296,false
xdCJc,2115-06-13,2229,120366,false
okJyN,2040-01-31,7186,503020,false
ThPsv,2067-06-25,2682,26820,true
VWPwm,2076-08-07,4482,389934,false
UdIGN,2086-08-09,9686,87174,true
rHBoM,2070-06-16,6575,368200,false
AjNQi,2038-08-20,9553,257931,false
nHGfU,2077-07-11,4356,283140,false
vwXuA,2103-12-07,6159,129339,true
ZJRDH,2074-04-11,6474,375492,true
KNnBR,2120-12-01,9476,615940,false
JubAv,2038-12-24,4455,204930,false
MJXcE,2086-03-27,5749,195466,true
lzuFZ,2055-09-10,2902,37726,true
NbkzT,2083-07-04,8260,173460,true
dbLLF,2076-03-07,5349,208611,true
CGXWX,2078-10-07,5492,285584,true
Lnbox,2100-07-08,4768,319456,true
OOCWw,2067-08-23,6462,161550,false
oJjpd,2058-08-17,8250,585750,false
gEHsH,2047-02-24,4382,236628,true
wzYak,2064-01-14,8537,298795,false
zgXpN,2085-03-17,9369,56214,false
oyfDZ,2100-12-14,4516,352248,false
OKaQl,2088-07-08,5503,143078,false
rNDTc,2105-04-22,3147,179379,true
vZRdZ,2085-12-09,7923,443688,false
PEvtn,2089-09-09,7717,540190,true
sYwQV,2107-09-06,6874,82488,false
KBwCt,2075-03-10,9010,846940,true
mPuGW,2054-06-27,7637,137466,true
yTBDy,2045-01-10,5237,251376,true
CueVE,2040-12-17,3493,48902,false
qkxue,2108-10-07,8726,802792,true
LYhDl,2049-11-20,2094,167520,true
gndlW,2061-08-15,5681,232921,false
Lmlko,2087-11-11,4850,150350,false
JWBfD,2103-05-17,3808,308448,false
bIJKs,2028-08-06,2028,154128,false
wqsBh,2054-02-20,4011,72198,false
UcLrz,2096-04-29,4466,107184,true
QOSbc,2034-07-04,6422,494494,true
sMqHg,2063-12-13,8909,302906,true
ehiBf,2099-08-29,4441,297547,true
ddZJd,2097-08-24,5376,145152,true
CrzOh,2115-09-01,9152,768768,false
RDaEM,2114-11-10,4024,221320,true
djmvH,2073-01-13,8839,751315,true
ndGUZ,2035-08-26,4042,226352,false
vOfCn,2069-05-29,4420,66300,false
BTaZB,2121-10-13,4325,402225,false
Bxwxe,2083-06-26,2089,66848,false
aaCPZ,2107-06-27,2454,164418,true
BlIdp,2063-05-25,7090,531750,false
VBYtQ,2103-05-11,8350,233800,true
ZpOOw,2089-11-09,2240,58240,false
fRyHQ,2068-01-10,3135,81510,true
ttEre,2097-09-02,8487,594090,true
XfzNT,2083-07-04,8287,505507,true
KFoSd,2077-08-14,8152,269016,true
WTDQv,2076-03-22,5826,186432,false
MkNMD,2022-03-27,9194,542446,false
KBamU,2051-09-28,9759,839274,false
xViNc,2051-01-28,4542,45420,true
gKIyA,2117-05-08,4051,315978,false
OdkJD,2022-10-15,8732,384208,false
zxAJF,2120-08-11,6863,480410,true
Igdvq,2041-01-01,3158,303168,false
wiIhA,2024-06-28,7296,124032,true
FnFgI,2086-08-12,5980,251160,false
wJMYW,2033-03-26,4151,161889,false
mjplW,2081-10-11,8005,464290,true
eDTeH,2085-06-22,9998,89982,false
TIOBi,2116-04-15,2877,152481,true
xwKsc,2043-06-12,7351,73510,false
stMiO,2045-10-08,2022,190068,true
HawXD,2023-10-07,7327,366350,false
rfDaa,2076-10-21,2923,122766,false
OXAud,2054-10-19,5079,203160,true
lglks,2114-10-07,3026,78676,true
nTacC,2032-10-10,7553,687323,false
SeDoA,2021-09-19,4134,169494,true
TGccw,2108-05-13,7817,101621,true
XBWmR,2095-07-08,9992,839328,true
gykMD,2030-04-01,9240,452760,false
wEQqZ,2027-11-27,3094,40222,false
NyJnU,2089-07-25,4263,221676,true
DXhHc,2037-06-25,6723,551286,true
qDvAh,2121-12-10,8719,558016,false
nUTHk,2073-05-03,3312,162288,false
acGxm,2035-07-08,3906,207018,true
shnja,2061-10-12,5266,505536,false
KFUGw,2053-07-23,8434,261454,true
UDpYo,2104-06-02,3048,204216,false
LplpW,2031-01-16,6597,250686,true
aZUOR,2070-07-12,2332,11660,false
FWGHn,2115-12-03,9740,311680,false
LtwFp,2082-09-18,6606,495450,true
bRHtm,2090-12-20,5899,129778,false
MkghG,2121-03-14,8748,323676,true
Ikadb,2073-05-07,7355,558980,false
