StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
tsOJz,2116-07-10,3500,252000,true
GzhSX,2049-12-20,8022,248682,true
kvryu,2107-12-01,2070,163530,true
ZwgUp,2049-03-15,8060,233740,false
NUeWz,2037-08-28,6200,155000,false
vKyIK,2057-10-05,4364,30548,false
AmWQO,2041-05-08,6183,173124,true
fQyRo,2097-03-28,5264,489552,true
hjPHN,2051-04-23,2718,125028,false
POqse,2106-06-05,3614,336102,false
EVDgI,2116-11-06,8618,767002,false
IPcfn,2070-07-24,6000,48000,false
MeMGs,2028-04-11,8909,436541,true
jAhpX,2043-02-17,4918,324588,false
uGDff,2056-06-18,6379,414635,false
gOkdO,2056-04-14,2604,153636,true
jWIre,2116-04-22,3315,159120,true
fHpMI,2102-04-27,6649,119682,true
lVMVN,2100-02-17,3246,152562,false
GSRWU,2062-12-14,5307,382104,false
idOvW,2088-05-05,3165,170910,true
VWqbE,2081-08-24,8924,312340,true
vLmKV,2107-11-01,2046,71610,true
aWOOV,2121-01-05,4797,407745,false
kRrkx,2093-07-28,2105,48415,false
QkEUL,2084-09-09,2052,32832,true
uFpQH,2073-07-20,4680,234000,false
rkxtL,2044-04-06,3631,250539,true
talwS,2057-11-11,2518,55396,true
UaAMB,2071-11-11,4412,379432,false
UAeYW,2104-07-26,2029,89276,false
eyUEn,2040-10-02,6472,71192,false
PjnUz,2105-01-18,7289,233248,true
ODyWO,2074-11-17,4298,356734,false
VHTBY,2052-06-11,9092,418232,true
qfuvj,2104-11-14,6699,388542,true
GWKlk,2093-12-30,7065,494550,true
uDRja,2056-11-13,7425,512325,false
xncbm,2043-04-10,5494,362604,false
QqxEp,2039-04-22,5574,462642,true
QrNwO,2063-06-08,8696,626112,false
Sahxf,2095-12-12,7699,269465,false
oRlni,2087-04-12,7729,316889,true
pWhCP,2090-03-06,5104,301136,false
nYIib,2089-05-02,2481,29772,false
lDLzU,2102-08-14,6420,89880,false
HSBSH,2102-01-13,9658,424952,false
Amagt,2060-05-30,8608,525088,false
eZQuo,2081-04-13,7012,610044,true
oUUDg,2051-04-06,8366,769672,true
CbeQK,2111-11-21,7367,331515,false
ZBfsh,2024-01-08,6337,354872,false
FvhES,2073-05-28,4953,366522,false
ldomP,2097-02-05,2219,139797,true
QnFtv,2028-04-13,4514,397232,false
eQHIq,2046-08-03,5017,331122,true
rhihY,2069-09-30,6851,328848,false
ScgLy,2119-07-28,9412,762372,true
TxJsD,2076-02-04,4185,225990,true
XgfTL,2057-09-21,8253,321867,true
esjbO,2033-05-24,6635,537435,true
puVXA,2048-01-24,4108,119132,false
rEUwW,2039-04-24,9032,243864,true
hAomW,2081-12-06,9243,406692,false
HtCeM,2121-03-23,6735,208785,true
AhDNA,2056-05-08,6260,112680,false
KErsa,2074-02-26,8483,670157,true
bfbuU,2121-03-06,5663,130249,false
crBFQ,2033-01-18,2551,196427,true
mFdLN,2062-06-26,2477,215499,false
CVBrm,2091-08-26,2662,157058,true
qDQip,2027-08-13,5077,152310,false
KUxkt,2045-04-05,8652,735420,true
qQbgw,2031-01-23,5732,424168,true
FBeJv,2062-06-28,7755,100815,false
kJFpB,2091-11-17,7159,515448,true
glKdt,2079-06-04,6851,685100,true
Tocnf,2043-07-10,9531,295461,true
JcCWb,2044-01-27,2635,86955,false
pXHPq,2054-01-16,4270,162260,false
iRpPc,2083-07-06,6532,156768,true
CjhMA,2115-05-25,7809,429495,true
mwCWY,2080-08-02,6716,449972,false
BfPZz,2099-11-11,9638,433710,false
XAFCB,2039-09-12,3329,296281,true
hQLuY,2067-02-06,4625,453250,false
bKFVJ,2092-11-06,5700,427500,false
cCncM,2119-09-19,8468,626632,true
NmlOX,2060-08-31,9363,795855,true
Gmust,2054-03-17,2526,212184,false
Rxykd,2112-02-27,7710,639930,true
oWaGI,2034-04-13,4498,242892,false
RsycJ,2024-05-12,5756,420188,true
RLIcT,2119-03-21,4351,152285,true
xzYdQ,2055-02-09,5284,258916,false
vDyzg,2032-10-14,7763,341572,true
UlCVn,2114-08-05,5683,107977,true
FzEpU,2102-06-16,9887,751412,true
