StoreCode,Date,TotalSales,TotalAmount,Is Vacation Day
kLAcH,2108-02-25,3189,121182,true
XGhbO,2033-09-26,7721,115815,true
XQaHJ,2117-03-21,6354,476550,true
xHllz,2062-11-04,10000,710000,false
XEmIJ,2025-07-20,5231,345246,true
orpMr,2022-09-27,5404,324240,true
jyrvB,2025-07-25,5150,123600,false
DiWdM,2044-08-31,2361,219573,true
pJbdt,2116-11-01,4020,241200,false
aQesR,2057-02-11,2105,208395,false
yaVEF,2028-03-08,3969,281799,true
NRoJG,2113-07-13,5217,213897,true
aTfZz,2034-03-08,6469,155256,true
oWLEE,2027-01-13,3216,212256,false
yutoT,2056-10-02,4042,161680,false
dGvdC,2028-06-17,9951,218922,true
AYYHE,2116-10-15,8274,124110,true
Pqphe,2115-03-15,8834,415198,true
VZEKW,2033-03-19,7569,158949,true
WRVNv,2102-09-09,4835,367460,true
iHfaD,2067-12-02,9317,931700,true
alDAd,2101-11-08,2247,49434,false
flZxQ,2037-07-02,5671,516061,true
NoAhW,2121-07-16,5549,61039,false
MRUez,2116-12-10,7910,134470,false
jqVSB,2082-09-13,3932,82572,false
aEZLq,2054-12-17,6854,75394,false
jFHnp,2029-01-04,2008,28112,true
niuao,2022-10-12,8072,137224,false
uxoTY,2070-08-21,4039,234262,false
QfxWo,2051-08-04,6380,172260,false
AgdDr,2047-08-08,3540,28320,true
zDqyD,2114-01-19,8732,689828,false
DQdfx,2032-05-04,6326,626274,true
GrqPo,2039-01-05,6572,39432,true
eSTsG,2058-08-29,7002,245070,false
oqAWv,2045-02-04,9564,841632,true
TbVIw,2039-11-17,2964,240084,false
FCIWC,2042-10-06,8904,106848,true
wAqsT,2066-03-13,5900,507400,true
UmHsj,2025-07-31,7243,680842,false
aOMVv,2117-04-12,4371,402132,false
DgKsH,2075-07-28,6611,449548,true
XAQvR,2097-03-30,7192,589744,false
VMttA,2081-03-27,3936,228288,true
RMmcx,2074-05-20,5805,40635,false
fGpJo,2094-07-07,7930,277550,false
gQLfK,2108-06-04,8234,823400,false
NwOBS,2040-03-03,2585,191290,false
vpVkm,2116-12-16,8245,824500,true
BvaxX,2097-05-04,6475,71225,false
WkQEr,2060-01-07,6767,392486,true
NEJMD,2030-05-02,5449,375981,false
iWElQ,2068-01-22,6936,152592,false
uBeRU,2115-02-17,4819,53009,true
IGvms,2091-10-19,4704,112896,false
QtidG,2045-09-28,6418,83434,true
QAbBt,2062-01-18,8155,791035,false
GlqCH,2024-02-12,7937,698456,false
clIpF,2043-12-21,8886,586476,false
hgYlA,2080-04-08,7782,233460,false
GXuAF,2102-03-24,9610,720750,true
aTYKa,2044-04-13,8117,81170,true
jDKYr,2101-01-04,3951,114579,false
HpDxV,2065-12-04,7200,360000,true
yKFQJ,2067-10-16,3256,201872,true
mYRzy,2090-12-16,7611,654546,true
YbrVf,2023-10-08,3947,110516,false
OnxjQ,2029-02-12,7956,779688,false
TSqRr,2068-12-18,7053,648876,true
NDtjR,2116-11-23,7747,131699,false
kPsmd,2070-01-02,6744,323712,true
GeMWZ,2033-05-29,9316,335376,false
Dgwbu,2058-11-15,8226,222102,false
RJOUN,2064-10-18,5142,174828,true
KOOGk,2058-05-26,7330,337180,false
etwzA,2106-02-11,4307,64605,true
gkJwL,2082-10-05,9819,834615,false
TkCEQ,2024-03-18,4638,380316,false
mfVba,2111-06-24,5837,192621,true
iVjoX,2117-12-05,8189,262048,true
xNjcJ,2058-12-13,3698,340216,false
GQUGT,2118-11-18,8057,676788,true
YaHYp,2106-05-28,5507,38549,true
XPLIp,2053-06-09,3753,60048,true
KhXqf,2031-10-29,4753,394499,true
nBQnc,2112-07-17,5097,463827,false
TbFwW,2048-01-28,9611,115332,false
kNhde,2039-01-20,8245,791520,true
dhFID,2107-12-06,6985,230505,true
EZiaQ,2050-11-27,4193,398335,true
sLFmF,2096-12-03,3764,225840,false
toqFu,2120-05-11,4303,232362,true
PdveO,2116-01-02,7892,481412,false
BzZTV,2023-04-26,9945,656370,false
khBfg,2107-06-03,6704,576544,false
Brbyo,2064-04-08,9617,884764,false
hxCJQ,2089-02-18,5525,397800,true
PXenY,2049-03-20,4772,324496,false
cwtDX,2072-02-06,2523,12615,true
eUPbR,2079-09-10,3562,270712,true
WmlnQ,2078-11-11,3682,99414,false
kOlaN,2096-02-26,8590,644250,false
yrQct,2075-05-16,4192,343744,false
WJdpA,2036-12-31,9870,572460,false
fXWVR,2069-10-22,2633,192209,false
NMxTB,2023-07-31,4727,387614,true
pUtri,2121-11-20,9403,883882,true
wnZIE,2061-08-01,3489,160494,true
TgYFa,2090-11-05,2441,21969,true
aNprq,2035-09-19,3522,176100,false
FLcJk,2121-11-23,4724,198408,true
DsvRZ,2120-05-18,7013,161299,false
MUHIO,2106-03-24,7245,398475,true
PnQku,2072-08-21,2430,128790,false
auapI,2089-09-25,3523,102167,false
OgydP,2029-11-06,5629,422175,false
zFXxM,2086-06-23,2789,231487,true
zQzLp,2055-11-23,9152,723008,false
FIAJK,2114-12-24,9062,661526,false
fhhcY,2069-10-15,6188,538356,true
zghcv,2058-10-16,2438,134090,true
KIJls,2091-11-01,2096,167680,false
wdpvP,2035-11-28,3363,184965,true
fFXEw,2094-10-25,9453,406479,true
qYLhG,2040-10-14,5566,261602,true
VuEHV,2111-11-28,2796,137004,false
GlgRx,2080-01-20,3458,179816,false
nvdSW,2102-03-28,9527,809795,true
kOoCc,2087-03-06,6532,365792,false
UbVdI,2118-09-25,2121,10605,true
