StoreCode,Date,TotalSales,TotalAmount
okJyN,2110-03-21,6151,153775
ThPsv,2074-09-10,4179,100296
VWPwm,2101-11-24,3662,47606
UdIGN,2035-06-20,6010,462770
rHBoM,2037-03-24,7305,693975
AjNQi,2046-07-08,8080,735280
nHGfU,2050-08-30,6312,366096
vwXuA,2023-12-08,5645,451600
ZJRDH,2058-12-09,3086,132698
KNnBR,2085-12-05,6640,604240
JubAv,2054-08-13,3550,181050
MJXcE,2075-04-28,7903,158060
lzuFZ,2110-10-11,4619,355663
NbkzT,2107-09-14,4743,350982
dbLLF,2092-08-13,5509,435211
CGXWX,2028-10-26,5188,342408
Lnbox,2040-08-12,8025,176550
OOCWw,2084-04-19,3635,316245
oJjpd,2025-01-20,6150,196800
gEHsH,2063-11-27,7324,629864
wzYak,2099-03-15,6855,253635
zgXpN,2121-06-29,5853,579447
oyfDZ,2083-11-23,9392,873456
OKaQl,2035-08-22,5824,337792
rNDTc,2081-07-21,7767,497088
vZRdZ,2121-08-28,9930,397200
PEvtn,2105-03-12,5766,322896
sYwQV,2080-02-17,6800,340000
KBwCt,2080-09-06,3147,242319
mPuGW,2097-04-26,5022,105462
yTBDy,2034-07-07,8137,748604
CueVE,2042-10-31,7029,168696
qkxue,2091-04-04,4742,279778
LYhDl,2090-12-23,9591,690552
gndlW,2033-02-28,6346,120574
Lmlko,2036-09-24,7137,149877
JWBfD,2117-10-04,8696,486976
bIJKs,2090-04-22,8373,385158
wqsBh,2108-05-02,8913,392172
UcLrz,2032-09-28,7968,733056
QOSbc,2121-10-16,8991,737262
sMqHg,2027-02-08,6615,436590
ehiBf,2106-03-29,2177,78372
ddZJd,2079-03-22,2201,70432
CrzOh,2043-03-24,6323,240274
RDaEM,2073-03-16,9006,270180
djmvH,2087-01-26,4226,207074
ndGUZ,2045-12-30,7430,683560
vOfCn,2076-12-05,8906,739198
BTaZB,2025-03-01,4816,91504
Bxwxe,2101-09-08,4045,230565
aaCPZ,2025-08-01,8608,740288
BlIdp,2031-05-30,9050,506800
VBYtQ,2102-03-02,4768,295616
ZpOOw,2072-08-12,6403,230508
fRyHQ,2044-06-06,3431,68620
ttEre,2036-07-30,6719,571115
XfzNT,2054-12-01,4676,261856
KFoSd,2027-10-29,9387,46935
WTDQv,2068-01-23,2239,174642
MkNMD,2072-01-10,9182,183640
KBamU,2098-04-28,4231,342711
xViNc,2108-06-05,9084,517788
gKIyA,2099-09-12,5627,123794
OdkJD,2096-05-21,6220,136840
zxAJF,2034-11-24,5150,417150
Igdvq,2053-04-27,9380,225120
wiIhA,2084-10-29,8063,653103
FnFgI,2121-11-23,5657,384676
wJMYW,2086-11-20,4798,297476
mjplW,2034-04-27,6200,167400
eDTeH,2120-10-03,4661,60593
TIOBi,2083-05-18,9694,504088
xwKsc,2104-12-29,6183,488457
stMiO,2101-02-04,8762,157716
HawXD,2106-05-05,8314,340874
rfDaa,2044-06-10,2740,167140
OXAud,2116-03-19,7829,305331
lglks,2069-11-02,7967,199175
nTacC,2089-10-06,6267,282015
SeDoA,2045-04-11,7959,437745
TGccw,2054-12-08,7229,448198
XBWmR,2100-05-26,9074,671476
gykMD,2052-08-02,3697,144183
wEQqZ,2073-12-03,9606,374634
NyJnU,2024-03-15,5609,258014
DXhHc,2089-01-27,2082,133248
qDvAh,2118-04-15,2280,52440
nUTHk,2081-04-27,6305,491790
acGxm,2054-11-20,6360,108120
shnja,2084-03-08,4976,64688
KFUGw,2041-05-20,5781,410451
UDpYo,2092-02-25,8591,94501
LplpW,2094-03-02,5149,82384
aZUOR,2076-06-17,4883,488300
FWGHn,2105-03-11,2123,125257
LtwFp,2021-02-08,7644,152880
bRHtm,2099-01-06,8032,40160
MkghG,2026-09-24,4779,468342
Ikadb,2064-12-24,6303,617694
HZIVT,2118-11-17,3794,189700
WDVmp,2039-10-31,6662,632890
ozDIX,2021-12-27,2009,10045
qIDXq,2067-05-06,6869,41214
CTQfN,2040-09-20,3522,73962
QgAhx,2052-02-02,9547,477350
slAcJ,2108-02-12,2476,42092
vmrLU,2025-04-01,4812,144360
yTHEh,2081-03-16,9906,406146
lGoVa,2103-08-25,7752,713184
IRJuG,2104-01-05,5479,164370
psBFq,2090-11-17,4270,98210
VbuxQ,2038-02-15,2049,153675
uKndT,2072-09-20,9472,66304
fxCIy,2054-05-19,7958,652556
zGyGG,2059-06-21,6657,552531
uAkbh,2105-01-11,9739,496689
EwABN,2060-06-18,9790,822360
bxvtl,2058-10-18,5140,205600
mqxxj,2068-12-29,2234,145210
tsOJz,2112-06-24,9485,540645
GzhSX,2046-11-16,8529,136464
kvryu,2076-11-21,5052,328380
ZwgUp,2117-02-01,5144,144032
NUeWz,2064-07-16,9804,49020
vKyIK,2106-03-29,8929,598243
AmWQO,2101-06-13,9708,67956
fQyRo,2066-11-28,9576,430920
hjPHN,2118-07-04,8786,123004
POqse,2027-06-04,8679,312444
EVDgI,2116-05-12,2603,208240
IPcfn,2041-08-05,2360,11800
MeMGs,2117-11-20,6428,89992
jAhpX,2094-05-26,4047,372324
uGDff,2038-07-10,6411,455181
gOkdO,2108-07-05,4076,252712
jWIre,2021-12-24,6371,477825
fHpMI,2028-08-22,5709,411048
lVMVN,2094-08-10,9953,457838
GSRWU,2034-02-13,3432,65208
idOvW,2094-12-01,6487,259480
VWqbE,2103-07-09,4772,400848
vLmKV,2092-04-13,7677,591129
aWOOV,2044-07-27,2104,31560
kRrkx,2119-11-25,4991,454181
QkEUL,2048-01-07,4853,383387
uFpQH,2092-03-22,6039,102663
rkxtL,2115-11-27,7254,449748
talwS,2047-07-27,6165,246600
UaAMB,2054-10-18,2305,50710
UAeYW,2037-01-05,2155,68960
eyUEn,2024-02-16,8188,253828
PjnUz,2058-05-25,6087,493047
ODyWO,2063-10-20,3706,326128
VHTBY,2117-10-05,4599,22995
qfuvj,2050-05-09,6066,169848
GWKlk,2046-11-12,7692,507672
uDRja,2056-01-08,3656,18280
xncbm,2102-05-06,7707,454713
QqxEp,2118-07-24,9538,66766
QrNwO,2039-08-03,8857,752845
Sahxf,2114-02-22,4697,65758
oRlni,2114-06-09,4447,186774
pWhCP,2031-01-03,9531,200151
nYIib,2052-09-06,7866,110124
lDLzU,2117-12-19,8472,787896
HSBSH,2064-03-02,5041,473854
Amagt,2086-08-19,2780,247420
eZQuo,2074-03-10,5298,254304
oUUDg,2074-10-29,2553,227217
CbeQK,2057-04-06,4529,158515
ZBfsh,2054-04-11,6177,395328
FvhES,2090-10-17,8126,715088
ldomP,2121-05-07,7840,729120
QnFtv,2040-04-13,9979,99790
eQHIq,2080-08-02,9888,909696
rhihY,2052-02-10,4396,369264
ScgLy,2058-09-22,5969,280543
TxJsD,2119-06-22,4331,320494
XgfTL,2082-01-07,6788,617708
esjbO,2086-08-21,3254,276590
puVXA,2101-02-10,6657,226338
rEUwW,2032-04-11,3588,157872
hAomW,2094-03-10,8714,487984
HtCeM,2060-08-03,3593,61081
AhDNA,2064-03-17,7089,673455
KErsa,2021-10-20,6511,52088
bfbuU,2076-07-10,4059,316602
crBFQ,2120-11-16,5559,383571
mFdLN,2100-01-02,3850,331100
CVBrm,2074-05-18,7240,651600
qDQip,2118-07-10,6946,319516
KUxkt,2113-09-03,6205,186150
qQbgw,2083-07-26,4348,286968
FBeJv,2066-06-14,5946,463788
kJFpB,2033-03-08,7752,604656
glKdt,2107-09-27,9291,483132
Tocnf,2093-06-16,5373,338499
JcCWb,2079-06-05,8673,780570
pXHPq,2118-01-26,4167,358362
iRpPc,2073-03-27,2238,194706
CjhMA,2106-02-01,7586,91032
mwCWY,2042-05-16,7646,198796
BfPZz,2114-03-27,3580,318620
XAFCB,2106-09-26,6495,90930
hQLuY,2044-04-13,7078,254808
bKFVJ,2040-12-22,2759,126914
cCncM,2056-02-11,6290,383690
NmlOX,2060-05-16,9376,618816
Gmust,2086-09-19,9411,715236
Rxykd,2090-01-15,5066,314092
oWaGI,2113-01-19,7527,135486
RsycJ,2060-06-19,5505,302775
RLIcT,2071-01-17,6930,568260
xzYdQ,2070-03-07,9988,499400
vDyzg,2050-04-10,5766,172980
UlCVn,2065-01-04,7278,291120
FzEpU,2054-04-02,2927,26343
yBIot,2102-10-24,8849,97339
iyptw,2023-06-28,7125,448875
xutyH,2064-04-19,8854,557802
yJMiJ,2035-09-30,7228,419224
NDifr,2114-11-20,5805,435375
RLjJn,2111-11-25,3841,92184
ufPuW,2100-10-01,5640,180480
SLgwX,2116-06-16,3670,25690
NAEvs,2053-05-25,3127,150096
eABiL,2110-04-04,7627,282199
fQuLm,2084-07-08,8502,136032
ldnYd,2045-09-13,6320,436080
ltiCp,2110-08-19,8967,699426
HnpRj,2055-06-14,8748,831060
OTaJQ,2030-04-23,9792,430848
ISWmm,2069-11-07,7137,171288
DahmV,2106-01-21,2815,39410
nNdzJ,2074-02-12,3890,97250
blkyR,2069-04-11,9326,624842
WOYco,2099-01-18,8439,717315
pzkIS,2023-02-06,8832,680064
qeYBQ,2036-11-07,5969,47752
voZEK,2023-02-02,3212,51392
rpnBO,2079-03-30,5984,586432
ZVuTI,2069-11-21,4272,21360
BtlKJ,2038-01-02,8012,472708
RbQBt,2112-09-12,5036,367628
mZDVM,2030-04-18,4776,329544
SaNNh,2024-02-02,7962,732504
Ksnvj,2108-10-29,9034,153578
NlpJP,2046-02-04,5624,118104
qDBKc,2056-06-03,9866,276248
ELRhJ,2050-10-04,7930,198250
mZpJm,2079-01-15,6677,327173
Myijg,2033-11-21,8578,274496
HESXi,2109-12-16,8293,207325
zmKuF,2074-01-04,8288,480704
Zhwqx,2073-12-25,2584,188632
mrMBd,2059-02-08,3268,88236
gRnNs,2058-01-06,2068,169576
AEaYi,2087-07-29,8699,234873
auACm,2118-05-16,6230,311500
uxZcL,2058-05-18,3915,285795
LLHRI,2054-03-12,6445,225575
Gfuml,2041-03-17,3444,247968
xpWFE,2104-12-07,8204,533260
hzYwn,2051-03-24,8834,256186
asrDF,2115-01-02,8526,784392
WqXEo,2029-02-11,6635,39810
UzyND,2035-12-27,4071,65136
VfSTP,2083-09-11,5790,202650
KICbe,2093-09-01,9335,840150
arcPj,2031-10-27,2327,127985
xuXJD,2069-05-24,9885,355860
LncVn,2089-08-23,5062,55682
DpLms,2042-12-13,5161,495456
ukbYT,2063-02-06,7224,491232
LUaMu,2101-06-30,7725,54075
HlQhV,2065-03-01,6528,607104
xqytA,2042-10-26,6518,384562
yRrjt,2058-02-09,2406,69774
qnaRz,2039-01-04,2415,21735
bLEdL,2025-08-06,9167,210841
nBWsX,2066-05-08,3941,228578
YEDdv,2117-08-01,8533,264523
Huqaw,2092-07-27,4552,27312
VEMDU,2056-12-17,4395,197775
ScRaF,2063-07-09,7117,676115
IkEWb,2111-07-01,3286,124868
yUAkF,2103-02-20,2505,147795
vmMwF,2116-08-06,8222,156218
CxgDi,2042-01-16,9310,93100
EiFLE,2053-02-11,3361,312573
vebAI,2056-06-19,3227,190393
hjmEW,2102-04-26,2999,269910
XwqDz,2074-11-08,3402,91854
oTQNK,2060-07-06,4099,381207
yfCFT,2078-01-15,9609,557322
sqipH,2042-02-27,4003,328246
vKHum,2106-11-12,7989,655098
GJYlu,2120-11-14,5931,124551
XsQNB,2029-09-08,9924,803844
XyNYW,2050-07-31,5189,171237
KfNPE,2049-04-11,5788,167852
zWLjt,2035-05-01,3715,118880
LBZOO,2114-07-16,9462,520410
jBUyx,2106-08-18,6193,371580
BkcIO,2029-05-31,9496,645728
npohD,2101-08-06,9290,538820
oHlSy,2086-08-03,9733,155728
ORjNJ,2037-07-17,8058,120870
nMeRc,2085-09-23,6415,224525
KPZsa,2108-09-16,8806,818958
HjFMY,2056-06-27,2630,168320
ZfISm,2116-08-12,9808,863104
xdQSe,2062-04-04,4061,24366
WZjPt,2022-02-23,9822,775938
uJKMn,2059-09-26,9957,467979
ycZWf,2102-10-27,3513,172137
jzDgS,2079-06-06,8405,327795
ThCjH,2094-09-14,6862,596994
LHQkS,2063-04-19,2000,58000
sEorK,2094-08-23,2174,213052
mlKgn,2044-09-05,7340,645920
wywHO,2104-02-26,8330,299880
YBGmN,2109-03-29,3161,75864
jBTfn,2077-11-03,6701,120618
NxHAX,2090-05-23,2343,208527
BtXrB,2038-06-05,4815,28890
SIGvq,2053-10-14,4850,150350
YUuxM,2100-02-13,7620,114300
lIxwY,2108-02-01,7664,720416
WRTEU,2061-10-19,4048,384560
aYZse,2092-05-12,5144,154320
uGymu,2121-12-20,9768,488400
bdVkY,2031-03-21,3031,87899
xxxdQ,2050-12-12,5283,385659
TEoKF,2025-05-05,4044,380136
TqvHY,2073-06-01,7137,471042
YrCmK,2120-06-07,5638,332642
AyODv,2079-11-30,5849,292450
SLGvg,2044-05-16,3090,142140
xYRIJ,2088-10-18,2890,98260
mQdRc,2108-10-15,8968,44840
PTuRg,2052-10-16,5183,487202
sBYvZ,2087-08-16,5228,365960
obwvs,2051-05-18,6976,606912
FvafL,2099-05-26,5005,85085
Lophj,2118-12-30,4342,399464
kIGjc,2097-07-13,7799,304161
hzhfC,2095-07-07,9847,512044
VcTBw,2079-05-19,8100,234900
SJmMg,2086-03-31,5032,256632
eFaAS,2073-05-28,9503,655707
GAZpr,2091-06-14,5593,514556
RzlSK,2095-06-26,7526,534346
WxaxZ,2068-06-26,7073,558767
VwQUS,2023-04-25,6155,412385
wGTkG,2103-03-31,5400,540000
xhwRj,2053-07-04,7914,443184
SJElI,2047-11-24,4862,384098
KUzqX,2100-09-05,8503,578204
aPylH,2117-06-23,8936,214464
meNtD,2101-10-31,2182,41458
pIQTk,2021-11-08,5933,587367
ExDQm,2051-06-25,5840,204400
bXRMv,2113-06-15,9744,779520
yBnce,2121-05-02,7864,212328
scuvi,2071-03-30,9098,245646
pgqEq,2088-01-21,3461,69220
ytYLT,2045-09-30,8126,593198
LDiYP,2106-04-07,2552,186296
WKkXA,2109-06-21,2018,106954
ABviR,2083-07-18,4129,20645
hJegb,2047-07-06,7449,365001
HKTiq,2118-05-23,9777,351972
OHnow,2066-05-14,2057,55539
FlrAk,2056-12-07,7149,478983
RFgpa,2116-02-13,8916,499296
saQBN,2111-11-14,7268,94484
Jkjcg,2056-09-02,6493,64930
nPQjP,2043-02-25,5292,322812
NdXau,2094-05-19,7793,303927
eNHsM,2104-10-23,5137,472604
ntjoe,2075-09-16,9814,402374
uJhPn,2031-07-27,9267,685758
AXiBL,2021-03-21,7247,275386
CqZhn,2065-09-27,6592,507584
CYcPN,2046-11-26,7797,428835
DpXrY,2072-08-29,2033,56924
JZmGM,2034-03-07,4230,266490
NAqcA,2052-10-29,6141,442152
lTPEo,2043-08-07,3136,244608
sTXYe,2035-10-11,5955,369210
gsXOr,2080-06-06,5613,454653
YRwUE,2029-04-23,8122,641638
RHAuO,2074-11-03,8642,129630
INYMj,2082-03-01,8947,331039
qNgVE,2033-07-28,4579,68685
bPUCM,2050-10-05,8144,122160
NyHOc,2026-07-23,7218,418644
pwnlB,2042-12-30,8500,782000
jcBdh,2115-03-17,2719,114198
byOjC,2092-08-30,5004,500400
AaqJK,2086-10-12,9661,637626
tzcPa,2085-04-18,8930,491150
Hkqpu,2103-09-13,3377,111441
Iizvd,2075-03-27,9881,266787
RDqil,2052-10-17,6522,150006
uHVWC,2080-12-23,6333,550971
RJhmE,2111-11-23,6267,31335
XvqqP,2114-09-26,3187,172098
xWhJf,2082-09-28,5708,102744
yGLBj,2062-03-17,9044,886312
dNYXo,2115-05-24,3661,311185
synBh,2109-03-05,6760,121680
hgXTv,2043-10-23,5324,452540
QscgK,2108-09-02,5010,120240
uDZNS,2086-01-07,6981,530556
gYdPd,2045-11-13,6459,529638
swMcN,2075-01-21,7564,484096
huOCi,2043-06-29,4597,59761
XKpkB,2023-08-07,4330,363720
IQIoQ,2062-09-05,8168,424736
Pqibt,2057-07-25,9889,534006
QLYru,2058-06-18,6819,136380
prNjp,2050-09-24,7961,318440
ywDgw,2026-02-12,5141,257050
EOuGi,2053-04-18,8924,187404
qGCvQ,2114-11-28,7329,461727
IwMFG,2025-04-06,3024,66528
RNCWl,2084-10-17,9373,215579
iufYB,2047-05-02,3252,269916
anlBU,2116-09-27,8216,649064
SPPBt,2050-10-27,9332,774556
uDaMI,2054-03-03,7698,100074
abUtW,2084-09-04,9206,276180
bceYY,2050-03-26,9588,172584
yIpfP,2036-11-04,9351,738729
iapZh,2074-05-17,9078,789786
xqxiX,2112-10-28,8517,127755
GpVwe,2118-02-01,6761,507075
TfCjo,2021-02-10,8366,560522
uSIuL,2117-03-26,7093,688021
DKhMG,2023-07-29,7035,218085
UMzIr,2090-10-27,3378,30402
JEcPe,2052-09-18,7773,108822
dHOWb,2121-10-20,2094,39786
MTtET,2090-10-23,5936,433328
cDvSm,2058-09-30,8871,283872
YqlzQ,2065-02-18,9553,181507
TIIHZ,2067-06-09,3236,48540
tQEig,2120-09-16,8360,652080
zEpHg,2023-02-08,5367,311286
EJFNk,2061-03-04,5848,228072
AvbxV,2047-06-12,5975,179250
HpTWl,2089-04-15,2240,47040
QCjmN,2065-06-04,9245,795070
tzeZO,2105-12-06,9639,462672
Kwcjp,2064-02-28,7366,611378
pcROx,2083-12-14,9629,924384
gAMtd,2030-10-24,6488,188152
VjKsx,2061-07-15,7081,417779
svunt,2039-10-05,7846,525682
YuwRT,2058-05-16,8203,139451
hPeiL,2029-07-11,9853,857211
uadTG,2071-04-07,5902,182962
CcTQy,2065-07-02,7457,417592
