StoreCode,Date,TotalSales,TotalAmount
NdXau,2078-09-07,9412,668252
eNHsM,2088-01-16,3882,252330
ntjoe,2044-11-01,6758,94612
uJhPn,2056-09-13,9591,345276
AXiBL,2050-11-24,5835,437625
CqZhn,2106-05-12,8284,671004
CYcPN,2074-11-30,6733,437645
DpXrY,2022-03-26,3947,157880
JZmGM,2029-04-16,8070,532620
NAqcA,2083-10-25,6423,526686
lTPEo,2063-01-26,5676,147576
sTXYe,2114-01-26,4004,124124
gsXOr,2041-01-09,2200,213400
YRwUE,2118-03-04,7673,138114
RHAuO,2066-06-15,6641,159384
INYMj,2105-09-08,8111,81110
qNgVE,2050-02-18,9794,146910
bPUCM,2051-12-11,4541,340575
NyHOc,2044-07-25,5174,248352
pwnlB,2082-08-05,9094,554734
jcBdh,2115-06-24,3338,270378
byOjC,2024-03-01,3852,169488
AaqJK,2088-12-31,8436,573648
tzcPa,2062-07-31,9219,820491
Hkqpu,2060-02-20,2914,288486
Iizvd,2100-09-05,6798,591426
RDqil,2041-03-07,7557,294723
uHVWC,2063-04-02,7056,543312
RJhmE,2050-12-27,8555,496190
XvqqP,2076-06-26,4155,324090
xWhJf,2074-06-19,3217,180152
yGLBj,2074-11-27,2312,43928
dNYXo,2084-05-06,2373,78309
synBh,2053-03-15,5020,251000
hgXTv,2039-03-28,2939,229242
QscgK,2103-12-30,7377,250818
uDZNS,2072-04-09,3566,199696
gYdPd,2103-07-18,4042,169764
swMcN,2058-07-02,9466,265048
huOCi,2095-01-04,2083,22913
XKpkB,2121-04-23,6419,372302
IQIoQ,2099-08-20,3730,328240
Pqibt,2051-12-09,8095,461415
QLYru,2067-10-13,9813,245325
prNjp,2024-06-19,9603,960300
ywDgw,2043-01-23,5869,469520
EOuGi,2036-06-10,9556,487356
qGCvQ,2107-02-08,7107,85284
IwMFG,2034-02-22,3442,306338
RNCWl,2060-12-14,4849,29094
iufYB,2058-07-18,7306,591786
anlBU,2056-01-01,8354,225558
SPPBt,2040-11-29,6453,245214
uDaMI,2077-05-20,2304,18432
abUtW,2106-05-29,9053,416438
bceYY,2050-12-12,9293,659803
yIpfP,2032-10-03,6607,277494
iapZh,2028-11-29,7974,518310
xqxiX,2045-12-27,3617,112127
GpVwe,2059-12-05,4527,212769
TfCjo,2092-01-15,6299,390538
uSIuL,2082-07-12,3843,318969
DKhMG,2024-05-22,4219,189855
UMzIr,2108-05-03,2857,71425
