StoreCode,Date,TotalSales,TotalAmount
ELRhJ,2043-03-06,7555,203985
mZpJm,2023-09-17,2081,93645
Myijg,2033-09-27,9914,594840
HESXi,2105-12-02,7290,123930
zmKuF,2039-07-01,6448,277264
Zhwqx,2025-05-02,7542,331848
mrMBd,2090-05-01,2517,201360
gRnNs,2100-10-21,2224,157904
AEaYi,2056-08-11,2809,103933
auACm,2103-10-08,6132,312732
uxZcL,2097-07-11,5506,49554
LLHRI,2091-05-09,5811,348660
Gfuml,2045-03-08,6233,349048
xpWFE,2029-04-15,5847,321585
hzYwn,2034-01-22,6863,425506
asrDF,2071-05-12,8291,439423
WqXEo,2036-07-26,4093,392928
UzyND,2058-12-16,9465,681480
VfSTP,2116-12-21,9079,662767
KICbe,2078-03-25,6352,501808
arcPj,2035-07-29,3486,48804
xuXJD,2064-08-08,7642,695422
LncVn,2085-01-27,9506,389746
DpLms,2073-06-10,2242,150214
ukbYT,2088-02-11,9602,787364
LUaMu,2086-02-20,8244,181368
HlQhV,2047-06-24,6647,372232
xqytA,2059-08-14,3315,142545
yRrjt,2068-11-07,5906,53154
qnaRz,2039-07-14,2222,46662
bLEdL,2058-11-10,8957,340366
nBWsX,2041-03-29,8665,797180
YEDdv,2088-03-27,8166,538956
Huqaw,2033-09-03,6443,592756
VEMDU,2105-07-11,7253,398915
ScRaF,2049-03-30,2391,35865
IkEWb,2026-02-17,3340,43420
yUAkF,2093-09-25,2295,211140
vmMwF,2076-09-30,9270,139050
CxgDi,2121-02-09,5825,547550
EiFLE,2067-12-10,3399,312708
vebAI,2113-09-11,2299,174724
hjmEW,2057-02-22,8161,122415
XwqDz,2086-03-09,2740,128780
oTQNK,2118-12-08,8034,128544
yfCFT,2027-02-14,9419,762939
sqipH,2023-01-08,2539,114255
vKHum,2028-10-25,5324,516428
GJYlu,2021-04-17,8123,203075
XsQNB,2059-04-05,2475,34650
XyNYW,2058-05-30,5872,46976
KfNPE,2071-01-30,7314,387642
zWLjt,2077-04-23,4259,349238
LBZOO,2060-05-22,4863,34041
jBUyx,2029-03-07,4688,131264
BkcIO,2080-11-21,5430,168330
npohD,2061-01-27,8163,563247
oHlSy,2095-01-26,8557,51342
ORjNJ,2054-02-01,5214,406692
nMeRc,2102-06-04,4348,56524
KPZsa,2109-12-19,2774,102638
HjFMY,2102-09-29,6499,207968
ZfISm,2039-05-08,4807,62491
xdQSe,2067-05-31,7691,638353
