StoreCode,Date,TotalSales,TotalAmount
SJmMg,2090-08-16,6979,202391
eFaAS,2045-03-17,6761,669339
GAZpr,2070-05-19,2462,221580
RzlSK,2118-12-07,2359,146258
WxaxZ,2070-09-20,3368,266072
VwQUS,2067-04-07,3136,43904
wGTkG,2041-05-29,9719,515107
xhwRj,2027-06-15,2646,243432
SJElI,2036-04-21,2110,42200
KUzqX,2029-05-05,5116,51160
aPylH,2022-09-10,2930,43950
meNtD,2089-11-03,5558,266784
pIQTk,2038-04-16,5473,213447
ExDQm,2065-05-06,2444,80652
bXRMv,2045-06-19,2843,193324
yBnce,2026-01-23,5640,146640
scuvi,2076-06-11,4462,446200
pgqEq,2041-11-10,5461,251206
ytYLT,2050-11-30,5387,134675
LDiYP,2036-01-10,5729,498423
WKkXA,2118-02-21,3992,111776
ABviR,2111-06-22,4283,21415
hJegb,2114-09-09,6998,447872
HKTiq,2062-11-30,8520,434520
OHnow,2045-06-05,6618,516204
FlrAk,2032-05-20,7348,551100
RFgpa,2035-05-29,2686,42976
saQBN,2050-01-21,7420,281960
Jkjcg,2104-07-16,5325,154425
nPQjP,2074-02-27,9915,69405
NdXau,2062-07-30,4099,159861
eNHsM,2116-04-25,3088,148224
ntjoe,2096-06-15,3264,42432
uJhPn,2089-02-12,3904,206912
AXiBL,2114-02-19,5420,433600
CqZhn,2114-11-08,8380,360340
CYcPN,2055-01-13,6966,661770
DpXrY,2088-09-26,3866,367270
JZmGM,2119-08-17,6692,394828
NAqcA,2024-10-22,9721,874890
lTPEo,2065-09-30,7052,141040
sTXYe,2032-06-02,7399,147980
gsXOr,2061-10-07,4435,230620
YRwUE,2100-06-09,6517,254163
RHAuO,2061-10-27,9672,706056
INYMj,2068-07-15,3622,213698
qNgVE,2100-11-11,6310,82030
bPUCM,2087-06-01,7464,485160
NyHOc,2071-11-04,8059,604425
pwnlB,2037-10-14,6152,442944
jcBdh,2107-10-06,6737,303165
byOjC,2035-03-08,9085,835820
AaqJK,2119-08-14,4719,103818
tzcPa,2113-10-04,4099,393504
Hkqpu,2077-07-28,8550,393300
Iizvd,2061-05-03,2382,138156
RDqil,2030-10-20,9394,883036
uHVWC,2052-12-29,2046,65472
RJhmE,2054-01-15,6073,48584
XvqqP,2077-03-01,5591,413734
xWhJf,2048-03-22,7700,415800
yGLBj,2029-05-25,2799,165141
dNYXo,2089-12-06,5368,59048
synBh,2078-02-16,7211,533614
hgXTv,2120-07-26,5775,167475
QscgK,2044-03-13,9779,459613
uDZNS,2023-06-23,6006,438438
gYdPd,2056-04-21,5748,235668
swMcN,2023-10-11,7121,591043
huOCi,2069-04-11,2433,92454
XKpkB,2065-10-02,4477,349206
IQIoQ,2083-05-06,6336,513216
Pqibt,2119-05-04,2499,204918
QLYru,2069-12-23,4705,244660
prNjp,2026-01-28,8289,737721
ywDgw,2053-12-10,6883,612587
EOuGi,2031-10-03,6464,426624
qGCvQ,2091-10-13,4188,263844
IwMFG,2076-11-05,3187,305952
RNCWl,2023-07-31,8516,119224
iufYB,2090-01-08,2950,120950
anlBU,2056-10-18,4943,494300
SPPBt,2103-03-28,3891,132294
uDaMI,2024-10-16,7834,462206
abUtW,2035-03-27,2817,157752
bceYY,2057-01-15,2753,192710
yIpfP,2064-01-22,8864,70912
iapZh,2075-04-23,8479,483303
xqxiX,2072-02-12,7896,544824
GpVwe,2101-11-12,2734,224188
TfCjo,2047-03-05,3363,134520
uSIuL,2108-06-08,2586,82752
DKhMG,2077-10-31,7782,38910
UMzIr,2088-04-20,5392,474496
JEcPe,2041-05-29,4215,269760
dHOWb,2078-02-19,2962,195492
MTtET,2088-02-10,6035,331925
cDvSm,2114-09-12,7537,700941
YqlzQ,2075-09-26,3210,253590
TIIHZ,2079-01-08,5641,265127
tQEig,2058-08-12,4011,128352
zEpHg,2081-12-01,8621,663817
EJFNk,2053-04-01,9764,68348
AvbxV,2022-12-30,7070,183820
HpTWl,2046-06-07,7307,401885
QCjmN,2087-06-14,3648,324672
tzeZO,2042-08-25,8305,406945
Kwcjp,2037-02-09,2929,108373
pcROx,2091-09-02,4176,275616
gAMtd,2023-09-02,2432,155648
VjKsx,2038-01-11,2341,206008
svunt,2109-06-26,4389,368676
YuwRT,2101-03-31,9456,397152
hPeiL,2102-09-09,7375,309750
uadTG,2062-01-10,2613,133263
CcTQy,2046-10-25,8655,242340
MfVCP,2106-01-18,9161,723719
gfSXb,2093-03-21,7637,580412
GPemI,2048-05-26,5538,149526
LohWj,2079-08-27,4353,82707
AlHDZ,2027-04-30,7142,64278
rykeP,2057-03-10,4012,264792
hAfge,2026-11-05,6583,401563
HMraQ,2086-10-25,7292,656280
eRGZG,2054-09-14,3397,33970
BzeNi,2039-08-01,7940,714600
dnagi,2104-11-29,7300,605900
JIrDE,2042-03-27,4542,99924
hYddv,2078-01-20,4350,104400
NvIxY,2065-11-07,9123,63861
geUiu,2057-09-05,8397,596187
vFTOt,2096-09-27,7045,549510
rLEAw,2121-09-11,3540,24780
jTOEa,2040-02-04,5192,342672
UufKk,2031-12-17,4431,190533
NaMdF,2029-05-13,2308,184640
vGgMR,2102-07-08,7957,652474
pqzjt,2098-09-25,2335,179795
qoWVi,2121-10-28,9464,899080
EzcZR,2109-03-15,9545,458160
XdLFb,2101-09-16,6468,407484
WqIEX,2101-12-23,7790,140220
KsXVw,2119-02-10,7140,249900
pQOhV,2068-02-13,9109,838028
sQwdy,2060-01-05,8388,234864
jaMrl,2065-07-13,7623,190575
GRjmN,2107-03-10,6030,337680
emfQE,2108-05-24,4760,304640
wRGlS,2118-12-11,9458,85122
YxXHJ,2032-03-07,9293,743440
JHBjS,2023-02-20,9316,288796
vyoFP,2087-10-26,3707,200178
cIism,2088-11-22,8552,855200
OSbey,2075-10-21,8080,371680
RLQox,2099-10-11,9349,65443
DLXXM,2090-11-10,4008,256512
oFMyv,2057-07-25,7968,621504
FMBqm,2075-04-11,4104,119016
RNPtE,2055-07-20,9085,408825
zpakt,2024-12-30,7646,542866
NLIXr,2089-04-04,7458,492228
LWokn,2077-04-09,4193,327054
mEnMN,2035-11-05,9733,720242
jikCb,2048-06-10,9948,984852
hMhBO,2078-08-10,2669,218858
iPoPi,2042-03-18,2288,141856
dqwSi,2099-08-20,2427,174744
fQpRI,2066-11-24,7566,355602
PqbsG,2105-09-12,5526,71838
DTWMq,2031-01-03,6489,519120
gwbWS,2100-03-14,5955,535950
yaSLi,2094-06-22,9925,377150
NSXnP,2091-12-25,9490,645320
btuqq,2024-02-09,8270,107510
rGKjc,2048-02-01,3355,191235
AMajW,2034-02-26,6101,73212
zmeiH,2109-05-21,3735,201690
UodQV,2070-07-04,2482,32266
kFoXg,2066-10-03,6757,162168
aVuXr,2026-12-03,4844,140476
uCgMd,2094-05-20,7933,71397
hRuRL,2051-07-05,7421,274577
tBSGm,2043-07-30,6637,424768
QJNYu,2051-12-23,6651,206181
NUyOZ,2040-09-24,4579,36632
qSebG,2100-11-30,5512,192920
HXgiL,2081-08-11,8221,739890
dziKG,2023-12-21,6822,245592
xjIiO,2080-06-14,5057,166881
rpbLk,2058-02-09,6859,75449
DZcGC,2022-01-23,4256,302176
CRFfQ,2093-09-13,9693,368334
OiMKI,2032-07-16,2253,54072
BTAjc,2058-05-07,4750,408500
XXAjT,2024-04-24,6496,279328
IsNDn,2087-05-06,6537,143814
