StoreCode,Date,TotalSales,TotalAmount
tsOJz,2061-06-11,8288,232064
GzhSX,2050-02-21,5152,61824
kvryu,2089-02-08,3195,95850
ZwgUp,2035-04-29,5488,515872
NUeWz,2070-07-28,8267,603491
vKyIK,2075-07-05,9343,270947
AmWQO,2121-07-12,6439,328389
fQyRo,2087-05-22,8721,340119
hjPHN,2031-02-18,2248,159608
POqse,2043-11-25,4587,440352
EVDgI,2095-05-23,6194,322088
IPcfn,2115-03-22,9685,532675
MeMGs,2042-07-23,2263,219511
jAhpX,2065-07-13,7303,372453
uGDff,2096-03-23,4401,167238
gOkdO,2077-08-29,3809,140933
jWIre,2111-01-15,5185,248880
fHpMI,2042-07-11,3847,296219
lVMVN,2023-09-14,2050,116850
GSRWU,2090-03-13,3522,49308
idOvW,2031-06-19,3750,71250
VWqbE,2038-08-03,5481,301455
vLmKV,2037-01-01,6883,103245
aWOOV,2119-08-10,3010,264880
kRrkx,2065-11-03,7938,365148
QkEUL,2053-06-09,8764,709884
uFpQH,2116-05-13,3931,318411
rkxtL,2095-11-05,2471,54362
talwS,2022-08-20,3641,269434
UaAMB,2070-01-05,3525,88125
UAeYW,2107-03-06,3322,36542
eyUEn,2031-01-20,7837,86207
PjnUz,2021-10-24,3358,114172
ODyWO,2067-10-28,8772,728076
VHTBY,2069-02-08,4208,42080
qfuvj,2071-04-24,5840,391280
GWKlk,2102-11-08,8661,493677
uDRja,2053-03-14,9114,829374
xncbm,2049-08-18,9745,516485
QqxEp,2112-07-15,3068,55224
QrNwO,2091-09-09,2777,219383
Sahxf,2039-12-30,8502,391092
oRlni,2087-10-03,7508,420448
pWhCP,2030-06-26,3550,273350
nYIib,2038-03-12,8598,343920
lDLzU,2022-12-03,2961,68103
HSBSH,2060-05-03,7350,610050
Amagt,2106-02-11,3765,192015
eZQuo,2074-12-21,4640,301600
oUUDg,2062-07-13,4665,284565
CbeQK,2113-12-31,6659,339609
ZBfsh,2105-10-21,6867,274680
FvhES,2097-07-16,2201,156271
ldomP,2115-02-21,5506,456998
QnFtv,2117-01-09,3963,146631
eQHIq,2062-10-29,4898,181226
rhihY,2036-06-06,3565,235290
ScgLy,2035-11-26,6789,488808
TxJsD,2105-07-13,2668,64032
XgfTL,2106-10-08,5676,79464
esjbO,2047-07-16,7157,229024
puVXA,2074-06-20,6046,48368
rEUwW,2090-05-27,6894,62046
hAomW,2093-09-26,2012,16096
HtCeM,2033-10-31,5893,447868
AhDNA,2077-07-10,9731,107041
KErsa,2086-01-08,8512,561792
bfbuU,2042-09-12,6996,139920
crBFQ,2080-12-30,6974,216194
mFdLN,2053-08-01,7512,75120
CVBrm,2078-09-14,2298,91920
qDQip,2098-11-22,8875,115375
KUxkt,2081-08-25,7999,367954
qQbgw,2094-07-13,8680,425320
FBeJv,2102-07-22,2251,211594
kJFpB,2060-01-29,6414,519534
glKdt,2103-11-19,9505,893470
Tocnf,2083-08-19,8503,331617
