StoreCode,Date,TotalSales,TotalAmount
SeDoA,2081-01-20,7954,684044
TGccw,2031-02-27,4546,368226
XBWmR,2066-08-26,5766,461280
gykMD,2056-02-16,6870,151140
wEQqZ,2058-08-04,3856,374032
NyJnU,2084-02-01,8010,136170
DXhHc,2096-08-25,4575,192150
qDvAh,2021-12-29,7710,346950
nUTHk,2099-06-19,4637,125199
acGxm,2059-05-11,4605,78285
shnja,2098-02-20,8348,500880
KFUGw,2047-12-31,4767,305088
UDpYo,2059-06-29,9053,624657
LplpW,2051-12-29,4327,108175
aZUOR,2119-11-21,2376,14256
FWGHn,2061-03-10,4751,28506
LtwFp,2093-07-19,8828,688584
bRHtm,2112-10-02,6828,607692
MkghG,2071-02-25,9837,314784
Ikadb,2074-05-22,2708,132692
HZIVT,2035-04-07,3350,40200
WDVmp,2114-06-12,6574,631104
ozDIX,2048-03-22,8506,229662
qIDXq,2041-06-13,4413,194172
CTQfN,2038-12-31,5782,555072
QgAhx,2025-05-15,8864,558432
slAcJ,2115-09-03,9225,304425
vmrLU,2109-12-12,5916,325380
yTHEh,2090-11-13,2973,68379
lGoVa,2056-03-11,9482,711150
IRJuG,2069-05-26,5860,404340
psBFq,2101-01-04,4262,400628
VbuxQ,2042-05-28,3019,208311
uKndT,2045-07-06,4633,444768
fxCIy,2072-09-22,8179,498919
zGyGG,2043-03-21,6583,236988
uAkbh,2101-08-04,7148,385992
EwABN,2036-02-16,3340,130260
bxvtl,2074-02-06,7445,312690
mqxxj,2103-09-01,5601,341661
tsOJz,2098-12-18,8013,536871
GzhSX,2032-12-23,9826,845036
kvryu,2025-11-21,9140,310760
ZwgUp,2058-05-26,3903,74157
NUeWz,2023-04-27,3298,201178
vKyIK,2042-03-19,9816,795096
AmWQO,2058-07-11,7568,332992
fQyRo,2056-01-21,9550,620750
hjPHN,2072-10-14,5006,265318
POqse,2097-11-07,6650,645050
EVDgI,2027-12-24,2919,43785
IPcfn,2083-09-26,3048,82296
MeMGs,2105-02-02,6668,553444
jAhpX,2080-08-27,2471,187796
uGDff,2083-05-27,6675,287025
gOkdO,2037-04-08,3056,158912
jWIre,2091-04-30,9347,542126
fHpMI,2117-10-24,4183,188235
lVMVN,2074-07-13,6100,36600
GSRWU,2060-09-19,3224,22568
idOvW,2117-08-17,7163,530062
VWqbE,2042-11-09,8700,843900
vLmKV,2044-12-20,6304,359328
aWOOV,2109-10-17,4735,298305
kRrkx,2061-01-18,5590,430430
QkEUL,2104-01-19,6467,549695
uFpQH,2079-01-17,6205,403325
rkxtL,2042-01-04,8755,227630
talwS,2048-08-03,8061,338562
UaAMB,2074-09-14,4120,300760
UAeYW,2076-06-20,9459,283770
eyUEn,2072-06-26,6369,407616
PjnUz,2040-07-22,6220,609560
ODyWO,2080-01-16,7575,356025
VHTBY,2121-03-29,2553,222111
qfuvj,2073-10-14,5196,51960
GWKlk,2119-07-14,5797,278256
uDRja,2105-12-25,8491,254730
xncbm,2117-05-22,7753,131801
QqxEp,2067-10-21,7375,154875
QrNwO,2059-10-26,7391,199557
Sahxf,2093-03-28,6790,461720
oRlni,2027-06-26,8938,53628
pWhCP,2099-05-15,8018,440990
nYIib,2077-12-15,4237,364382
lDLzU,2086-08-24,7108,277212
HSBSH,2066-10-10,9426,650394
Amagt,2076-05-30,5438,478544
eZQuo,2025-09-03,8178,417078
oUUDg,2053-12-09,7014,434868
CbeQK,2111-12-07,7729,139122
ZBfsh,2105-03-16,6043,429053
FvhES,2079-08-30,4166,183304
ldomP,2059-07-12,7318,622030
QnFtv,2113-04-26,8382,838200
eQHIq,2076-05-26,2209,119286
rhihY,2082-07-07,4619,32333
ScgLy,2032-11-22,3784,204336
TxJsD,2047-03-11,6411,198741
XgfTL,2107-08-06,7871,362066
esjbO,2044-01-23,6803,408180
puVXA,2029-03-04,2154,15078
rEUwW,2105-04-02,6646,651308
hAomW,2068-03-01,7490,82390
HtCeM,2116-11-15,7571,90852
AhDNA,2064-03-06,2222,37774
KErsa,2071-03-05,9481,417164
bfbuU,2047-03-17,6615,615195
crBFQ,2026-12-30,9687,319671
mFdLN,2098-04-06,4293,128790
CVBrm,2041-11-20,5850,345150
qDQip,2056-09-12,4572,297180
KUxkt,2108-01-11,5219,401863
qQbgw,2036-03-04,9836,68852
