StoreCode,Date,TotalSales,TotalAmount
kqluk,2110-07-23,3005,90150
JYZuR,2071-11-22,9812,245300
STRTS,2118-01-03,8271,703035
qTePA,2073-02-05,3860,189140
mSMBw,2118-09-28,3500,241500
dDwYL,2068-01-28,7831,164451
Xgsru,2026-04-07,3870,205110
ZetEh,2029-03-30,6121,538648
vlvxB,2082-03-15,4676,51436
PGFlN,2058-06-29,5681,454480
hwJkd,2031-01-17,6732,417384
jtVyk,2027-01-23,4611,184440
rbgKb,2107-10-19,3329,183095
DUdIG,2063-07-21,4006,376564
GYZVK,2060-02-11,8182,400918
QliAf,2117-05-21,8863,593821
NlLfn,2081-10-16,4679,439826
tmKjH,2021-07-12,4229,38061
kqimz,2042-06-28,5446,43568
slAfl,2113-12-17,9713,48565
Vahai,2049-07-29,7189,143780
tXPLn,2050-02-12,5471,547100
ePGqv,2044-10-19,4127,222858
zCCRP,2050-06-18,3744,344448
hMOUE,2113-10-07,9070,244890
ntrCa,2023-02-14,5917,532530
GmWQr,2115-11-23,2792,72592
egwMA,2107-05-15,9546,553668
HaEgD,2097-05-28,5431,325860
xdCJc,2024-12-04,7660,68940
okJyN,2118-07-05,5485,104215
ThPsv,2079-10-08,2714,225262
VWPwm,2074-08-14,2718,212004
UdIGN,2025-10-04,5567,172577
rHBoM,2041-08-20,8519,136304
AjNQi,2098-03-05,7602,714588
nHGfU,2088-07-13,7979,502677
vwXuA,2069-05-26,5186,471926
ZJRDH,2063-01-28,3700,162800
KNnBR,2066-11-24,6905,172625
JubAv,2109-09-23,7847,564984
MJXcE,2059-08-28,4749,441657
lzuFZ,2029-05-07,2625,126000
NbkzT,2039-04-14,8526,647976
dbLLF,2059-11-10,9131,593515
CGXWX,2022-04-13,5048,237256
Lnbox,2071-08-04,6071,503893
OOCWw,2092-01-12,8386,218036
oJjpd,2120-10-02,5827,122367
gEHsH,2083-04-25,6353,324003
wzYak,2103-07-07,8473,93203
zgXpN,2056-08-02,9187,762521
oyfDZ,2053-11-25,3657,234048
OKaQl,2059-12-29,4501,36008
rNDTc,2109-04-26,7342,594702
vZRdZ,2060-06-02,9152,594880
PEvtn,2109-08-18,6926,616414
sYwQV,2070-05-26,7270,261720
KBwCt,2032-06-03,2750,266750
mPuGW,2038-01-14,5469,306264
yTBDy,2023-07-26,7780,287860
CueVE,2049-02-21,6681,527799
qkxue,2047-01-13,8423,741224
LYhDl,2076-11-17,9618,201978
gndlW,2096-04-22,3222,222318
Lmlko,2064-02-02,9009,198198
JWBfD,2071-10-27,3984,334656
bIJKs,2039-11-06,6333,151992
wqsBh,2111-06-21,9596,489396
UcLrz,2115-02-05,3844,357492
QOSbc,2079-06-15,5837,396916
sMqHg,2118-10-20,4298,202006
ehiBf,2114-08-09,9407,329245
ddZJd,2116-07-29,8684,164996
CrzOh,2021-05-12,5567,345154
RDaEM,2084-11-27,6951,201579
djmvH,2022-10-19,6992,405536
ndGUZ,2117-06-27,6485,149155
vOfCn,2088-07-04,4237,114399
BTaZB,2023-02-20,7099,276861
Bxwxe,2102-07-23,5680,159040
aaCPZ,2076-04-12,6611,165275
BlIdp,2054-03-17,9078,462978
VBYtQ,2064-06-18,4560,410400
ZpOOw,2050-11-05,6178,43246
fRyHQ,2047-09-17,9984,409344
ttEre,2036-09-22,9693,358641
XfzNT,2098-07-06,7310,482460
KFoSd,2088-12-31,3025,196625
WTDQv,2061-11-08,4400,79200
MkNMD,2084-11-13,9382,675504
KBamU,2104-03-15,4623,184920
xViNc,2055-08-18,8491,297185
gKIyA,2047-06-25,7004,581332
OdkJD,2070-09-25,8246,725648
zxAJF,2051-10-08,6482,544488
Igdvq,2108-03-16,8677,260310
wiIhA,2104-02-26,9818,186542
FnFgI,2090-06-03,3529,307023
wJMYW,2072-07-14,2626,18382
mjplW,2104-11-28,8060,789880
eDTeH,2062-03-08,7061,706100
TIOBi,2072-04-26,2520,20160
xwKsc,2050-10-20,9667,744359
stMiO,2060-07-27,2489,37335
HawXD,2037-12-28,5308,307864
rfDaa,2065-09-17,9883,810406
OXAud,2071-04-30,7150,336050
lglks,2088-04-04,5733,114660
nTacC,2067-09-08,7000,644000
SeDoA,2106-03-31,5649,429324
TGccw,2110-02-17,3791,231251
XBWmR,2036-07-24,5706,370890
gykMD,2027-08-11,8293,182446
wEQqZ,2082-07-29,4979,29874
NyJnU,2048-08-20,6335,285075
DXhHc,2027-11-14,3030,157560
qDvAh,2045-07-04,7974,39870
nUTHk,2045-05-15,7124,78364
acGxm,2086-12-20,9792,303552
shnja,2035-09-20,4304,288368
KFUGw,2052-01-21,9225,507375
UDpYo,2113-10-19,7466,582348
LplpW,2054-10-12,6733,478043
aZUOR,2100-10-29,3485,163795
FWGHn,2103-11-27,2531,113895
LtwFp,2098-03-15,8636,215900
bRHtm,2113-02-05,7648,321216
MkghG,2055-03-09,3804,194004
Ikadb,2069-11-17,5542,38794
HZIVT,2056-12-21,2850,62700
WDVmp,2066-09-08,6028,108504
ozDIX,2114-09-29,9792,675648
qIDXq,2105-01-13,5125,199875
CTQfN,2095-09-09,2148,83772
QgAhx,2040-02-26,9455,359290
slAcJ,2080-10-12,8092,469336
vmrLU,2115-07-12,5489,274450
yTHEh,2095-10-12,5550,466200
lGoVa,2100-08-01,4860,486000
IRJuG,2079-05-31,5470,71110
psBFq,2036-11-18,2511,80352
VbuxQ,2040-04-01,7782,669252
uKndT,2069-07-09,2185,168245
fxCIy,2110-09-22,8767,613690
zGyGG,2120-10-22,6467,491492
uAkbh,2108-12-10,8803,475362
EwABN,2023-06-26,7427,81697
bxvtl,2050-01-14,4552,455200
mqxxj,2097-02-03,6171,117249
tsOJz,2112-02-12,9893,702403
GzhSX,2065-12-27,6371,579761
kvryu,2037-05-08,6122,361198
ZwgUp,2034-05-02,4208,164112
NUeWz,2085-07-16,3954,237240
vKyIK,2102-05-06,4694,253476
AmWQO,2113-01-25,8890,533400
fQyRo,2103-10-28,2008,24096
hjPHN,2095-06-21,4759,90421
POqse,2105-12-30,2117,175711
EVDgI,2063-01-06,8565,522465
IPcfn,2040-11-20,5086,274644
MeMGs,2104-04-15,2903,127732
jAhpX,2060-12-25,4086,396342
uGDff,2048-01-24,5010,130260
gOkdO,2116-02-28,9053,380226
