StoreCode,Date,TotalSales,TotalAmount
JubAv,2082-12-11,8362,359566
MJXcE,2115-09-18,8323,457765
lzuFZ,2116-09-09,9160,677840
NbkzT,2029-12-08,6366,458352
dbLLF,2098-11-26,6517,430122
CGXWX,2060-10-08,6816,61344
Lnbox,2056-10-31,7803,460377
OOCWw,2047-03-29,7755,690195
oJjpd,2050-10-02,8234,625784
gEHsH,2115-11-05,6725,201750
wzYak,2027-12-27,5798,121758
zgXpN,2067-02-20,8173,514899
oyfDZ,2087-06-07,4140,327060
OKaQl,2033-09-07,3259,22813
rNDTc,2026-08-09,9919,952224
vZRdZ,2081-11-05,3737,56055
PEvtn,2045-07-13,8348,509228
sYwQV,2097-12-10,7689,46134
KBwCt,2033-02-13,4866,345486
mPuGW,2084-01-14,9601,777681
yTBDy,2105-09-25,3192,63840
CueVE,2033-11-03,3256,123728
qkxue,2024-11-27,7393,347471
LYhDl,2055-10-13,5698,501424
gndlW,2071-02-10,5687,517517
Lmlko,2067-09-17,6292,377520
JWBfD,2077-06-28,7273,36365
bIJKs,2060-08-10,8786,96646
wqsBh,2067-06-02,8398,797810
UcLrz,2073-10-06,4135,260505
QOSbc,2042-04-19,7078,35390
sMqHg,2112-02-08,9106,200332
ehiBf,2040-09-11,5277,395775
ddZJd,2041-11-26,8083,153577
CrzOh,2042-01-29,7019,133361
RDaEM,2039-01-30,7447,431926
djmvH,2081-12-02,8613,852687
ndGUZ,2047-08-26,6753,472710
vOfCn,2024-05-26,9597,124761
BTaZB,2077-09-05,9654,704742
Bxwxe,2105-09-27,3374,269920
aaCPZ,2030-11-09,6194,526490
BlIdp,2120-01-16,3703,277725
VBYtQ,2110-07-09,5621,483406
ZpOOw,2038-06-26,9771,234504
fRyHQ,2023-12-29,8929,660746
ttEre,2029-12-10,5482,350848
XfzNT,2032-09-16,2824,135552
KFoSd,2029-10-26,4662,219114
WTDQv,2087-04-23,2644,76676
MkNMD,2081-09-08,7539,135702
KBamU,2114-03-08,4749,441657
xViNc,2037-09-05,6533,411579
gKIyA,2097-06-01,8813,757918
